year,tout_DET manuel_NOUN
1916,7.69122365795738e-09
1917,9.869781991689308e-09
1918,1.8378202071289707e-08
1919,6.445494027396137e-09
1920,8.329454459499175e-09
1921,5.300923255902035e-09
1922,5.902348387820666e-09
1923,1.2739137744688378e-08
1924,1.9337436318878076e-08
1925,1.5397448649423495e-08
1926,1.783382086451013e-08
1927,1.6723836537835268e-08
1928,2.0566874203709062e-08
1929,1.67106100068537e-08
1930,1.575540553577781e-08
1931,9.124285327288817e-09
1932,1.6439305139392957e-08
1933,2.0647192178202545e-08
1934,1.1981580172459871e-08
1935,2.752705352548901e-08
1936,1.8187070960351548e-08
1937,1.0072894518486919e-08
1938,1.2965214124527336e-08
1939,1.3764645423464117e-08
1940,7.607348528892999e-09
1941,8.854508237732261e-09
1942,9.102635312174812e-09
1943,1.1612940831184915e-08
1944,2.8918675454292497e-08
1945,1.742803235060819e-08
1946,2.645009899993056e-08
1947,1.6689218895749036e-08
1948,2.174377566888097e-08
1949,1.4725512254010198e-08
1950,2.658840414504482e-08
1951,9.595261474260042e-09
1952,1.5817205323287453e-08
1953,1.2928592640903958e-08
1954,3.909014378855602e-08
1955,1.5016972554349195e-08
1956,1.657016879264006e-08
1957,1.0602045130703175e-08
1958,1.6544486891589827e-08
1959,3.2553141515734296e-08
1960,1.1073333139322017e-08
1961,2.153929390402709e-08
1962,1.585489073363533e-08
1963,1.0992290522260362e-08
1964,1.0951142992432494e-08
1965,1.6963335014441583e-08
1966,1.3293779854706145e-08
1967,1.972134178185314e-08
1968,2.155879605392208e-08
1969,2.1800437427499375e-08
1970,1.7015282294252643e-08
1971,1.6956711368365518e-08
1972,1.8468529094928243e-08
1973,1.3783009511492139e-08
1974,1.0688586127294286e-08
1975,1.599214449754527e-08
1976,1.1998406601598788e-08
1977,1.8805701218482795e-08
1978,2.2574246694162525e-08
1979,2.867466930567275e-08
1980,1.8192481354706302e-08
1981,1.8344093466460265e-08
1982,1.6139505731871395e-08
1983,2.020901079813342e-08
1984,1.5077421977593986e-08
1985,1.8648229627160617e-08
1986,2.5776287992940183e-08
1987,1.4054878705316298e-08
1988,2.3386560132898637e-08
1989,1.975724017722058e-08
1990,1.7980548217000347e-08
1991,3.22380568906766e-08
1992,1.4876849530054415e-08
1993,2.4372513451886846e-08
1994,2.162719947573777e-08
1995,1.897857815347237e-08
1996,2.0284750990029465e-08
1997,2.7330898877409027e-08
1998,1.716526532025142e-08
1999,2.1479945377933518e-08
2000,2.474097637872319e-08
2001,1.840108998507617e-08
2002,1.8839251714197758e-08
2003,1.8751152630613888e-08
2004,2.4666831244246623e-08
2005,2.341949789652631e-08
2006,3.0060596400982575e-08
2007,1.7975157806660036e-08
2008,1.5752526616452656e-08
2009,1.3827758049700378e-08
2010,1.2754240885648471e-08
2011,1.3766299156170447e-08
2012,6.8085053706035126e-09
2013,1.3945624655065103e-08
2014,1.3209215943277286e-08
2015,1.440773969574316e-08
2016,1.2220906064897008e-08
2017,1.0817129109108592e-08
2018,9.293280145428184e-09
2019,1.096924751031736e-08
