year,dont_PRON ils_PRON,dont_PRON mille_DET
1800,7.182843546615914e-05,1.1947824862801326e-07
1801,7.000200275797397e-05,1.5001450393015148e-07
1802,6.506296631414443e-05,1.1636768704192946e-07
1803,7.106646080501378e-05,1.5017611820766774e-07
1804,6.331399345071986e-05,1.2112069747161058e-07
1805,6.547147495439276e-05,1.2224373957536727e-07
1806,6.272528844419867e-05,1.9595350231327302e-07
1807,6.966499495320022e-05,1.7366426607878793e-07
1808,6.596994353458285e-05,1.8355198649899762e-07
1809,7.175810605986044e-05,8.810219220833915e-08
1810,6.466940249083564e-05,1.6848912798295146e-07
1811,5.849511580890976e-05,1.8301660986708157e-07
1812,6.004685928928666e-05,1.6003249214691095e-07
1813,5.781103391200304e-05,1.4666282410757958e-07
1814,6.306255818344653e-05,1.7936060103806994e-07
1815,6.780280818929896e-05,1.375584002261121e-07
1816,6.50319634587504e-05,6.721051271085798e-08
1817,6.560664769494906e-05,1.2299299712026368e-07
1818,7.160097447922453e-05,1.883546065784003e-07
1819,7.165721035562456e-05,1.459498020217609e-07
1820,7.244724110933021e-05,1.340912350045187e-07
1821,6.928484799573198e-05,1.0946251816079666e-07
1822,6.479154399130493e-05,1.233150754842427e-07
1823,6.396964454324916e-05,1.205687780725384e-07
1824,6.461435259552673e-05,1.0357968527330286e-07
1825,6.381744606187567e-05,1.3736491766280778e-07
1826,6.999440665822476e-05,1.1362299812134324e-07
1827,6.437527918023989e-05,9.862482508449233e-08
1828,6.538291199831292e-05,1.174054535812985e-07
1829,6.31680159131065e-05,1.11451291973097e-07
1830,6.239244976313785e-05,1.0749941181664724e-07
1831,5.2280433010309935e-05,1.4032086026460888e-07
1832,5.19293753313832e-05,8.388580696738757e-08
1833,5.965568561805412e-05,1.5290389621114286e-07
1834,5.915198926231824e-05,1.5308630985089167e-07
1835,5.523776781046763e-05,1.0210168710500511e-07
1836,5.8817317039938644e-05,1.3038254742525623e-07
1837,5.8416364481672645e-05,1.1063046745363181e-07
1838,5.865071580046788e-05,1.0983161580213618e-07
1839,5.7079800171777606e-05,8.949087892951013e-08
1840,5.920243347645737e-05,8.025807440859012e-08
1841,5.7449142332188785e-05,1.1621193163335874e-07
1842,5.5107055231928825e-05,6.574099975509284e-08
1843,5.4375479521695524e-05,1.1164062052593238e-07
1844,5.578463969868608e-05,6.47650264529176e-08
1845,5.491669799084775e-05,1.1439467639817735e-07
1846,5.468162635224871e-05,7.083946629293791e-08
1847,5.542885628528893e-05,5.3392914090011345e-08
1848,5.289813634590246e-05,9.332457295840868e-08
1849,5.039463940192945e-05,4.9438548810343264e-08
1850,5.0281341827940196e-05,8.622024960658337e-08
1851,5.182511085877195e-05,7.352360231749344e-08
1852,5.2476298151304945e-05,6.315229006403911e-08
1853,5.096864697407e-05,5.5538967647095205e-08
1854,5.157528357813135e-05,1.091089547600177e-07
1855,4.720414290204644e-05,9.499417430447465e-08
1856,4.899795385426842e-05,8.801221595966524e-08
1857,4.808286394109018e-05,8.44501046870505e-08
1858,4.5759297790937126e-05,9.689478797092477e-08
1859,4.764593904837966e-05,7.638259802433822e-08
1860,4.653210999094881e-05,7.369266064038982e-08
1861,4.605562935466878e-05,7.30974352158853e-08
1862,4.548753713606857e-05,8.04201585324904e-08
1863,4.566332063404843e-05,6.592899581825407e-08
1864,4.5675536966882646e-05,6.856460688098309e-08
1865,4.4949891162104905e-05,7.813361690978127e-08
1866,4.283296220819466e-05,5.4494865953103044e-08
1867,4.141049794270657e-05,9.268869760603593e-08
1868,4.1790841351030394e-05,6.125443707816203e-08
1869,4.1836621676338837e-05,7.422948744562063e-08
1870,4.220890696160495e-05,6.536815799762508e-08
1871,4.369658563518897e-05,4.460894320601483e-08
1872,4.2680305341491476e-05,4.837871425689144e-08
1873,4.06048638978973e-05,5.566984118132723e-08
1874,3.965587166021578e-05,5.078417897319554e-08
1875,4.095869735465385e-05,5.263804947475137e-08
1876,4.0378912672167644e-05,4.232210226717825e-08
1877,3.991742050857283e-05,7.669171964153065e-08
1878,3.8521535316249356e-05,5.254007007238215e-08
1879,4.1516530473018065e-05,5.9260453877385544e-08
1880,3.824073792202398e-05,3.78652940113966e-08
1881,3.9486007153755054e-05,5.020205584571613e-08
1882,3.810740599874407e-05,4.326000180299161e-08
1883,3.797164390562102e-05,4.929084518323634e-08
1884,3.95402021240443e-05,3.6969503902639644e-08
1885,3.844563980237581e-05,4.8342267300327535e-08
1886,3.869496867991984e-05,4.0011474522483326e-08
1887,3.759419996640645e-05,3.264462478114183e-08
1888,3.8187619793461636e-05,3.2971195329523084e-08
1889,3.770108742173761e-05,4.4482471706075444e-08
1890,3.767592352232896e-05,2.2284913470116408e-08
1891,3.5346325603313744e-05,3.250852154135231e-08
1892,3.608719998737797e-05,3.259626391027837e-08
1893,3.628169361036271e-05,2.401782439598321e-08
1894,3.6151930544292554e-05,3.339815823899528e-08
1895,3.7309389881556854e-05,4.1528440242188935e-08
1896,3.6538582207867876e-05,4.245860768525844e-08
1897,3.5201508580939844e-05,3.787363889173889e-08
