year,soit_VERB annuelle_ADJ,soit_VERB manuelle_ADJ
1800,3.144164395507687e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,0.0,0.0
1803,5.070882025393075e-08,0.0
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,6.09938268780752e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,8.091670444798638e-09,0.0
1816,3.0128852301913867e-08,0.0
1817,0.0,0.0
1818,2.8610825708597076e-08,0.0
1819,1.1386155129855524e-08,0.0
1820,1.1866481131050932e-08,0.0
1821,3.94459531705138e-09,0.0
1822,7.017931125119503e-09,0.0
1823,4.941343334508019e-09,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,7.0463874735082754e-09,0.0
1827,1.013900075008678e-08,0.0
1828,6.420610709767516e-09,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,1.352996914505411e-08,0.0
1833,0.0,0.0
1834,4.667265685043276e-09,0.0
1835,1.5126175867408165e-09,0.0
1836,1.3441500135158435e-09,0.0
1837,2.7831563720326358e-09,0.0
1838,8.837027110075724e-09,0.0
1839,7.690622361167243e-09,0.0
1840,1.52872523528913e-08,0.0
1841,1.2841097074556274e-08,0.0
1842,4.695785538189057e-09,0.0
1843,2.3627644285539873e-09,0.0
1844,8.781698035420504e-09,0.0
1845,6.696273757711424e-09,0.0
1846,3.5127007969038004e-09,0.0
1847,1.3483059113639229e-08,3.235934187273415e-09
1848,2.172209789819135e-08,5.63165514222419e-09
1849,9.217356655710773e-09,0.0
1850,6.788996032014438e-10,0.0
1851,1.3543821175687754e-08,0.0
1852,6.510545436100301e-10,6.510545436100301e-10
1853,3.5831591027601917e-09,0.0
1854,7.79349651480743e-09,2.5978321716024766e-09
1855,2.1227748447927297e-09,0.0
1856,1.0354378465748937e-09,1.0354378465748937e-09
1857,4.393358121745905e-09,0.0
1858,8.808616946964776e-09,0.0
1859,3.5645213447565993e-09,0.0
1860,5.034902272882391e-09,0.0
1861,2.8295783494058924e-09,2.357981809808507e-09
1862,7.680577063240435e-09,0.0
1863,1.1987090431375691e-08,4.994620828036034e-10
1864,9.589456340108882e-09,4.794727948009836e-10
1865,2.8241067262513297e-09,9.41368871743009e-10
1866,4.865612912574591e-10,0.0
1867,0.0,4.85281148598915e-10
1868,6.421836395986702e-09,0.0
1869,1.953407657850903e-09,4.883519144627257e-10
1870,2.8670243956696595e-09,0.0
1871,9.559059321873065e-09,1.0621177271019633e-09
1872,3.0236697590169115e-09,6.047339295989218e-10
1873,0.0,5.986004469882289e-10
1874,5.974609140757536e-10,0.0
1875,9.154443425529735e-09,5.721527140956084e-10
1876,1.209202959984168e-09,0.0
1877,1.8554447978047506e-09,0.0
1878,4.831270938865373e-09,0.0
1879,6.720257683667796e-09,0.0
1880,1.9253538763308597e-09,0.0
1881,6.9725074602899895e-09,0.0
1882,4.6587693702804245e-09,0.0
1883,1.579834751908038e-08,1.8958017378167824e-09
1884,4.621187876807653e-09,1.3203393933736152e-09
1885,1.160214413431504e-08,1.933690763067375e-09
