year,pourraient_VERB hériter_VERB,pourraient_VERB mériter_VERB
1800,0.0,2.829747991484055e-08
1801,0.0,1.6668277424969347e-08
1802,0.0,2.9091921760482364e-08
1803,0.0,1.755305234496518e-08
1804,2.4718509461507665e-09,3.213406074564773e-08
1805,0.0,1.1371510844071508e-08
1806,0.0,2.5935023018064385e-08
1807,0.0,5.693910232196231e-09
1808,0.0,4.305540457494317e-08
1809,0.0,4.518061036407062e-09
1810,0.0,2.3401267590372754e-09
1811,0.0,3.008491944456182e-08
1812,0.0,5.867858021701977e-08
1813,0.0,6.901780125190271e-08
1814,0.0,9.440030979135372e-09
1815,0.0,2.1577788444915313e-08
1816,0.0,2.3176038865813098e-09
1817,0.0,3.89218364205135e-08
1818,0.0,2.98029441125891e-08
1819,0.0,9.315945348475907e-09
1820,1.1866481131050932e-09,1.542642635854463e-08
1821,1.97229765852569e-09,3.550135829755163e-08
1822,5.012807946513931e-09,2.2056354964661296e-08
1823,0.0,1.2847492847356534e-08
1824,2.5263338088166165e-09,5.894778887238772e-09
1825,1.7610886082763955e-09,1.1447076175841175e-08
1826,1.145037931138404e-08,1.145037931138404e-08
1827,7.373818444733615e-09,1.566936447261469e-08
1828,2.7516904310687096e-09,2.659967357487858e-08
1829,0.0,3.086343269842473e-08
1830,1.0436835840010872e-09,2.7135772739939057e-08
1831,0.0,4.677361609140007e-09
1832,0.0,2.1647950987357945e-08
1833,0.0,1.9692167896323554e-08
1834,3.733812370398937e-09,1.213489042584115e-08
1835,1.5126175867408165e-09,2.117664621437143e-08
1836,5.376600054063374e-09,1.4785650037651976e-08
1837,1.3915781860163179e-09,1.3219993100221927e-08
1838,0.0,2.019891809368346e-08
1839,2.7965900706306e-09,2.9364196407755117e-08
1840,5.095750932326837e-09,1.4013314952876499e-08
1841,6.420548537278137e-10,3.0818632978935057e-08
1842,6.708265054555795e-10,1.542900918138912e-08
1843,1.594865928211675e-08,3.485077471054865e-08
1844,4.9397050894128824e-09,3.0735943568060975e-08
1845,7.254296274794569e-09,1.5066614622583074e-08
1846,5.854501328173001e-09,1.9905304071698993e-08
1847,1.4022381478184798e-08,3.66739207890987e-08
1848,1.206783295515379e-08,1.206783295515379e-08
1849,6.703531951757213e-09,1.256912263158938e-08
1850,6.788996032014438e-10,2.308258650884909e-08
1851,1.2898877521649865e-09,2.579775504329973e-09
1852,9.114764054629632e-09,4.557382027314816e-09
1853,0.0,1.6721408258035808e-08
1854,1.0391328908454511e-09,1.9743524148907454e-08
1855,4.2455496895854594e-09,2.865746040470185e-08
1856,5.177189343896771e-09,1.0872097000458325e-08
1857,0.0,1.2691923956253959e-08
1858,3.9149408159744326e-09,9.297984604472731e-09
1859,3.5645213447565993e-09,1.629495471888731e-08
1860,4.119465657481669e-09,2.1512764902809067e-08
1861,0.0,2.263662679524714e-08
1862,2.710791813242963e-09,3.4336697041226216e-08
1863,9.989241656072068e-10,2.6471489888990618e-08
1864,2.3973640850272204e-09,9.109982990196386e-09
1865,2.3534221238463715e-09,1.2237795665726026e-08
1866,0.0,7.784980660119345e-09
1867,0.0,1.0190904120577216e-08
1868,4.93987406535723e-10,1.333765986544222e-08
1869,0.0,8.30198221279943e-09
1870,0.0,2.064257564882155e-08
1871,1.0621177271019633e-09,1.4869648623516696e-08
1872,4.23313739617015e-09,1.7537283625301825e-08
1873,1.1373408881354408e-08,1.3767810003173508e-08
1874,2.3898436563030145e-09,2.1508592240593316e-08
