year,aurait_VERB uni_VERB,aurait_VERB muni_VERB
1800,3.144164484325529e-09,0.0
1801,9.524730337773235e-09,0.0
1802,1.5664880947952042e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,7.4155526164076946e-09,1.730295728918918e-08
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,1.1330369531492579e-08,2.2660739951163578e-09
1809,6.7770917766551975e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,2.400487453257938e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.0788894222457657e-08,0.0
1816,0.0,0.0
1817,2.3353100786493997e-08,0.0
1818,2.384235475716423e-09,0.0
1819,7.24573512300708e-09,0.0
1820,2.3732962262101864e-08,0.0
1821,6.903041693817613e-09,3.94459531705138e-09
1822,6.015369535816717e-09,0.0
1823,2.9648061783404955e-09,1.9765373782121287e-09
1824,1.3473780313688621e-08,0.0
1825,1.6730341556581152e-08,0.0
1826,1.4092774947016551e-08,4.403992281964975e-09
1827,6.452091305675367e-09,0.0
1828,8.255071293206129e-09,0.0
1829,1.0287811491593857e-08,0.0
1830,3.1310507520032616e-09,0.0
1831,0.0,1.5591206103948707e-09
1832,4.058990921151917e-09,0.0
1833,1.1583628278799551e-08,0.0
1834,7.467624740797874e-09,0.0
1835,6.806779140333674e-09,0.0
1836,1.4785650037651976e-08,6.720750067579218e-10
1837,5.5663127440652715e-09,0.0
1838,2.1461350030449466e-08,6.312161904276081e-10
1839,8.38977065598101e-09,0.0
1840,8.917564464638872e-09,0.0
1841,1.8619591202195807e-08,0.0
1842,2.1466448174578545e-08,0.0
1843,3.6622846977252266e-08,5.906911071384968e-10
1844,2.7442807137845193e-08,2.7442805805577564e-09
1845,9.48638767539478e-09,0.0
1846,2.5759806732139623e-08,5.854501328173001e-10
1847,5.9325460100012606e-09,1.6179670936367074e-09
1848,1.850401076808339e-08,0.0
1849,2.6814127807028854e-08,8.379414939696517e-10
1850,2.647708541303473e-08,0.0
1851,1.6123596680017727e-08,1.2898877521649865e-09
1852,2.148479971708639e-08,5.208436348880241e-09
1853,2.329053394589664e-08,7.166318205520383e-09
1854,2.1302223984775992e-08,6.234797567117312e-09
1855,2.653468555990912e-08,0.0
1856,4.141751386299575e-09,0.0
1857,2.8312753030945714e-08,2.4407544874094356e-09
1858,3.9149408159744326e-09,0.0
1859,1.6804172275897145e-08,1.5276520048956854e-09
1860,7.781213007262977e-09,0.0
1861,7.545541969022906e-09,0.0
1862,4.517986429419807e-09,1.3553959066214816e-09
1863,9.489779628779615e-09,2.4973103585068657e-09
1864,1.342523781033833e-08,2.8768367688059016e-09
1865,1.1767110841276462e-08,9.41368871743009e-10
1866,1.897589108068587e-08,2.432806400776144e-09
1867,6.79393608038481e-09,5.82337378318698e-09
1868,7.409810987013543e-09,0.0
1869,7.325278605918584e-09,0.0
1870,9.747882501187632e-09,2.8670243956696595e-09
1871,4.248470908407853e-09,1.0621176826930423e-08
1872,1.4513614310374123e-08,0.0
1873,1.496501056408306e-08,1.7958012854535355e-09
1874,1.8521287614703397e-08,5.974609140757536e-10
1875,3.432916173551348e-09,2.8607636259891933e-09
1876,4.232210137899983e-09,6.04601479992084e-10
1877,1.1751150275074451e-08,0.0
1878,1.7513357875031943e-08,6.039088784604019e-09
1879,1.5273313280772527e-08,1.832797580370027e-09
1880,7.701415505323439e-09,1.9253538763308597e-09
1881,2.091752326904839e-09,0.0
1882,1.3310770263785798e-08,2.6621540527571597e-09
1883,2.0221884611260066e-08,6.319338941018771e-10
1884,7.2618666635548834e-09,1.9805090900604227e-09
1885,1.2891271383708158e-09,0.0
1886,8.38950331427668e-09,2.5813855497602844e-09
1887,1.566941953967671e-08,0.0
1888,4.4384300679212174e-09,0.0
1889,1.50363277384713e-08,6.265136742733546e-10
1890,1.2453334363726754e-08,2.6217545912032847e-09
1891,1.211101796627645e-08,0.0
1892,8.775916882086676e-09,1.8805537127519756e-09
1893,1.539604177480669e-08,0.0
1894,2.835692747282792e-08,3.150769645188234e-09
1895,6.6204757231957956e-09,1.2037228991346183e-09
1896,8.255840455717589e-09,1.179405795248556e-09
1897,1.4566784223291052e-08,0.0
1898,6.7900258748920805e-09,3.3950129374460403e-09
1899,1.1055156790007459e-08,0.0
1900,1.038210584169974e-08,5.191053142894475e-10
1901,7.265360757457984e-09,5.588738916095792e-10
1902,4.419255628107521e-09,1.9641135384773634e-09
1903,5.940242076007962e-09,1.0800440541913758e-09
1904,1.1286712897629059e-08,1.0749250378694342e-09
1905,7.741138396966107e-09,5.160759042333041e-10
1906,1.0288369267641428e-08,2.0576738091193647e-09
1907,2.0057088434555226e-08,2.057137349353866e-09
1908,1.7680999775393502e-08,3.437972351250096e-09
1909,2.2003934674330594e-08,5.500983557560346e-10
1910,1.336037680488289e-08,0.0
1911,7.448523575703803e-09,3.1922244847493175e-09
1912,1.2502610502451716e-08,3.646594803896619e-09
1913,6.893886794756554e-09,1.060597942803554e-09
1914,6.696743604095445e-09,6.696743715117748e-10
1915,1.295883844676382e-08,0.0
1916,1.4283700444650549e-08,0.0
1917,1.2063066989753679e-08,0.0
