year,grand_ADJ an_NOUN,grand_ADJ man_NOUN
1800,1.2576658381391326e-08,3.144164484325529e-09
1801,2.1430642593855964e-08,0.0
1802,1.7902721083373763e-08,2.2378401354217203e-09
1803,5.851017670366332e-09,0.0
1804,9.887403784603066e-09,2.4718509461507665e-09
1805,2.842877711017877e-09,2.842877711017877e-09
1806,8.645007376628655e-09,2.881669125542885e-09
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,6.798221985349073e-09,4.5321479902327155e-09
1809,6.7770915546105925e-09,0.0
1810,4.680253518074551e-09,1.4040760554223652e-08
1811,2.5070767684098882e-09,7.521229861140455e-09
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,2.0130190847567064e-08,2.8757416448144113e-09
1814,6.293354282149721e-09,3.1466771410748606e-09
1815,2.697223555614414e-09,2.697223555614414e-09
1816,1.3905623319487859e-08,0.0
1817,7.784366928831332e-09,0.0
1818,1.549753059215675e-08,5.960588467246453e-09
1819,3.1053151161586356e-09,4.140420006848444e-09
1820,5.933240565525466e-09,5.933240565525466e-09
1821,7.88919063410276e-09,0.0
1822,4.010246357211145e-09,2.0051231786055723e-09
1823,9.882686669016039e-09,3.9530747564242574e-09
1824,0.0,5.052667617633233e-09
1825,7.044354433105582e-09,5.283265824829186e-09
1826,3.5231936257318353e-09,7.92718590769681e-09
1827,7.373818333711313e-09,4.608636583469661e-09
1828,7.337841112509125e-09,0.0
1829,1.714635211591542e-09,6.001223074036943e-09
1830,1.0436835840010872e-09,4.174734336004349e-09
1831,1.5591206103948707e-09,4.677361609140007e-09
1832,1.3529969367098715e-09,2.705993873419743e-09
1833,4.633451511359965e-09,1.1583628500844156e-09
1834,4.667265685043276e-09,6.534171426153534e-09
1835,3.781543966852041e-09,3.025235173481633e-09
1836,1.881810018922181e-08,1.3441500135158435e-09
1837,6.957891152126194e-09,2.0873671680021744e-09
1838,5.049729523420865e-09,7.574594285131298e-09
1839,0.0,3.4957374772659477e-09
1840,1.2739377552861697e-08,8.917564464638872e-09
1841,1.926164561183441e-09,1.0272877659645019e-08
1842,2.0124795163667386e-09,1.677066263638949e-08
1843,1.7720733769266417e-09,5.31621990873532e-09
1844,3.841992946007622e-09,2.195424508855126e-09
