year,grand_ADJ être_NOUN,grand_ADJ mètre_NOUN,grand_ADJ etre_NOUN
1800,3.26993106369855e-07,3.144164484325529e-09,2.138031867104928e-07
1801,4.5718705377062463e-07,0.0,1.8573224491724716e-07
1802,1.969299319171114e-07,4.475680270843441e-09,1.3427040812530322e-07
1803,2.067359599067231e-07,0.0,2.0868629491133106e-07
1804,1.9774807991090881e-07,0.0,1.9527621963888464e-07
1805,3.781027506644108e-07,0.0,1.9047279997685962e-07
1806,1.6713680928148733e-07,0.0,1.0085841939400098e-07
1807,2.3914423152859854e-07,0.0,1.2811297844805836e-07
1808,9.290903291159225e-08,0.0,1.540930347765368e-07
1809,1.0391540161691637e-07,0.0,1.4005989457110957e-07
1810,2.1763178414957451e-07,4.680253518074551e-09,5.148278781064164e-08
1811,5.0141533591840926e-08,0.0,2.5070767684098882e-08
1812,1.4936366010687152e-07,2.6672082320544632e-09,1.6269969727034095e-07
1813,1.6391727308828763e-07,0.0,1.3228410944421398e-07
1814,6.922689443911167e-08,0.0,6.922689888000377e-08
1815,4.315557666778602e-08,0.0,1.2407228311417384e-07
1816,1.205154021022281e-07,0.0,2.595716406261772e-07
1817,2.9580594951283956e-07,0.0,4.405951701258459e-07
1818,2.2888661033171331e-07,1.1921177378582115e-09,5.006894698844633e-07
1819,9.843848740587191e-07,0.0,1.4284448746071376e-07
1820,2.3139638472002844e-07,2.3732962262101864e-09,1.495176551458144e-07
1821,4.3193318388645707e-07,2.9584463767662328e-09,9.861488337037372e-08
1822,4.862423708118513e-07,0.0,1.5639960793123464e-07
1823,2.3520794789622101e-07,1.9765373782121287e-09,8.30145694408202e-08
1824,3.1494961039157943e-07,0.0,5.810567760278218e-08
1825,4.931048123157922e-07,0.0,1.866753871482274e-07
1826,3.8402810620397076e-07,0.0,1.5413971954369998e-07
1827,2.921875520978112e-07,9.217273055917019e-10,1.1429418717012751e-07
1828,2.990170125949376e-07,9.172301251858528e-10,1.1373653541202344e-07
1829,3.9265146445366383e-07,1.714635211591542e-09,2.2118794229530891e-07
1830,2.4213459259847525e-07,0.0,1.2524202475105994e-07
1831,4.2096255836732155e-07,0.0,1.7618063452573551e-07
1832,1.0891625177311681e-06,1.3529969367098715e-09,3.544851874259791e-07
1833,2.9306580051624564e-07,1.1583628500844156e-09,1.1351955875316122e-07
