year,veulent_VERB être_VERB,veulent_VERB etre_VERB,veulent_VERB mettre_VERB
1800,1.458892370465037e-06,0.0,1.540640539587912e-07
1801,1.3453681049213628e-06,0.0,2.0240051412656612e-07
1802,1.3986500562168658e-06,6.713520406265161e-09,1.096541666356643e-07
1803,1.5368673302873503e-06,0.0,9.946730017418304e-08
1804,1.890966018436302e-06,2.4718509461507665e-09,2.4224138428508013e-07
1805,1.1200937706234981e-06,0.0,9.381496113292087e-08
1806,1.0950342357318732e-06,2.881669125542885e-09,1.0950342499427279e-07
1807,1.249813294634805e-06,5.693910232196231e-09,9.11025637151397e-08
1808,1.2939282214574632e-06,0.0,1.2236799307174806e-07
1809,1.122738126468903e-06,0.0,1.2424668227595248e-07
1810,1.4461983255387167e-06,0.0,1.4742798271072388e-07
1811,7.721796464466024e-07,2.5070767684098882e-09,1.3287507272252697e-07
1812,8.081640885393426e-07,0.0,7.734903562095496e-08
1813,1.0122610092366813e-06,2.8757416448144113e-09,1.0352670187785407e-07
1814,1.3499244460035698e-06,3.1466771410748606e-09,2.0453401816666883e-07
1815,9.898810731101548e-07,2.697223555614414e-09,1.6722786710943183e-07
1816,1.2839525425079046e-06,0.0,1.3442102897442965e-07
1817,1.3171148793844623e-06,6.227493631882908e-09,2.0239353659690096e-07
1818,1.5676348539273022e-06,3.5763532135746345e-09,2.3365507217931736e-07
1819,1.6499574257977656e-06,3.1053151161586356e-09,1.666519011678247e-07
1820,1.5272161135726492e-06,0.0,2.0647676990392938e-07
1821,1.536419858894078e-06,0.0,1.2819934624985763e-07
1822,1.3173658999221516e-06,0.0,1.965020715033461e-07
1823,1.2234766018082155e-06,9.882686891060644e-10,1.877710502640184e-07
1824,1.3650624168803915e-06,8.421112696055388e-10,1.8021181347194215e-07
1825,1.2565367342176614e-06,0.0,1.4617035049013793e-07
1826,1.4418670843951986e-06,0.0,1.2243097557984584e-07
1827,1.1586112123040948e-06,0.0,1.1890282536342056e-07
1828,1.4226238818082493e-06,0.0,1.2474329480482993e-07
1829,1.2259641835044022e-06,1.714635211591542e-09,1.3288422451296356e-07
1830,1.2879055475423229e-06,0.0,1.2419835115906608e-07
1831,1.200522888211708e-06,1.5591206103948707e-09,9.666548095310645e-08
1832,1.358408894702734e-06,1.3529969367098715e-09,1.393586899212096e-07
1833,1.2695657005679095e-06,2.3167257001688313e-09,8.91939393454777e-08
1834,1.17801778287685e-06,1.8669061851994684e-09,1.5308630452182115e-07
1835,1.298582219533273e-06,3.025235173481633e-09,2.1706063080273452e-07
1836,1.2393063570925733e-06,1.3441500135158435e-09,1.6936290592184378e-07
1837,1.0798646599141648e-06,2.0873671680021744e-09,1.4820307114860043e-07
1838,1.1178839258718654e-06,1.2624323808552163e-09,1.7295323573307542e-07
1839,1.1193351383553818e-06,3.4957374772659477e-09,9.29866175169991e-08
1840,1.1949535974054015e-06,7.0066574764382494e-09,1.0127804728199408e-07
1841,1.2552172847790644e-06,5.1364388298225094e-09,1.6565014959724067e-07
1842,1.3523862207875936e-06,2.683306021822318e-09,1.25444557852461e-07
1843,1.2363165069473325e-06,1.7720733769266417e-09,1.27589274256934e-07
1844,1.3792754316455103e-06,1.6465684371524958e-09,1.4050716856672807e-07
1845,1.1567813089641277e-06,1.1160455892778032e-09,1.5345626991347672e-07
1846,1.2265180657777819e-06,2.3418005312692003e-09,1.3231172601990693e-07
1847,1.2129360129620181e-06,1.6179670936367074e-09,1.3213397664912918e-07
1848,1.2027606999254203e-06,1.6090443422100975e-09,1.97107937083274e-07
1849,1.2342877653281903e-06,2.513824481908955e-09,1.3993623326769011e-07
1850,9.552117035127594e-07,2.0366988096043315e-09,1.792294881397538e-07
1851,9.570967449690215e-07,3.8696632564949596e-09,1.4446743534790585e-07
1852,1.1816639471362578e-06,6.510545436100301e-10,1.3672145371401712e-07
1853,1.254702851838374e-06,1.1943863675867306e-09,1.1107793085329831e-07
1854,1.2365680959192105e-06,6.754363734984281e-09,1.5742863013201713e-07
1855,1.153728135250276e-06,1.0613874223963649e-09,1.1144567935161831e-07
1856,1.1653852425297373e-06,1.0354378465748937e-09,1.0716781417841048e-07
1857,1.0602637985357433e-06,4.393358121745905e-09,1.347296461062797e-07
1858,1.1230986274313182e-06,1.9574704079872163e-09,1.7568297039360914e-07
1859,1.352481262983929e-06,5.092173349652285e-10,1.5327441360568628e-07
1860,1.1827443131551263e-06,9.154367819341758e-10,1.4097726364070695e-07
1861,1.228980181622319e-06,2.357981809808507e-09,1.5138243725232314e-07
1862,1.317896590080636e-06,3.162590411776023e-09,1.346359965737065e-07
1863,1.1267865147601697e-06,4.994620717013731e-09,1.3035960932938906e-07
