year,auront_VERB hérité_VERB,auront_VERB mérité_VERB
1800,6.288328968651058e-09,2.829747991484055e-08
1801,7.143547975374531e-09,1.1191558257905854e-07
1802,0.0,4.2518962573012686e-08
1803,1.950339223455444e-09,4.4857802805609026e-08
1804,1.4831105232815389e-08,3.707776485839531e-08
1805,0.0,5.685755510853596e-08
1806,2.0171682990621775e-08,7.780506905419315e-08
1807,5.693910232196231e-09,7.117387923472052e-08
1808,0.0,5.211970233176544e-08
1809,0.0,5.6475762733043666e-08
1810,2.3401267590372754e-09,9.594519667643908e-08
1811,0.0,8.022645658911642e-08
1812,3.467370746079723e-08,1.600324850414836e-08
1813,0.0,4.026038169513413e-08
1814,0.0,8.181360300341112e-08
1815,2.697223555614414e-09,8.361393355471591e-08
1816,0.0,1.622322720606917e-08
1817,0.0,2.0239355080775567e-08
1818,2.384235475716423e-09,5.126106117359086e-08
1819,0.0,6.003609342997152e-08
1820,3.5599443393152796e-09,4.865257352548724e-08
1821,9.86148829262845e-10,7.100271659510327e-08
1822,0.0,6.917674966189225e-08
1823,0.0,8.795591099897138e-08
1824,1.6842225392110777e-09,3.789500624407083e-08
1825,8.805443041381977e-10,3.522177394188475e-08
1826,9.688783109140786e-09,6.870227764466108e-08
1827,2.7651818612639545e-09,1.2166800900104136e-07
1828,3.668920500743411e-09,5.1364885678140126e-08
1829,8.57317605795771e-10,4.029392641768936e-08
1830,1.0436835840010872e-09,2.5048406016026092e-08
1831,4.677361609140007e-09,1.153749238369528e-07
1832,0.0,1.6235963684607668e-08
1833,8.108539617524002e-09,4.170106393530659e-08
1834,1.0267983796552471e-08,3.827157613045529e-08
1835,7.563087933704082e-10,2.3445572594482655e-08
1836,6.720750067579218e-10,3.49478987970997e-08
1837,8.349468672008697e-09,5.148839221646995e-08
1838,4.418513555037862e-09,5.996553653631054e-08
1839,1.3982950353153e-09,7.2012191765225e-08
1840,1.2739377330817092e-09,4.267691267045848e-08
1841,5.778493683550323e-09,3.531301828729738e-08
1842,0.0,3.8237111255057243e-08
1843,0.0,5.316219997553162e-08
1844,0.0,3.512679214168202e-08
1845,1.1160455892778032e-09,4.0177642546268544e-08
1846,3.5127007969038004e-09,6.732676638421253e-08
