year,avaient_VERB uni_VERB,avaient_VERB muni_VERB
1800,4.087413785214267e-08,0.0
1801,1.904946067554647e-08,0.0
1802,1.5664880947952042e-08,1.5664880947952042e-08
1803,1.5602713787643552e-08,0.0
1804,4.943701892301533e-09,0.0
1805,3.1271653710973624e-08,0.0
1806,6.916005901302924e-08,0.0
1807,6.547996855843508e-08,0.0
1808,6.118399653587403e-08,0.0
1809,4.0662548883574345e-08,0.0
1810,3.042164697930616e-08,0.0
1811,1.1031137603367824e-07,5.0141535368197765e-09
1812,1.0135391192989118e-07,0.0
1813,1.4378708002027452e-08,0.0
1814,4.405347908686963e-08,0.0
1815,2.4275012222574333e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,3.7364962679475866e-08,0.0
1818,1.6689648107970356e-08,0.0
1819,3.519356894798875e-08,0.0
1820,5.22125169766241e-08,2.3732962262101864e-09
1821,6.508582428566001e-08,9.86148829262845e-10
1822,4.6117833107928163e-08,0.0
1823,3.261286707356703e-08,2.9648061783404955e-09
1824,4.463189640091514e-08,3.3684450784221553e-09
1825,8.981551768982854e-08,5.107157008410468e-08
1826,8.367585468960215e-08,5.284790383086602e-09
1827,6.083400155842966e-08,0.0
1828,3.944089499441361e-08,0.0
1829,7.458663342507776e-08,0.0
1830,5.0096810699784555e-08,0.0
1831,2.0268567268999504e-08,1.5591206103948707e-09
1832,6.629684889958298e-08,0.0
1833,5.560141858040879e-08,0.0
1834,5.787409307345115e-08,0.0
1835,6.579886502322552e-08,4.5378527602224494e-09
1836,4.838939871021353e-08,7.392825018825988e-09
1837,4.6617870452791976e-08,8.349468672008697e-09
1838,2.5248647617104325e-08,6.312161904276081e-10
1839,8.249941041427178e-08,5.5931801412612e-09
1840,8.025807857192646e-08,9.554533164646273e-09
1841,5.072233388858649e-08,3.2102742686390684e-09
1842,4.695785449371215e-08,1.341653010911159e-09
1843,7.856191897026576e-08,0.0
1844,9.38544007511588e-08,1.097712254427563e-09
1845,4.240973405789106e-08,1.1160455892778032e-09
1846,7.727941508939296e-08,2.3418005312692003e-09
1847,4.584240098637338e-08,3.775256551818984e-09
1848,5.229394162142853e-08,1.6090443422100975e-09
1849,8.211826951765033e-08,0.0
1850,9.640374631914028e-08,1.3577992064028876e-09
1851,4.6435957301582675e-08,2.579775504329973e-09
1852,3.515694646516465e-08,0.0
1853,4.478948767427937e-08,7.166318205520383e-09
1854,5.299577665596189e-08,1.0391328908454511e-09
1855,4.2986190607052777e-08,5.306937111981824e-10
1856,6.885661463229553e-08,1.5531567143511893e-09
1857,4.246912821415094e-08,9.763018171682347e-10
1858,6.312841804856362e-08,1.0276719919488642e-08
1859,6.263373242276771e-08,5.092173349652285e-10
1860,9.932489417052714e-08,4.57718396518203e-09
1861,5.2818794671338765e-08,8.488735048217677e-09
1862,5.783022427596762e-08,1.3553959066214816e-09
1863,5.444136574883629e-08,9.989241656072068e-10
1864,5.801620872603053e-08,9.109982990196386e-09
1865,6.165966226490127e-08,4.706844247692743e-09
1866,6.957826315101556e-08,1.9462451650298362e-09
1867,4.998396008204509e-08,1.261730986357179e-08
1868,6.174842326345242e-08,7.409810987013543e-09
1869,3.613804011592947e-08,8.30198221279943e-09
1870,4.9312818273250514e-08,5.734048791339319e-10
1871,5.8416475212652585e-08,1.911811864374613e-08
1872,4.777398032729252e-08,5.442605477412599e-09
1873,2.9331422624068182e-08,5.986004469882289e-10
1874,4.719941060216115e-08,1.7923826867161097e-09
1875,7.15190893174622e-08,1.0870901512305409e-08
1876,4.292670396921494e-08,3.02300739996042e-09
1877,3.1542562672903784e-08,1.2988113695655557e-08
1878,6.582606459915041e-08,8.4547240319921e-09
1879,6.1704184872724e-08,0.0
1880,3.465637132826771e-08,3.8507077526617195e-09
1881,3.416528571165145e-08,6.972507571312292e-10
1882,4.5256619785050134e-08,4.6587693702804245e-09
1883,6.572112720704126e-08,4.423537092179686e-09
1884,2.706695667598069e-08,5.941527270181268e-09
1885,4.254119545521462e-08,2.5782542767416317e-09
1886,2.968593371122097e-08,3.2267319927115068e-09
1887,4.50495814541263e-08,2.6115698492645834e-09
1888,3.4239320712003973e-08,1.268122939990235e-09
1889,5.5133202003787574e-08,6.265136742733546e-10
1890,4.9813337454907014e-08,2.6217545912032847e-09
1891,4.6531805963923034e-08,7.649063604731055e-09
1892,5.516291046170352e-08,1.4417578242387208e-08
1893,4.187723234849727e-08,3.695050043717174e-09
1894,5.545354642144673e-08,3.780923574225881e-09
1895,3.1898657715245804e-08,0.0
1896,4.953504428861777e-08,1.7691086373616827e-09
1897,3.729096820226374e-08,6.992056267307589e-09
1898,5.092519472782442e-08,3.3950129374460403e-09
1899,3.703477347016815e-08,3.3165470370022376e-09
1900,4.0490214958666115e-08,8.824790675987515e-09
1901,4.694540578498163e-08,0.0
1902,4.075535714465062e-08,7.365425602756659e-09
