year,petit_ADJ air_NOUN,petit_ADJ maire_NOUN
1800,3.5529058095562505e-07,0.0
1801,3.119349116786907e-07,2.3811825844433088e-09
1802,1.4769744893783354e-07,2.2378401354217203e-08
1803,1.8138155155611457e-07,0.0
1804,3.6583392670763715e-07,0.0
1805,2.75759134638065e-07,0.0
1806,3.4580028795971884e-07,0.0
1807,2.8469551693888207e-07,0.0
1808,2.01680592226694e-07,1.3596443970698147e-08
1809,1.6942729530455836e-07,2.259030518203531e-09
1810,4.7504573785772664e-07,0.0
1811,3.685402987230191e-07,0.0
1812,3.040617286842462e-07,0.0
1813,4.256097554389271e-07,0.0
1814,2.454408161156607e-07,6.293354282149721e-09
1815,1.3755840200246894e-07,2.6972235112054932e-08
1816,1.9004352225238108e-07,2.7811246638975717e-08
1817,2.2574664626517915e-07,1.556873407970727e-09
1818,2.8253191430849256e-07,3.5763532135746345e-09
1819,1.72862542058283e-07,0.0
1820,3.2395493576586887e-07,0.0
1821,3.885426451688545e-07,0.0
1822,4.541603857433074e-07,0.0
1823,4.733807088541653e-07,0.0
1824,3.023179431238532e-07,1.0947446504872005e-08
1825,3.96244928424494e-07,1.7610886082763955e-09
1826,1.7263648999232828e-07,0.0
1827,1.5485018423078145e-07,0.0
1828,1.8894940012614825e-07,0.0
1829,1.997550072019294e-07,0.0
1830,2.3065406651312514e-07,0.0
1831,2.463410453401593e-07,3.1182412207897414e-09
1832,3.0577731990888424e-07,1.3529969367098715e-09
1833,3.0349107760230254e-07,3.4750886612755494e-09
1834,2.529657763261639e-07,0.0
1835,3.910116390670737e-07,7.563087933704082e-10
1836,2.2380098130270198e-07,1.3441500135158435e-09
1837,2.539630088449485e-07,0.0
1838,1.944145822108112e-07,5.680945713848473e-09
1839,2.663751956788474e-07,0.0
1840,2.2039122882233642e-07,0.0
1841,2.7544152203518024e-07,5.778493683550323e-09
1842,4.534787194643286e-07,6.708265054555795e-10
1843,3.177918017627235e-07,5.906911071384968e-10
1844,2.848563269708393e-07,2.195424508855126e-09
1845,2.7454720452624315e-07,0.0
1846,2.3418004957420635e-07,0.0
1847,1.623360361691084e-07,0.0
1848,1.7860392631519062e-07,1.6090443422100975e-09
1849,1.893747736403384e-07,1.6758829879393033e-09
1850,2.3489926093134272e-07,2.0366988096043315e-09
1851,1.683303452182372e-07,1.2898877521649865e-09
1852,2.897192814543814e-07,0.0
1853,2.9441625315485e-07,5.971931837933653e-10
1854,2.8472240387600323e-07,0.0
1855,4.410064775584033e-07,6.368324534378189e-09
1856,3.753462181066425e-07,0.0
1857,3.7148285514376767e-07,0.0
1858,4.507075743731548e-07,9.787352039936081e-10
1859,3.966802921695489e-07,1.018434669930457e-09
1860,4.0004587731345964e-07,7.781213007262977e-09
1861,3.5605526704785007e-07,2.8295783494058924e-09
1862,3.0767486691729573e-07,4.517986262886353e-10
1863,3.2864605259419477e-07,1.9978483312144135e-09
1864,3.332336007133563e-07,1.4384183844029508e-09
1865,3.1818268553251983e-07,3.765475486972036e-09
1866,4.0579212168267986e-07,9.731225825149181e-10
1867,4.67325747877112e-07,4.85281148598915e-10
1868,3.1960985324985813e-07,0.0
1869,4.6002750764273515e-07,0.0
1870,4.0826427039064583e-07,5.734048791339319e-10
1871,3.1651109111408005e-07,1.0621177271019633e-09
1872,4.317800232911395e-07,0.0
1873,3.0229321623664873e-07,0.0
1874,4.463032894364005e-07,1.1949218281515073e-09
1875,3.7704865007981425e-07,0.0
1876,4.927501890961139e-07,0.0
1877,5.127212716615759e-07,4.329371083855449e-09
1878,3.7744302971987054e-07,2.4156354694326865e-09
1879,5.34565970156109e-07,0.0
1880,4.0239896748062165e-07,6.417846254436199e-10
1881,4.176532115707232e-07,2.0917522713936876e-09
1882,4.944951115248841e-07,0.0
1883,4.278192591300467e-07,6.319338941018771e-10
1884,4.984281076758634e-07,5.281357573494461e-09
1885,4.350804090336169e-07,2.5782542767416317e-09
1886,3.872078195854556e-07,5.808117320427186e-09
1887,4.563718221106683e-07,6.528924623161458e-10
1888,4.894954486189818e-07,1.268122939990235e-09
1889,4.335474557137786e-07,1.2530273485467092e-09
1890,4.679831988596561e-07,4.5880705901168994e-09
1891,4.066752410381014e-07,1.2748440081367107e-09
1892,3.87394067047353e-07,2.5074049503359674e-09
1893,3.1777429398971435e-07,7.390100087434348e-09
1894,4.26614207071907e-07,0.0
1895,4.122750851820456e-07,7.22233739480771e-09
1896,4.3107280589538277e-07,2.3588115349859606e-09
1897,3.8689378811795905e-07,5.244042200480692e-09
1898,4.3173247377126245e-07,0.0
1899,4.3778419467344065e-07,5.527578395003729e-10
1900,3.763513518606487e-07,6.22926377147337e-09
1901,4.06301325028835e-07,1.1177477832191585e-09
1902,3.928226988136885e-07,4.910283846193408e-10
1903,4.3039756292273523e-07,2.1600881083827517e-09
1904,3.568751196780795e-07,2.6873125946735854e-09
1905,3.27192111626573e-07,0.0
1906,3.600929119329521e-07,1.0802787109298606e-08
1907,4.253131464793114e-07,2.057137349353866e-09
1908,4.204148922326567e-07,4.911389073214423e-09
1909,4.2962682300640154e-07,1.1001967115120692e-09
1910,4.3661711401909997e-07,5.344150677544235e-10
1911,3.692339589633775e-07,2.128149656499545e-09
1912,4.573871876800695e-07,1.5628263683176158e-09
1913,4.6613280346718966e-07,1.060597942803554e-09
1914,3.6631189459512825e-07,1.0714789944188396e-08
1915,4.3117589143548685e-07,2.3561523843085297e-09
1916,3.230313723179279e-07,1.0987462051303964e-09
1917,3.728584374584898e-07,2.1932848870420685e-09
1918,3.9742860735714203e-07,2.2972752589112133e-09
1919,4.649963329939055e-07,4.603924352863942e-09
1920,4.5054778752273705e-07,7.572231730534895e-10
1921,4.657239571770333e-07,7.572747429129834e-10
1922,5.016996169615595e-07,0.0
1923,5.881234983462491e-07,1.0615948120573648e-09
1924,5.504723503690911e-07,1.289162443462999e-09
1925,6.092990361139528e-07,1.0998177923937646e-09
1926,6.409029538190225e-07,1.1146138456652466e-09
1927,6.834474675088131e-07,1.1149224765638621e-08
1928,5.107440301799215e-07,0.0
1929,5.837572985001316e-07,4.4561625500705304e-09
1930,5.272809175949078e-07,1.0503603542488804e-09
1931,4.790250045516586e-07,2.2810713318222042e-09
1932,4.975629508408019e-07,1.0959536611565568e-09
1933,4.680030087911291e-07,2.2941324395731044e-09
1934,4.00184774207446e-07,1.1981580172459871e-09
1935,4.595821110342513e-07,0.0
1936,4.4861442916044325e-07,3.6374143697059935e-09
1937,4.1298866904071474e-07,1.2591118148108649e-09
1938,4.0710773419050383e-07,0.0
1939,3.93057092651361e-07,2.141167065872196e-08
1940,5.375860041567648e-07,1.2678914806940611e-08
