year,est_VERB annuel_ADJ,est_VERB manuel_ADJ
1800,1.5720821977538435e-07,0.0
1801,4.524246932646747e-08,2.3811825844433088e-09
1802,8.056224487518193e-08,1.3427040812530322e-08
1803,1.6987454500849708e-06,0.0
1804,4.301020624097873e-07,0.0
1805,1.506725197941705e-07,0.0
1806,1.2679343797117326e-07,0.0
1807,6.263301344233696e-08,0.0
1808,1.540930298915555e-07,0.0
1809,5.127999429532792e-07,0.0
1810,4.212228077449254e-08,0.0
1811,2.2563691359778204e-08,0.0
1812,3.200649700829672e-08,0.0
1813,6.614205716459765e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,4.045835311217161e-08,0.0
1816,1.1819779643928996e-07,0.0
1817,7.908917041277164e-07,0.0
1818,2.002757781838227e-07,7.152706427149269e-09
1819,5.413598955783527e-07,0.0
1820,9.493184904840746e-08,0.0
1821,6.804427243878308e-08,0.0
1822,8.321261191213125e-08,3.0076847679083585e-09
1823,6.127265805844218e-08,2.9648061783404955e-09
1824,3.705289586264371e-08,8.421112696055388e-10
1825,4.490776106536032e-08,2.641632912414593e-09
1826,4.492072136486058e-08,4.403992281964975e-09
1827,4.2399456390285195e-08,5.530363722527909e-09
1828,5.319934714975716e-08,3.668920500743411e-09
1829,2.6576845613135447e-08,0.0
1830,3.026682549034376e-08,0.0
1831,5.14509785887185e-08,3.1182412207897414e-09
1832,5.817886972181441e-08,1.3529969367098715e-09
1833,5.09679658478035e-08,8.108539617524002e-09
1834,3.080395316601425e-08,3.733812370398937e-09
1835,4.764745398233572e-08,5.294161553592858e-09
1836,4.2340726480460944e-08,1.2097349788575684e-08
1837,3.826840000442644e-08,5.5663127440652715e-09
1838,6.249040040984255e-08,5.680945491803868e-09
1839,3.076248944466897e-08,0.0
1840,5.223144583510475e-08,0.0
1841,1.5024083666048682e-07,6.420548537278137e-10
1842,4.8299508392801727e-08,6.708265054555795e-09
1843,2.126487963494128e-08,1.7720733769266417e-09
1844,5.3239045172404076e-08,7.683985892015244e-09
1845,3.124927516751086e-08,5.580227946389016e-10
1846,7.20103656703941e-08,4.6836010625384006e-09
1847,3.074137566727586e-08,3.775256551818984e-09
1848,5.309846429213394e-08,4.02261068899179e-09
1849,5.027649052635752e-08,0.0
1850,5.702756666892128e-08,2.0366988096043315e-09
1851,4.2566295377355345e-08,1.2898877521649865e-09
1852,5.7943854159248076e-08,1.9531636308300904e-09
