year,doivent_VERB être_VERB,doivent_VERB etre_VERB,doivent_VERB mettre_VERB
1800,5.174351463210769e-05,1.1633408547595536e-07,2.2952400513531757e-07
1801,5.226695793680847e-05,1.2858386355674156e-07,3.262220218402945e-07
1802,5.533059811568819e-05,8.280008501060365e-08,3.4462738085494493e-07
1803,5.626923666568473e-05,1.0336797862109393e-07,2.827991920639761e-07
1804,5.742357097915374e-05,1.0381774084855522e-07,3.114532205472642e-07
1805,6.128391396487132e-05,2.587018839150801e-07,3.6388834701028827e-07
1806,6.121817568782717e-05,1.8442682847563674e-07,2.881669161070022e-07
1807,6.987851520534605e-05,1.6512339096053097e-07,2.3629726797480544e-07
1808,5.742004941566847e-05,1.33698361270973e-07,2.583324487659411e-07
1809,6.427393964258954e-05,2.575294826279162e-07,2.0783080856290326e-07
1810,6.221226794878021e-05,1.4976810946976116e-07,3.01876355024433e-07
1811,5.7261633628513664e-05,1.178326058948187e-07,1.5543875520052097e-07
1812,6.927006324985996e-05,1.1202274929900113e-07,2.5605197606637375e-07
1813,6.154950096970424e-05,9.489947183638492e-08,1.9267469042461016e-07
1814,5.063318167231046e-05,7.552024783308298e-08,3.713078911005141e-07
1815,5.20078647241462e-05,7.012781111370714e-08,9.710004889029733e-08
1816,6.454990216298029e-05,1.1819779643928996e-07,3.4068776244566834e-07
1817,4.532525417744182e-05,5.604744224285696e-08,2.662253564267303e-07
1818,4.650212940759957e-05,6.318223921830679e-08,2.2173389879753813e-07
1819,5.125426105223596e-05,7.763287301898458e-08,2.6498688043830043e-07
1820,4.4622716814046726e-05,8.42520151422832e-08,2.75302369345809e-07
1821,4.5761251385556534e-05,8.382264837791809e-08,3.057061235267611e-07
1822,4.590929893311113e-05,6.616906489398389e-08,4.2207841488561826e-07
1823,4.511347651714459e-05,6.819053699480548e-08,2.6880908876592e-07
1824,4.611906479112804e-05,4.126345132249298e-08,2.1810681971601298e-07
1825,4.6093853597994894e-05,5.3713202330385457e-08,2.659243705238623e-07
