year,devant_VERB hériter_VERB,devant_VERB mériter_VERB
1800,0.0,0.0
1801,0.0,1.6668277424969347e-08
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,9.036122072814123e-09,0.0
1810,7.020380277111826e-09,2.3401267590372754e-09
1811,0.0,1.504245972228091e-08
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,1.8880061958270744e-08,0.0
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,7.784366928831332e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,2.070210003424222e-09,0.0
1820,0.0,1.1866481131050932e-09
1821,4.930744257336528e-09,1.97229765852569e-09
1822,6.015369535816717e-09,1.604098542884458e-08
1823,9.882686891060644e-10,5.929612356680991e-09
1824,1.6842225392110777e-09,6.736890156844311e-09
1825,0.0,1.7610886082763955e-09
1826,1.7615968683770689e-09,8.807984341885344e-10
1827,1.1060727445055818e-08,0.0
1828,0.0,0.0
1829,1.714635211591542e-09,6.858540846366168e-09
1830,0.0,0.0
1831,1.5591206103948707e-09,0.0
1832,4.058990921151917e-09,0.0
1833,0.0,0.0
1834,1.8669061851994684e-09,0.0
1835,2.2689263801112247e-09,0.0
1836,4.704525213838906e-09,0.0
1837,1.3915781860163179e-09,1.3915781860163179e-09
1838,3.1560809521380406e-09,6.312161904276081e-10
1839,3.4957374772659477e-09,6.9914749545318955e-09
1840,6.369688665408546e-10,8.280594876453051e-09
1841,5.778493683550323e-09,6.420548537278137e-10
1842,5.366612043644636e-09,0.0
1843,4.7255288571079745e-09,3.5441467538532834e-09
1844,5.488561161115513e-09,4.9397050894128824e-09
1845,3.9061593959388574e-09,7.812318791877715e-09
1846,1.0538101946622191e-08,0.0
1847,4.314578916364553e-09,2.1572894581822766e-09
1848,1.045878850192139e-08,0.0
1849,3.3517659758786067e-09,0.0
1850,0.0,0.0
1851,6.449438760824933e-10,0.0
1852,6.510545436100301e-10,0.0
1853,2.9859659189668264e-09,5.971931837933653e-10
1854,5.195664454227256e-10,0.0
1855,2.653468555990912e-09,6.8990182455763716e-09
1856,1.0354378465748937e-09,7.248064815001953e-09
1857,3.4170564155999728e-09,4.881509085841174e-10
1858,2.4468380654951716e-09,0.0
1859,1.0693564256314403e-08,3.055304009791371e-09
1860,4.577183909670879e-10,2.288591982591015e-09
1861,4.2443675241088386e-09,0.0
1862,9.035972858839614e-09,4.517986262886353e-10
1863,5.494082966350788e-09,0.0
1864,4.315255264231155e-09,0.0
1865,2.3534221238463715e-09,4.23615986733239e-09
1866,3.4059290943133647e-09,1.9462451650298362e-09
1867,1.94112459439566e-09,4.85281148598915e-10
1868,1.4819622196071691e-09,0.0
1869,2.441759683335931e-09,4.883519144627257e-10
1870,4.013834153937523e-09,0.0
1871,1.0621177271019633e-09,2.1242354542039266e-09
1872,6.047339295989218e-10,0.0
1873,0.0,1.7958012854535355e-09
1874,0.0,0.0
1875,9.7265964171811e-09,1.1443054281912168e-09
1876,5.441413541973361e-09,6.04601479992084e-10
1877,9.27722432209066e-09,0.0
1878,7.2469061862534545e-09,0.0
1879,6.720257683667796e-09,1.221865053580018e-09
1880,1.9253538763308597e-09,4.492492600149944e-09
1881,0.0,0.0
1882,1.3310770263785798e-09,0.0
1883,2.5277355764075082e-09,4.423537092179686e-09
1884,1.0562715146988921e-08,1.3203393933736152e-09
1885,8.379326565943757e-09,2.5782542767416317e-09
1886,1.2906927748801422e-09,2.5813855497602844e-09
1887,7.1818169189441505e-09,2.6115698492645834e-09
1888,4.4384300679212174e-09,1.9021844099853524e-09
1889,3.132568426877924e-09,2.5060546970934183e-09
1890,3.9326319978272295e-09,0.0
1891,4.461953917456185e-09,1.2748440081367107e-09
1892,3.761107425503951e-09,0.0
1893,2.463366621796581e-09,1.2316833108982905e-09
1894,6.301539290376468e-10,0.0
1895,2.4074457982692365e-09,4.814891596538473e-09
1896,3.5382172747233653e-09,0.0
1897,1.7480140668268973e-09,0.0
1898,1.13167097914868e-09,2.26334195829736e-09
1899,2.2110313580014918e-09,5.527578395003729e-10
1900,7.786579381274805e-09,0.0
1901,1.676621730339889e-09,5.588738916095792e-10
1902,3.928227076954727e-09,2.9461704187383475e-09
1903,1.6200660812870638e-09,0.0
1904,2.1498500757388683e-09,5.374625189347171e-10
1905,5.676835002077496e-09,0.0
1906,0.0,5.144184522798412e-10
1907,0.0,0.0
1908,3.437972351250096e-09,1.4734167219643268e-09
1909,2.7504918342913243e-09,0.0
1910,1.068830135508847e-09,1.068830135508847e-09
1911,5.320374141248863e-10,1.5961122423746588e-09
1912,2.0837684910901544e-09,5.209421227725386e-10
1913,2.6514948014977335e-09,1.590896969716482e-09
1914,2.0090231700464756e-09,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
