year,pourrait_VERB être_VERB,pourrait_VERB etre_VERB,pourrait_VERB mettre_VERB
1800,7.66547327657463e-06,3.144164484325529e-09,2.2952400513531757e-07
1801,7.045919119263999e-06,3.333655484993869e-08,2.690736380372982e-07
1802,7.2036073106573895e-06,2.0140561218795483e-08,2.3497321421928064e-07
1803,7.167496733018197e-06,7.801356893821776e-09,1.8723255834629526e-07
1804,1.0502894838282373e-05,1.4831105232815389e-08,2.916784183071286e-07
1805,7.149837529141223e-06,2.2743021688143017e-08,2.3311596919484145e-07
1806,6.8151475716149434e-06,1.4408345627714425e-08,1.7578182109900808e-07
1807,1.1142982657474931e-05,2.2775640928784924e-08,2.7046073114433966e-07
1808,9.358886018162593e-06,1.3596443970698147e-08,2.6966279165208107e-07
1809,8.57753911986947e-06,1.3554183553310395e-08,2.1460789412230952e-07
1810,9.861294529400766e-06,1.8721014072298203e-08,2.1763179347544792e-07
1811,1.0108533388120122e-05,1.7549536934780008e-08,3.560049037787394e-07
1812,1.44642699524411e-05,1.8670457180292033e-08,3.707419580223359e-07
1813,1.2687772141362075e-05,1.4378708002027452e-08,4.054795681440737e-07
1814,1.0972463314828929e-05,6.293354282149721e-09,1.888006266881348e-07
1815,9.901507837639656e-06,1.3486118000116676e-08,2.939973740012647e-07
1816,1.0415312317491043e-05,1.3905623319487859e-08,2.2712518443768204e-07
1817,1.0401471627119463e-05,1.2454987263765815e-08,3.42512151974006e-07
1818,1.0009020115830936e-05,2.1458118837358597e-08,3.6717227658300544e-07
1819,1.1678054761432577e-05,2.173720581311045e-08,2.9189962447162543e-07
1820,1.1928186722798273e-05,3.20394981656591e-08,3.73794165398067e-07
1821,1.1557664038264193e-05,1.577838126820552e-08,3.4219362987641944e-07
1822,1.2792685993190389e-05,1.1028177482330648e-08,3.980169367423514e-07
1823,1.1511353477544617e-05,1.2847492847356534e-08,3.4589405117912975e-07
1824,1.1758399523387197e-05,5.894778887238772e-09,4.084239719759353e-07
1825,1.2758206139551476e-05,5.283265824829186e-09,3.751118811123888e-07
1826,1.3244565707282163e-05,9.688783109140786e-09,4.5449198182723194e-07
1827,1.6524727470823564e-05,1.7512819638909605e-08,4.5625500888490933e-07
1828,1.5486513802898116e-05,2.109629271274116e-08,5.255728865449782e-07
1829,1.6552230590605177e-05,1.9718305044325035e-08,4.792405547959788e-07
1830,1.7239564840565436e-05,1.982998831806526e-08,4.613081330262503e-07
1831,1.8198055840912275e-05,3.274153304033689e-08,4.770909072249196e-07
1832,1.8741713574854657e-05,3.3824925083081325e-08,4.383710177080502e-07
1833,1.7251497411052696e-05,1.7375443306377747e-08,5.861315912625287e-07
1834,1.7324889995506965e-05,3.733812548034621e-08,4.387229637359269e-07
1835,1.536063246021513e-05,3.403389570166837e-08,4.7344929043902084e-07
1836,1.4807156730967108e-05,3.024337402735e-08,4.3617669120976643e-07
1837,1.4910064237483311e-05,5.0096815584765864e-08,4.842692078455002e-07
1838,1.5115102542040404e-05,3.029837714052519e-08,4.0082227314997e-07
1839,1.5965732018230483e-05,4.61437359433603e-08,4.775177444571455e-07
1840,1.6231240806519054e-05,3.821813265858509e-08,4.554327404093783e-07
1841,1.7745753211784177e-05,3.659712533021775e-08,4.719103117167833e-07
1842,1.702155168459285e-05,3.7566284305512454e-08,4.0182507632380293e-07
1843,1.6983551176963374e-05,4.016699423070591e-08,5.463892875923193e-07
1844,1.7642430975683965e-05,4.610391357573462e-08,4.983613735021208e-07
1845,1.702527515590191e-05,3.682950477923441e-08,4.843637952944846e-07
1846,1.684223025222309e-05,4.27378594736183e-08,4.90021761834214e-07
1847,1.795673779270146e-05,4.961765665001394e-08,4.222894176564296e-07
1848,1.8378505046712235e-05,4.103063133698015e-08,4.7305903194683196e-07
1849,1.9264274669694714e-05,4.4410900290614563e-08,4.105913262719696e-07
1850,1.800781137717422e-05,4.073397619208663e-08,4.473948251870752e-07
1851,1.7227741409442388e-05,3.998652076120379e-08,4.2630790630937554e-07
1852,1.668001823418308e-05,2.2135854038651814e-08,3.235741132812109e-07
1853,1.536936360935215e-05,2.20961471342207e-08,4.4252016095924773e-07
1854,1.6095129467430525e-05,4.312401458150816e-08,4.0006617041399295e-07
1855,1.4928944437997416e-05,3.3964397516683675e-08,3.783846125315904e-07
1856,1.516243446531007e-05,3.36517302912398e-08,4.240118016696215e-07
1857,1.4149053640721831e-05,3.6123165847445904e-08,4.124875090383284e-07
1858,1.4649219338025432e-05,3.0830157982109085e-08,4.0715383420319995e-07
1859,1.58554994413862e-05,2.64793023063703e-08,4.664430832690414e-07
1860,1.5485986295971088e-05,2.013961006297471e-08,4.961667627867428e-07
1861,1.5909774447209202e-05,2.357981898626349e-08,4.82914686017466e-07
1862,1.600225550646428e-05,3.478849566751485e-08,4.5179862695476913e-07
1863,1.5837942555663176e-05,5.094513255698985e-08,4.674965055073699e-07
1864,1.5232370969897602e-05,2.9727313943794798e-08,4.4878652261104435e-07
1865,1.560271812195424e-05,3.4830648587558244e-08,4.029058686683129e-07
1866,1.5296513083740138e-05,3.843834051053818e-08,4.291470645512163e-07
1867,1.6127349226735532e-05,3.34843974769683e-08,4.352971814114426e-07
1868,1.630998303880915e-05,2.8157281284357794e-08,4.184073247870401e-07
1869,1.617470297787804e-05,3.271957993433716e-08,4.956771704200946e-07
1870,1.621244882699102e-05,2.8096838633473453e-08,4.684717964664742e-07
1871,1.7806403775466606e-05,3.504988654867702e-08,4.290955644137284e-07
1872,1.6864214558154345e-05,3.205089882385437e-08,5.043481223765411e-07
1873,1.7580296116648242e-05,2.9331422624068182e-08,4.0585109672974795e-07
1874,1.678148146311287e-05,1.6728906260254917e-08,3.6863337982140365e-07
1875,1.6371006495319307e-05,2.7463329388410784e-08,3.638891143964429e-07
1876,1.6826663340907544e-05,2.2370254981751714e-08,4.0145539514924167e-07
1877,1.62394717335701e-05,2.1646856751544874e-08,4.601503178491839e-07
1878,1.6600850358372554e-05,4.5293166550663955e-08,3.744235073099844e-07
1879,1.681041976553388e-05,5.3151130496864596e-08,3.7816724329786666e-07
1880,1.7396856492268853e-05,4.685027832351807e-08,4.389806917970418e-07
1881,1.7096588635467924e-05,5.299105865219644e-08,4.357817147138121e-07
1882,1.6875394067028537e-05,4.059785041476971e-08,5.064748052063806e-07
1883,1.7363016013405286e-05,2.338155447034751e-08,3.829519528153469e-07
1884,1.6528669220861048e-05,4.8192387858136954e-08,4.304306457925122e-07
1885,1.7360674974042922e-05,4.5119449509911647e-08,4.4603800120057713e-07
1886,1.6577012502239086e-05,3.22673189834255e-08,4.40771572129961e-07
1887,1.7566071619512513e-05,5.157850324621904e-08,4.3090901158393535e-07
1888,1.748804970702622e-05,4.6286489086000415e-08,3.893137545674108e-07
1889,1.654497282288503e-05,2.7566601445982997e-08,3.45835559301122e-07
1890,1.7858081264421344e-05,4.391439034634459e-08,4.0375022081207135e-07
1891,1.7918569938046858e-05,2.8683990294098294e-08,3.7990352552697004e-07
1892,1.741141932143364e-05,3.823792482648969e-08,4.300199520912429e-07
1893,1.7770726117305458e-05,3.818218274886931e-08,4.895941287941241e-07
1894,1.6636693544569425e-05,4.285046628638156e-08,3.7746221437373606e-07
1895,1.7894544726004824e-05,3.009307270041006e-08,4.6463702574328636e-07
