year,voulut_VERB être_VERB,voulut_VERB etre_VERB,voulut_VERB mettre_VERB
1800,6.382653623404622e-07,3.144164484325529e-09,2.5153315164061496e-07
1801,7.429289894389512e-07,0.0,2.5478652787569445e-07
1802,7.899575393821578e-07,0.0,2.953948978756671e-07
1803,8.035397627281782e-07,0.0,3.666637837795861e-07
1804,1.013458927445754e-06,0.0,2.84262853256223e-07
1805,1.2338089163677068e-06,0.0,2.4164461365216994e-07
1806,9.59595809035818e-07,0.0,2.2765186713513685e-07
1807,8.028413276406354e-07,1.1387820464392462e-08,2.619198653519561e-07
1808,8.86034911218303e-07,0.0,2.6739672875919496e-07
1809,8.019558208616218e-07,0.0,2.5301142159150913e-07
1810,9.454112159801298e-07,0.0,2.433731935980177e-07
1811,1.0579864238025039e-06,0.0,3.484836668121716e-07
1812,1.3469401665133773e-06,0.0,4.2408609601807257e-07
1813,7.649472877346852e-07,0.0,3.853493808492203e-07
1814,1.0289634246873902e-06,0.0,2.926409763404081e-07
1815,8.658087722324126e-07,0.0,1.726223075593225e-07
1816,8.783718499216775e-07,0.0,2.109019590079697e-07
1817,1.0773563872135128e-06,3.113746815941454e-09,3.253865372698783e-07
1818,1.226689164468553e-06,1.1921177378582115e-09,3.516747426601796e-07
1819,1.2887056755062076e-06,4.140420006848444e-09,4.689025558946014e-07
1820,1.05730350696831e-06,0.0,3.868472902013309e-07
1821,9.753011909197085e-07,1.97229765852569e-09,4.960328396919067e-07
1822,9.343874012301967e-07,0.0,4.992756430510781e-07
1823,1.0821541991390404e-06,9.882686891060644e-10,4.7634551947339787e-07
1824,1.2757985814459971e-06,0.0,5.389512125475449e-07
1825,1.3533965557144256e-06,1.7610886970942374e-08,5.688316377927549e-07
1826,1.030534122037352e-06,1.7615968683770689e-09,5.187902729630878e-07
1827,1.0977772717524203e-06,0.0,4.3689874473784585e-07
1828,8.658652177473414e-07,0.0,3.0543762363777205e-07
1829,1.2696873454842716e-06,0.0,3.3949777389352676e-07
1830,9.048736728800577e-07,0.0,5.228855002314958e-07
1831,8.060653726715827e-07,0.0,3.4768390833050944e-07
1832,7.576782650176028e-07,0.0,3.3419024703107425e-07
1833,7.089180371622206e-07,1.1583628500844156e-09,2.339892972713642e-07
1834,8.41974667764589e-07,0.0,2.8096937398913724e-07
1835,9.045453452927177e-07,0.0,3.1764969321557146e-07
1836,8.206035886360041e-07,6.720750067579218e-10,3.474627874311409e-07
1837,7.472775109818031e-07,6.957890930081589e-10,4.4530503373607644e-07
1838,1.068017809302546e-06,6.312161904276081e-10,5.043417559136287e-07
1839,7.697614137214259e-07,3.4957374772659477e-09,4.2857743665081216e-07
1840,8.204158916669257e-07,1.2739377330817092e-09,3.7390071838672156e-07
1841,7.781704880471807e-07,6.420548537278137e-10,3.467096121312352e-07
1842,8.807951985545515e-07,6.708265054555795e-10,4.897033250017557e-07
1843,9.256129374080047e-07,1.7720733769266417e-09,3.8808406088719494e-07
1844,8.907935011848167e-07,5.488561272137815e-10,3.8200386143216747e-07
1845,8.883723126018594e-07,1.1160455892778032e-09,3.431840127632313e-07
1846,7.956267040754028e-07,0.0,3.8405528357543517e-07
1847,8.478147606183484e-07,2.6966118227278457e-09,3.397730949927791e-07
1848,6.798212552894256e-07,1.6090443422100975e-09,2.9365060072450433e-07
1849,6.276181920839008e-07,2.513824481908955e-09,2.9076571195219003e-07
1850,7.006244118201721e-07,1.3577992064028876e-09,3.1772501074556203e-07
1851,8.616449918008584e-07,1.2898877521649865e-09,2.8506519811344333e-07
1852,7.851717782614287e-07,2.6042181744401205e-09,2.7865135621141235e-07
1853,7.912809678600752e-07,5.971931837933653e-10,3.2965064633572183e-07
1854,9.222304129252734e-07,3.63696517347023e-09,3.844791649498802e-07
1855,9.748843012857833e-07,2.1227748447927297e-09,3.9112126160034677e-07
1856,9.344826708002074e-07,3.1063134287023786e-09,2.816391031501553e-07
1857,9.875292334982078e-07,4.881509085841174e-10,3.7392359786281304e-07
1858,8.358398417840363e-07,3.4255731584664773e-09,4.0030269587987277e-07
1859,8.24422841105843e-07,1.5276520048956854e-09,3.360834455179429e-07
1860,7.685091532039223e-07,1.8308735638683515e-09,3.648015649559966e-07
1861,7.356903211075405e-07,1.8863854922557266e-09,2.457016989865224e-07
1862,8.398936302000948e-07,1.3553959066214816e-09,3.1354824159279815e-07
1863,7.866527766964282e-07,1.4983863039219614e-09,2.9168586479499936e-07
1864,6.971534389776934e-07,4.315255264231155e-09,3.20287824706611e-07
1865,7.803947710272041e-07,1.4120533631256649e-09,3.097103729032824e-07
1866,7.254628826558474e-07,1.9462451650298362e-09,3.2696920015951036e-07
1867,8.351688620678033e-07,1.94112459439566e-09,2.5428732897125883e-07
1868,6.426776053558569e-07,5.433861360870651e-09,2.628013078265212e-07
1869,7.032267603790388e-07,2.9301114867763545e-09,2.593148735741124e-07
1870,7.471465437447478e-07,2.2936195165357276e-09,2.855556431313744e-07
1871,4.046668493629113e-07,1.0621177271019633e-09,2.187962451216663e-07
1872,6.343659038066107e-07,1.8142017887967654e-09,2.606403199933993e-07
1873,6.482842991317739e-07,4.190203295451056e-09,2.496163915566285e-07
1874,6.77520688441291e-07,1.1949218281515073e-09,2.628827928674582e-07
1875,7.226288971651229e-07,1.1443054281912168e-09,2.414484470136813e-07
1876,5.931140663051337e-07,1.209202959984168e-09,2.6602464231473277e-07
1877,6.574459234798269e-07,1.2369631985365004e-09,3.0738536338503764e-07
