year,devront_VERB être_VERB,devront_VERB etre_VERB,devront_VERB mettre_VERB
1800,4.037107373733306e-06,0.0,0.0
1801,2.1764008124591783e-06,9.524730337773235e-09,2.3811825844433088e-09
1802,2.2848348635307048e-06,0.0,2.2378401354217203e-09
1803,2.2155852548166877e-06,3.900678446910888e-09,0.0
1804,3.0700389288540464e-06,0.0,1.730295728918918e-08
1805,3.2266661946778186e-06,8.528632911009026e-09,8.528632911009026e-09
1806,6.737342573615024e-06,1.729001475325731e-08,2.0171682990621775e-08
1807,5.440531367639778e-06,1.4234775580490577e-08,1.4234775136401367e-08
1808,4.989894932805328e-06,1.8128591960930862e-08,6.798221985349073e-09
1809,4.714596798294224e-06,2.25903047379461e-08,4.518061036407062e-09
1810,5.305067588778911e-06,9.360507036149102e-09,9.360507036149102e-09
1811,7.969996659085155e-06,1.0028307073639553e-08,3.008491944456182e-08
1812,5.867857908015139e-06,2.9339290108509886e-08,1.3336041604361526e-08
1813,7.4079102887480985e-06,1.7254450312975678e-08,5.751483289628823e-09
1814,5.053563654655591e-06,6.293354282149721e-09,0.0
1815,5.556280484597664e-06,5.394447111228828e-09,1.3486118000116676e-08
1816,7.101138180587441e-06,9.270415546325239e-09,1.622322720606917e-08
1817,5.241992766968906e-06,7.784366928831332e-09,3.113746815941454e-09
1818,5.54215557713178e-06,1.4305412854298538e-08,0.0
1819,5.064768629381433e-06,1.449147024601416e-08,3.622867339458935e-08
1820,3.858979653159622e-06,1.1866481131050932e-09,3.441279616822612e-08
1821,3.6941135022061644e-06,1.2819934447350079e-08,4.930744257336528e-09
1822,4.240835551172495e-06,5.012807946513931e-09,5.012807946513931e-09
1823,4.239672762196278e-06,3.9530747564242574e-09,1.3835761869529506e-08
1824,4.2484512050577905e-06,5.894778887238772e-09,8.421112696055388e-09
1825,3.796026476265979e-06,3.522177216552791e-09,8.805443485471187e-09
1826,5.952435913059162e-06,4.403992281964975e-09,2.4662355713189754e-08
1827,6.296319043030962e-06,6.452091028119611e-09,1.013900075008678e-08
1828,5.420829893409973e-06,1.1006761724274838e-08,1.1923991571904935e-08
1829,6.1701148297288455e-06,1.7146351893870815e-08,4.286587973467704e-09
1830,5.385407348512672e-06,4.174734336004349e-09,1.461157062010443e-08
1831,7.195341822807677e-06,1.2472964883158966e-08,1.4032085715598441e-08
1832,6.158842097647721e-06,1.352996914505411e-08,3.111892965534935e-08
1833,7.744813956378493e-06,1.7375443306377747e-08,1.2741991461950875e-08
1834,7.439621185767464e-06,1.3068342852307069e-08,2.6136685704614138e-08
1835,6.586693416466005e-06,9.075705520444899e-09,8.31939672707449e-09
1836,7.318224561458919e-06,1.6129800772812786e-08,2.016225053580456e-08
1837,6.524414402520051e-06,1.6698937344017395e-08,9.74104708006962e-09
1838,6.346247573674191e-06,1.199310784016916e-08,1.8936486156917454e-08
1839,7.215901405288605e-06,1.677954131196202e-08,1.957613093850341e-08
1840,6.279239187279018e-06,2.293087852933695e-08,1.592422194107712e-08
1841,6.909152489242842e-06,1.6693427085101575e-08,2.5682194149112547e-08
1842,6.316502549452707e-06,1.8112315203211438e-08,2.3478927246856074e-08
1843,7.531902156188153e-06,2.4809025944705354e-08,2.4809025944705354e-08
1844,6.4051509980345145e-06,1.866110821424627e-08,1.3172547497219966e-08
1845,8.205724952858873e-06,2.7901139176833567e-08,1.6182660544927785e-08
1846,7.99783447291702e-06,3.1614305839866574e-08,2.6345256642912318e-08
