year,grand_ADJ or_NOUN,grand_ADJ mort_NOUN
1800,0.0,1.2576657937302116e-08
1801,2.3811825844433088e-09,0.0
1802,0.0,4.475680270843441e-09
1803,3.900678446910888e-09,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,8.540865348294346e-09,5.693910232196231e-09
1808,9.064295980465431e-09,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,1.4378708224072057e-08,0.0
1814,9.440030979135372e-09,0.0
1815,5.394447111228828e-09,0.0
1816,2.3176038865813098e-09,4.6352077731626196e-09
1817,1.556873407970727e-09,1.556873407970727e-09
1818,1.1921177378582115e-09,1.1921177378582115e-09
1819,1.035105001712111e-09,2.070210003424222e-09
1820,2.3732962262101864e-09,5.933240565525466e-09
1821,0.0,9.86148829262845e-10
1822,1.5038423839541792e-08,0.0
1823,6.917880934764753e-09,3.9530747564242574e-09
1824,4.463189817727198e-08,5.894778887238772e-09
1825,1.3208164340028361e-08,2.2894152573726956e-08
1826,6.165589039319741e-09,4.403992170942672e-09
1827,5.530363722527909e-09,9.217273055917019e-10
1828,9.172301251858528e-10,9.172301251858528e-10
1829,4.286587973467704e-09,3.429270423183084e-09
1830,9.39315247805439e-09,3.1310507520032616e-09
1831,1.5591206103948707e-09,2.6505050598757407e-08
1832,2.705993873419743e-09,2.705993873419743e-09
1833,1.2741991461950875e-08,1.2741991017861665e-08
1834,1.8669061851994684e-09,4.667265685043276e-09
1835,2.193295500774184e-08,2.0420337421001022e-08
1836,7.392825018825988e-09,1.5457725766054864e-08
1837,5.566312855087574e-09,1.1132625488130543e-08
1838,8.205810475558906e-09,4.418513332993257e-09
1839,4.894032512581248e-09,1.2584655095793096e-08
1840,1.2102408852854296e-08,1.46502836528839e-08
1841,4.494383976094696e-09,1.0272877659645019e-08
1842,1.0062397581833693e-08,6.708265054555795e-09
1843,6.497602234034616e-09,4.7255288571079745e-09
1844,4.939705144924034e-09,3.2382512671347286e-08
1845,1.2834524387717039e-08,1.2276501593078137e-08
1846,1.1123552079439492e-08,8.196302081486806e-09
1847,1.6179670936367074e-09,7.550513103637968e-09
1848,5.63165514222419e-09,8.04522137798358e-09
1849,9.217356211621563e-09,8.379414939696517e-10
1850,1.1541293254424545e-08,1.0862393651223101e-08
1851,3.8696632564949596e-09,1.2898877521649865e-09
1852,2.6042181744401205e-09,1.1067927019325907e-08
1853,2.149895506065036e-08,9.555090940693844e-09
1854,4.676097953293379e-09,2.5458755104068587e-08
1855,2.1227748447927297e-09,1.9104973603134567e-08
1856,3.1063135952358323e-09,1.4496129630003907e-08
1857,7.322263739784063e-09,4.930324060126168e-08
1858,1.1255454956948796e-08,9.787352261980686e-09
1859,5.601390906662118e-09,2.2914779407301467e-08
1860,4.577184048448757e-09,1.7851017636294486e-08
1861,6.602349444939648e-09,1.839225838295988e-08
1862,1.8071945051545413e-09,1.807194577319038e-08
1863,7.491931519609807e-09,1.3485475847119233e-08
