year,ait_VERB hérité_VERB,ait_VERB mérité_VERB
1800,3.144164484325529e-09,7.860410988769218e-08
1801,3.809892135109294e-08,3.809892135109294e-08
1802,6.713520406265161e-09,6.713520406265161e-08
1803,3.900678446910888e-09,1.2872239096850535e-07
1804,7.4155526164076946e-09,8.157108055684148e-08
1805,5.685755422035754e-09,6.538618890772341e-08
1806,0.0,9.797675204481493e-08
1807,2.562259560079383e-08,3.701041606518629e-08
1808,1.3596443970698147e-08,1.0877155176558517e-07
1809,2.259030518203531e-09,1.0391540428145163e-07
1810,7.020380277111826e-09,6.084329839950442e-08
1811,3.259199843341776e-08,6.016983888912364e-08
1812,1.3336041604361526e-08,6.401299401659344e-08
1813,2.8757416448144113e-09,1.3803560250380542e-07
1814,3.1466771410748606e-09,4.090680150170556e-08
1815,5.394447111228828e-09,4.045835311217161e-08
1816,2.3176038865813098e-09,4.8669683394564345e-08
1817,1.401186100480345e-08,7.472992535895173e-08
1818,3.5763532135746345e-09,7.033494853203592e-08
1819,2.6912729822470283e-08,8.487860725381324e-08
1820,1.1866481131050932e-08,5.458581142647745e-08
1821,2.9584464655840748e-08,1.1735171057125626e-07
1822,5.9151133768864383e-08,7.318699601910339e-08
1823,1.2847492847356534e-08,8.696764552951208e-08
1824,8.421112696055388e-10,3.789500624407083e-08
1825,5.283265824829186e-09,9.245714949202011e-08
1826,1.8496766784892316e-08,5.989429041619587e-08
1827,6.452091305675367e-09,7.92685455053288e-08
1828,1.0089530988466322e-08,6.970948618345574e-08
1829,9.430493719264632e-09,1.1402324417986165e-07
1830,6.262101504006523e-09,4.905312778191728e-08
1831,1.091384405071949e-08,4.989185953263586e-08
1832,1.3529969367098715e-09,5.953186388296672e-08
1833,2.7800709290204395e-08,4.51761508202253e-08
1834,1.213489042584115e-08,4.480574844478724e-08
1835,2.949604294144592e-08,4.9916380362446944e-08
1836,1.5457725766054864e-08,5.511014933290426e-08
1837,2.0177884252348122e-08,5.4967337348443834e-08
1838,1.4517972601879592e-08,6.754013526233393e-08
1839,1.3283802502428443e-08,6.921560213868361e-08
1840,1.7835128929277744e-08,5.223144583510475e-08
1841,1.0914932957462042e-08,5.072233477676491e-08
1842,1.1404051036834062e-08,7.244926081284575e-08
1843,1.8902115428431898e-08,7.206431718032036e-08
1844,4.9397050894128824e-09,8.232841963717874e-08
1845,8.928364714222425e-09,8.593551115154696e-08
1846,2.2832555401919308e-08,4.3323311160747835e-08
1847,1.4022381478184798e-08,5.123562374365065e-08
1848,3.620349886546137e-08,5.309846429213394e-08
1849,1.4245005175439474e-08,8.630797054820505e-08
1850,3.394498016007219e-09,6.924776130290411e-08
1851,3.8696632564949596e-09,6.126966667352463e-08
1852,1.5625309046640723e-08,4.296959943417278e-08
1853,1.5527023222716707e-08,6.210809289086683e-08
1854,4.676098175337984e-09,7.58567040293201e-08
1855,1.8574279891936385e-08,5.3600064831016425e-08
1856,1.65670055451983e-08,3.7793480345271746e-08
1857,7.810414537345878e-09,6.638852312335075e-08
1858,1.0276719919488642e-08,3.034079298913639e-08
1859,1.323965115318515e-08,5.9578429301154756e-08
1860,9.15436793036406e-09,4.943358788978003e-08
1861,8.017138064531082e-09,5.1875602480322414e-08
1862,3.162590411776023e-09,5.3764036778147783e-08
1863,2.0477944673302773e-08,5.0445670751742e-08
1864,1.0068928801842958e-08,4.746780746245349e-08
1865,1.1767110841276462e-08,4.142022902442477e-08
1866,1.1677471434268227e-08,4.525020003143254e-08
1867,1.1161466417775046e-08,4.076361648230886e-08
1868,2.420538258718352e-08,4.297690381349639e-08
1869,1.953407746668745e-08,5.07885999923019e-08
1870,2.121598008386627e-08,4.7019199200803996e-08
1871,1.5931766128574054e-08,4.460894587055009e-08
1872,1.0280476914203973e-08,3.507456725060365e-08
1873,1.855661402316855e-08,3.4718826924518e-08
1874,1.3741600746186577e-08,3.7042575229406793e-08
1875,1.5448122780981066e-08,3.89063856687244e-08
1876,9.673623679873344e-09,4.17175023414984e-08
1877,1.5462040536817767e-08,2.3502300550148902e-08
1878,1.2078177569208037e-08,4.5293166550663955e-08
1879,1.221865097988939e-08,4.093248051617593e-08
1880,3.273101611966922e-08,5.647704881539539e-08
1881,2.370652651961791e-08,4.462404845639867e-08
1882,7.986462158271479e-09,3.527354053289855e-08
1883,1.3270612164717477e-08,4.865891156669022e-08
1884,9.242375753615306e-09,3.300848305798354e-08
1885,1.0957580620640783e-08,3.7384687345820566e-08
1886,1.0325542199041138e-08,3.291266637006629e-08
1887,1.8933882017790893e-08,2.6768590899450828e-08
1888,2.028996703984376e-08,3.6775563927449184e-08
