year,put_VERB être_VERB,put_VERB etre_VERB,put_VERB mettre_VERB
1800,1.4840455833109445e-06,3.144164484325529e-09,1.131899196593622e-07
1801,1.6025359172999742e-06,4.7623651688866175e-09,7.857902772911984e-08
1802,1.351655441794719e-06,0.0,6.489736392722989e-08
1803,1.685093138803495e-06,7.801356893821776e-09,1.3457341196954076e-07
1804,1.4361454532263451e-06,2.4718509461507665e-09,1.6314216111368296e-07
1805,1.5124109040698386e-06,2.842877711017877e-09,2.5870187414511747e-07
1806,1.7866348116513109e-06,1.729001475325731e-08,8.06867319624871e-08
1807,1.6825504189910134e-06,2.8469551160981155e-09,1.4234775846944103e-07
1808,1.8264556729263859e-06,1.1330369531492579e-08,8.157866204783204e-08
1809,1.8591821344671189e-06,2.0331274441787173e-08,1.4683698168482806e-07
1810,1.9891076590283774e-06,7.020380277111826e-09,1.825298880930859e-07
1811,1.805095280360547e-06,1.0028307073639553e-08,2.3065106802278024e-07
1812,1.8190360151493223e-06,2.6672082320544632e-09,1.9203899626063503e-07
1813,1.774332645254617e-06,2.8757416448144113e-09,2.7319546802573313e-07
1814,2.139740445272764e-06,3.1466771410748606e-09,3.1152103474596515e-07
1815,1.9824592527584173e-06,1.0788894222457657e-08,1.537417375629957e-07
1816,1.8309070810573758e-06,6.952811659743929e-09,8.57513455798653e-08
1817,2.1593834844679805e-06,1.2454987263765815e-08,1.120948880384276e-07
1818,1.92050174518954e-06,7.152706427149269e-09,1.8239401811115385e-07
1819,2.4707956072234083e-06,3.1053151161586356e-09,1.376689624521532e-07
1820,1.965089268196607e-06,1.1866481131050932e-09,2.0054352489751182e-07
1821,2.3056159079715144e-06,4.930744257336528e-09,1.755344953835447e-07
1822,1.804610860745015e-06,2.0051231786055723e-09,2.6166856059717247e-07
1823,2.4726482479309198e-06,9.882686891060644e-10,1.8085316355609393e-07
1824,2.7722303457267117e-06,2.5263338088166165e-09,2.635808300510689e-07
1825,2.472568439770839e-06,1.7610886082763955e-09,1.9724191702152893e-07
1826,2.4133876195264747e-06,2.642395191543301e-09,1.876100697018046e-07
1827,2.261918780277483e-06,5.530363722527909e-09,2.037017310385636e-07
1828,2.0729401057906216e-06,6.420610709767516e-09,1.3208114069129806e-07
1829,2.949172539956635e-06,1.714635211591542e-09,2.1347207734834228e-07
1830,2.5225831450370606e-06,4.174734336004349e-09,1.6385831713705556e-07
1831,2.167177626688499e-06,1.091384405071949e-08,1.9956743813054345e-07
1832,2.4083344669634243e-06,4.058990921151917e-09,1.93478555843285e-07
1833,2.18930586015631e-06,1.0425265983826648e-08,2.386227606621105e-07
1834,2.1432083485706244e-06,2.8003592777992026e-09,1.8015644798197172e-07
1835,2.204640168201877e-06,1.0588323107185715e-08,2.140353956292529e-07
1836,2.3704085378994932e-06,3.36037508930076e-09,1.888530789528886e-07
1837,2.412300773357856e-06,1.1828414692161004e-08,2.0804094447157695e-07
1838,2.454168452459271e-06,4.418513555037862e-09,2.09563779662858e-07
1839,2.7210821826884057e-06,8.38977065598101e-09,2.1463829114054533e-07
1840,2.517301027182839e-06,5.095750932326837e-09,3.0319716870508273e-07
1841,2.4648486487421906e-06,6.420548537278137e-09,1.8362769083068997e-07
1842,2.3995464744075434e-06,6.708265054555795e-09,2.3210597532852262e-07
1843,2.3113743736757897e-06,8.269675610961258e-09,2.2623468964866333e-07
1844,2.7574531031859806e-06,9.330554107123135e-09,2.9144260338398453e-07
1845,2.8425681648514e-06,1.674068350610014e-08,2.6282873477612156e-07
1846,2.440156094962731e-06,4.0981511517657054e-09,2.3827820427868573e-07
1847,2.4350404146389337e-06,7.550513103637968e-09,1.8390892364550382e-07
1848,2.18105969906901e-06,6.43617736884039e-09,2.1078480472169758e-07
1849,2.400702442173497e-06,6.703531951757213e-09,1.784815424343833e-07
1850,2.3286256691790186e-06,6.788996032014438e-09,1.5275240627943276e-07
1851,2.471424977557035e-06,9.029214709244116e-09,2.147663167306746e-07
1852,2.3945785869727843e-06,7.161600201754936e-09,1.8880581365010585e-07
1853,2.6539264581515454e-06,8.957897534855874e-09,1.672140967912128e-07
1854,2.4663818294357043e-06,1.506742641765868e-08,2.15100513401012e-07
1855,2.3817533474357333e-06,7.429711956774554e-09,1.8945765134503745e-07
1856,2.6077502752741566e-06,1.0872097000458325e-08,2.2365458107742597e-07
1857,2.48322362494946e-06,5.857811125054013e-09,1.6890021470317151e-07
1858,2.642095751070883e-06,1.3702292633865909e-08,2.6670534225559095e-07
1859,2.5791857751755742e-06,6.110608019582742e-09,2.041961550958149e-07
1860,2.444216306685121e-06,3.661747127736703e-09,2.4716791813261807e-07
1861,2.3216689442051575e-06,6.13075279431996e-09,2.018432496697642e-07
1862,2.30959449254442e-06,4.517986429419807e-09,2.0556836943796952e-07
1863,2.2515750970342197e-06,5.9935452156878455e-09,1.9379129412300244e-07
1864,2.3820207388780545e-06,1.102787461348953e-08,1.91309638353232e-07
1865,2.3948423404362984e-06,5.6482134525026595e-09,1.402639639991321e-07
1866,2.4887610834412044e-06,8.75810357570117e-09,1.7856798706361587e-07
1867,2.580239879534929e-06,6.308654931785895e-09,1.8586267458431394e-07
1868,2.4146104351530084e-06,1.333765986544222e-08,2.2328231352730654e-07
1869,2.217117753389175e-06,9.767038733343725e-09,2.0120099009091064e-07
1870,2.5717208700370975e-06,1.204150201772336e-08,2.087193706756807e-07
1871,2.861345137716853e-06,1.0621177271019633e-09,1.6887672416032729e-07
1872,2.6541772513155593e-06,8.4662747923403e-09,2.1165688224300538e-07
1873,2.74697754321096e-06,5.387403856360606e-09,1.676081211599012e-07
1874,2.5451834062550915e-06,4.182226565063729e-09,1.9178494881089136e-07
1875,2.4659782411617925e-06,4.005069165202713e-09,2.0597497041308088e-07
1876,2.539326260375674e-06,4.836811839936672e-09,1.753344349708641e-07
1877,2.54999963544833e-06,6.184816214727107e-09,1.7874118896088476e-07
1878,2.6312309273635037e-06,8.4547240319921e-09,1.769452921962511e-07
1879,2.548199518059846e-06,4.887460214320072e-09,2.0038586967530136e-07
1880,2.287962161062751e-06,7.701415505323439e-09,1.8996824735495466e-07
1881,2.4048179056990193e-06,9.761510710859511e-09,1.6176217343399912e-07
1882,2.66947495219938e-06,5.324308105514319e-09,1.6838124849982705e-07
1883,2.3071906980476342e-06,3.791603475633565e-09,1.819969668304111e-07
1884,2.612951675473596e-06,5.941527270181268e-09,1.8880852792335645e-07
1885,2.4893045065255137e-06,5.80107206715752e-09,1.6887565834622364e-07
1886,2.4639325602038298e-06,1.1616235084943582e-08,1.8650510469342407e-07
1887,2.3693467028351733e-06,2.6115698492645834e-09,1.8933882017790893e-07
1888,2.4893254249036545e-06,4.4384300679212174e-09,1.984612367778027e-07
1889,2.4747289444349008e-06,3.759081934617825e-09,1.6978520989141543e-07
1890,2.202929408667842e-06,5.243509182406569e-09,1.638596671682535e-07
1891,2.3093798517948017e-06,8.286486163910922e-09,1.3258377862257475e-07
1892,2.2729625470674364e-06,7.522214851007902e-09,1.5107114847978664e-07
1893,2.2626022655458655e-06,8.005941687372342e-09,1.576554637949812e-07
1894,2.3353504730039276e-06,5.041231432301174e-09,1.241403282392639e-07
1895,2.324990873603383e-06,7.22233739480771e-09,1.7634540938615828e-07
1896,2.4755727281444706e-06,7.076434549446731e-09,1.4565661388132867e-07
1897,2.290481006639311e-06,5.826713334045053e-09,1.468331873866191e-07
1898,2.4591211058577755e-06,5.092519295146758e-09,1.5051223556383775e-07
1899,2.4249486614280613e-06,6.080336234504102e-09,1.7964629250855069e-07
