year,auraient_VERB hérité_VERB,auraient_VERB mérité_VERB
1800,3.144164484325529e-09,4.087413785214267e-08
1801,4.7623651688866175e-09,5.476719877606229e-08
1802,2.2378401354217203e-09,1.7902721083373763e-08
1803,1.950339223455444e-09,3.315576790896557e-08
1804,7.4155526164076946e-09,3.460591457837836e-08
1805,0.0,0.0
1806,0.0,8.645007376628655e-09
1807,0.0,4.555128185756985e-08
1808,0.0,3.6257183921861724e-08
1809,0.0,3.6144488291256494e-08
1810,4.680253518074551e-09,5.8503168531842675e-08
1811,0.0,4.011322829455821e-08
1812,1.8670457180292033e-08,1.600324850414836e-08
1813,1.4378708002027452e-08,2.8757416004054903e-08
1814,0.0,1.2586708564299443e-08
1815,0.0,2.4275012222574333e-08
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,0.0,2.3353100786493997e-08
1818,3.5763532135746345e-09,4.053200441944682e-08
1819,6.210630232317271e-09,8.177329391401145e-08
1820,1.1866481131050932e-09,2.4919611263385377e-08
1821,1.577838126820552e-08,4.7335142028259725e-08
1822,8.02049271442229e-09,4.912551787583652e-08
1823,1.087095569118901e-08,3.4589405117912975e-08
1824,6.736890156844311e-09,3.3684450784221553e-08
1825,2.641632912414593e-09,5.371320099811783e-08
1826,8.80798456392995e-09,5.372870504061211e-08
1827,7.373818444733615e-09,4.7008093417844066e-08
1828,0.0,5.044765671868845e-08
1829,2.1432940755516938e-08,2.4004892296147773e-08
1830,1.461157062010443e-08,5.635891398014792e-08
1831,1.2472964883158966e-08,4.677361786775691e-08
1832,1.3529969367098715e-09,3.6530916958099624e-08
1833,6.950177322551099e-09,3.70676112027013e-08
1834,5.600718555598405e-09,2.8937046536725575e-08
1835,1.1344631900556124e-08,3.932805725526123e-08
1836,4.032449929525228e-09,5.981467410265395e-08
1837,4.87052354003481e-09,3.270208637218275e-08
1838,8.2058102535143e-09,4.670999942391063e-08
1839,3.4957374772659477e-09,4.194885150354821e-08
1840,2.356784811752277e-08,3.9492068282243054e-08
1841,5.778493683550323e-09,3.2102743574569104e-08
1842,6.037438549100216e-09,2.95163662400455e-08
1843,8.860366662588604e-09,4.134837894298471e-08
1844,1.5916826967554698e-08,3.0735943568060975e-08
1845,8.37034175305007e-09,4.3525776760589e-08
1846,9.367202125076801e-09,3.571245699163228e-08
1847,5.393223645455691e-10,4.58424018745518e-08
1848,2.413566591030758e-08,7.964769821455775e-08
1849,8.379414939696517e-10,4.357295679824347e-08
1850,1.6293590476834652e-08,4.0055077477063605e-08
1851,1.7413483988093503e-08,4.063146263888484e-08
1852,3.2552727180501506e-09,3.6459056218518526e-08
1853,1.1943863675867306e-09,4.717826129763125e-08
1854,0.0,5.195664343204953e-08
1855,1.1144567935161831e-08,3.874064091746732e-08
1856,1.501384794266869e-08,3.9346637947801355e-08
1857,4.881508974818871e-09,4.393358210563747e-08
1858,6.8511463169329545e-09,4.061751113226819e-08
1859,2.5460866748261424e-09,2.64793023063703e-08
1860,4.119465657481669e-09,1.6020143434047895e-08
1861,5.187560159214399e-09,3.584132457490341e-08
1862,1.8071945051545413e-09,3.6595690033891515e-08
1863,6.99246927027275e-09,3.845858032036631e-08
1864,4.794728170054441e-09,4.890622662401256e-08
1865,4.706844247692743e-09,4.283228349777346e-08
1866,1.3623716377253459e-08,3.843834051053818e-08
1867,1.9896527092555516e-08,3.396968040192405e-08
1868,5.9278488784286765e-09,5.977247496957716e-08
1869,3.906815315701806e-09,4.150991372853241e-08
1870,1.4335121534259088e-08,4.6445794765759274e-08
1871,1.1683295220166201e-08,4.6733180880664804e-08
1872,5.442605477412599e-09,3.0236694925633856e-08
1873,4.190203295451056e-09,2.6937019725892242e-08
1874,4.182226565063729e-09,2.5690820137924675e-08
1875,1.716458086775674e-09,2.689117728493784e-08
1876,1.6324239737741664e-08,3.204387866162506e-08
1877,8.040260901509555e-09,4.824156363270049e-08
1878,2.4156354694326865e-09,4.287753085918666e-08
1879,1.5273313280772527e-08,5.987138962382232e-08
1880,7.701415505323439e-09,4.428314070992201e-08
1881,3.4862537301449947e-09,4.9504802035471585e-08
1882,3.9932310791357395e-09,3.7270154962243396e-08
1883,2.5277355764075082e-09,2.9068958795619437e-08
1884,1.5844072720483382e-08,2.0465261485469455e-08
1885,1.2891271383708158e-09,4.3185760745245716e-08
1886,2.5813855497602844e-09,1.936039240035825e-08
1887,4.570247291724172e-09,3.395040693021656e-08
1888,8.242799331981132e-09,3.106901047544852e-08
1889,1.3156786771162388e-08,3.759081934617825e-08
1890,2.6217545912032847e-09,2.94947390955258e-08
1891,5.099376032546843e-09,1.2748440525456317e-08
1892,7.522214851007902e-09,2.2566645441202127e-08
1893,1.539604177480669e-08,3.1407925149551374e-08
1894,1.3233232287745977e-08,3.276800342177921e-08
1895,7.824199066419624e-09,3.1296796265678495e-08
1896,5.307326134129653e-09,2.8305738197786923e-08
1897,9.322741689743452e-09,4.311768009301886e-08
1898,6.224190496340043e-09,2.3765091228256097e-08
1899,6.633094074004475e-09,3.040167939616367e-08
1900,3.114631885736685e-09,2.180242297811219e-08
1901,1.117747761014698e-08,3.576792906301307e-08
1902,3.928227076954727e-09,2.258730624760119e-08
1903,1.2420506401156217e-08,1.3500550899436803e-08
1904,1.2361637935498493e-08,2.042357571951925e-08
1905,6.708986699521802e-09,3.148063143498803e-08
1906,4.115347618238729e-09,3.961022088105892e-08
1907,1.0799970695529737e-08,4.319988278211895e-08
1908,1.276961114626829e-08,2.553922229253658e-08
1909,6.0510818578052294e-09,2.640472018811124e-08
1910,4.809735720812114e-09,3.20649036211762e-08
1911,5.852411444351446e-09,3.8838731342139e-08
1912,7.293189607793238e-09,1.3544495303108306e-08
1913,1.060597942803554e-09,3.181793672979438e-08
1914,7.366418142140674e-09,2.1429579888376793e-08
1915,4.712304768617059e-09,1.8849219074468238e-08
1916,2.197492410260793e-09,1.2086208478478966e-08
1917,5.483212106582869e-09,3.070598708632133e-08
1918,1.033773866510046e-08,8.040463406189247e-09
1919,5.524709134618888e-09,3.314825391953491e-08
1920,4.543339038320937e-09,2.4231141537711665e-08
1921,2.2718242842501013e-09,2.9533714140939082e-08
