year,voulait_VERB être_VERB,voulait_VERB etre_VERB,voulait_VERB mettre_VERB
1800,6.131120926511358e-07,0.0,1.5720821977538435e-07
1801,6.905429472681135e-07,0.0,2.3097470602806425e-07
1802,4.609950678968744e-07,0.0,1.3874608839614666e-07
1803,5.948534749222745e-07,0.0,1.618781624301846e-07
1804,6.05603474923555e-07,0.0,3.015658194271964e-07
1805,6.02690079176682e-07,0.0,1.0802935435094696e-07
1806,5.676888008565584e-07,0.0,2.420601958874613e-07
1807,8.540865223949368e-07,2.8469551160981155e-09,2.2490945639219717e-07
1808,5.279952688397316e-07,0.0,1.6315732409566408e-07
1809,6.641549816777115e-07,9.036122072814123e-09,2.597885213617701e-07
1810,6.786367521272041e-07,0.0,1.9657065308820165e-07
1811,9.602104000805411e-07,0.0,1.9053783262279467e-07
1812,1.0028702490672003e-06,0.0,2.1337666566978442e-07
1813,1.0295154879713664e-06,0.0,2.933256553205865e-07
1814,9.093897119782923e-07,0.0,2.7690759907272877e-07
1815,8.010753731468867e-07,0.0,2.1038343334112142e-07
1816,7.995733426469087e-07,0.0,2.5261883251914696e-07
1817,1.0524464642003295e-06,0.0,3.2071591249405174e-07
1818,1.1408566251702723e-06,0.0,2.813397941281437e-07
1819,1.2731791230180534e-06,1.035105001712111e-09,2.4428479150628846e-07
1820,1.2792066854672157e-06,2.3732962262101864e-09,2.9072879215163994e-07
1821,1.1991569408564828e-06,0.0,4.102379023152025e-07
1822,1.2552070529636694e-06,0.0,3.478888856989215e-07
1823,1.1967933915002504e-06,0.0,3.0932810091144347e-07
1824,1.1772715424740454e-06,8.421112696055388e-10,4.648454137168301e-07
1825,1.2362842198854196e-06,0.0,3.751118811123888e-07
1826,9.618319154469646e-07,1.7615968683770689e-09,3.4439219120940834e-07
1827,1.3042441651123227e-06,0.0,4.6270710640783363e-07
1828,1.0832487760126241e-06,1.8344602503717056e-09,3.43044064265996e-07
1829,2.015553718592855e-06,8.57317605795771e-10,4.6638078288196994e-07
1830,1.520646947028581e-06,1.0436835840010872e-09,4.487839362354862e-07
1831,1.0711158893172978e-06,0.0,3.3365179774591525e-07
1832,1.5600054439346422e-06,0.0,4.667839448302402e-07
1833,1.2463984830901609e-06,0.0,3.2781667869130615e-07
1834,1.2937659903400345e-06,1.8669061851994684e-09,5.180664857107331e-07
1835,1.1435388387326384e-06,6.050470346963266e-09,3.7588546319966554e-07
1836,1.1230373502257862e-06,4.032449929525228e-09,4.0929367628450564e-07
1837,1.3185202760723769e-06,3.478945576063097e-09,4.1399451333745674e-07
1838,1.4366480627359124e-06,1.2624323808552163e-09,4.5068836129757983e-07
1839,1.0997590607075836e-06,6.9914751765765e-10,4.4885271677230776e-07
1840,1.6866935084181023e-06,3.1848443882154243e-09,4.7263088731597236e-07
1841,1.2475126140998327e-06,1.2841097074556274e-09,4.064207246301521e-07
1842,1.5026513437987887e-06,6.708265054555795e-10,5.198905341785576e-07
1843,1.4135238188828225e-06,1.1813822142769936e-09,4.566042264286807e-07
1844,1.6010133094823686e-06,2.195424508855126e-09,5.329392820385692e-07
1845,1.53400469571352e-06,1.674068439427856e-09,4.771094950228871e-07
1846,1.4513308315144968e-06,5.854501328173001e-10,4.5723655262008833e-07
1847,1.493922923145874e-06,1.6179670936367074e-09,4.3199722199460666e-07
