year,devaient_VERB hériter_VERB,devaient_VERB mériter_VERB
1800,0.0,6.288328968651058e-09
1801,4.7623651688866175e-09,1.6668277424969347e-08
1802,2.2378401354217203e-09,0.0
1803,5.851017448321727e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,2.881669125542885e-09
1807,5.693910232196231e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,2.25903047379461e-08
1810,0.0,4.680253518074551e-09
1811,0.0,2.2563691359778204e-08
1812,1.3336041604361526e-08,5.3344164641089264e-09
1813,5.751483289628823e-09,8.627225156487839e-09
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,2.697223555614414e-09,2.697223555614414e-09
1816,2.7811246638975717e-08,2.3176038865813098e-09
1817,1.5568733857662664e-08,1.5568733857662664e-08
1818,1.668964877410417e-08,1.1921177378582115e-09
1819,1.5526575580793178e-08,1.035105001712111e-09
1820,5.933240565525466e-09,8.306536791735653e-09
1821,2.3667571014129862e-08,9.861488514673056e-09
1822,2.4061478143266868e-08,1.0025615893027862e-09
1823,2.174191138237802e-08,3.9530747564242574e-09
1824,1.1789557774477544e-08,7.57900142644985e-09
1825,2.641632912414593e-09,8.805443041381977e-10
1826,2.642395191543301e-09,8.807984341885344e-10
1827,1.1060727445055818e-08,0.0
1828,1.4675682002973645e-08,6.420610709767516e-09
1829,2.0575622983187714e-08,1.800366966620004e-08
1830,4.174734336004349e-09,7.305785310052215e-09
1831,2.494592976631793e-08,0.0
1832,9.470978667991403e-09,4.058990921151917e-09
1833,1.853380560135065e-08,2.3167257001688313e-09
1834,3.453776287187793e-08,9.334530925997342e-10
1835,1.8907719834260206e-08,0.0
1836,2.083432448785061e-08,5.376600054063374e-09
1837,2.1569462660409044e-08,2.0873671680021744e-09
1838,2.7142295522253335e-08,1.5149188570262595e-08
1839,2.3771015378315496e-08,0.0
1840,2.165694112932215e-08,5.732719632334238e-09
1841,5.778493683550323e-09,9.630822361827995e-09
1842,4.494537719779146e-08,1.1404051036834062e-08
1843,2.7762482091020502e-08,1.0041748765843295e-08
1844,2.030767731753258e-08,7.683985892015244e-09
1845,1.1718478631905782e-08,7.254296274794569e-09
1846,5.854501328173001e-09,8.781752214304106e-09
1847,1.7258315665458213e-08,2.3730184040005042e-08
1848,1.850401076808339e-08,1.448139919091318e-08
1849,5.865590679832167e-09,4.1897072478036534e-09
1850,8.82569484161877e-09,7.467895635215882e-09
1851,5.8044946626978344e-09,3.8696632564949596e-09
1852,9.114764054629632e-09,5.208436348880241e-09
1853,1.6721408258035808e-08,3.5831591027601917e-09
1854,1.0391328686409906e-08,5.195664343204953e-09
1855,1.539011762474729e-08,1.0083180512765466e-08
1856,1.1389816201301528e-08,1.7084724746041502e-08
1857,5.857811125054013e-09,1.9526036343364694e-09
1858,1.0766087576996597e-08,9.297984604472731e-09
1859,2.2914779407301467e-08,8.656694916453489e-09
1860,1.1900677776566226e-08,4.119465657481669e-09
1861,2.4994607272788016e-08,3.206855225812433e-08
1862,1.355395884417021e-08,9.035972858839614e-09
1863,1.6482248454963155e-08,5.494082966350788e-09
1864,2.3014694150447212e-08,1.2466292886870178e-08
1865,2.2592853810010638e-08,4.23615986733239e-09
1866,1.6543083347642096e-08,1.3623716377253459e-08
1867,1.455843445796745e-08,1.1161466417775046e-08
1868,2.5193358510477992e-08,7.903798504571569e-09
1869,2.0022428159904848e-08,1.4162205630441349e-08
1870,2.121598008386627e-08,4.587239033071455e-09
1871,2.7615060460561835e-08,2.1242354542039266e-09
1872,5.442605477412599e-09,1.8746751706544273e-08
1873,2.3944018323618366e-08,1.3767810003173508e-08
1874,4.182226565063729e-09,5.974609140757536e-10
1875,1.0870901512305409e-08,5.721527140956084e-10
1876,1.3905833817773328e-08,3.627608879952504e-09
1877,1.5462040536817767e-08,9.27722432209066e-09
1878,9.662541877730746e-09,6.039088784604019e-09
1879,1.0385853066452455e-08,1.2829582729523281e-08
1880,7.701415505323439e-09,6.417846254436199e-09
1881,7.669758161910067e-09,1.1156012114099667e-08
1882,1.2645231528551903e-08,3.9932310791357395e-09
1883,4.423537092179686e-09,5.0554711528150165e-09
1884,4.621187876807653e-09,6.601696966868076e-09
1885,1.0313017106966527e-08,0.0
1886,1.2906927970846027e-08,1.1616235084943582e-08
1887,8.48760173255414e-09,6.528924512139156e-09
1888,1.1413106904001324e-08,1.014498351992188e-08
1889,3.132568426877924e-09,5.012109394186837e-09
1890,2.4251230357208442e-08,1.9663159989136147e-09
1891,1.2748440525456317e-08,6.374220040683554e-10
1892,1.8805537127519756e-09,9.402768341715273e-09
1893,7.390100087434348e-09,1.23168328869383e-08
1894,1.5753848003896564e-08,1.071261657159539e-08
1895,1.444467478961542e-08,2.4074457982692365e-09
1896,1.2383760683576384e-08,4.717623180994224e-09
1897,1.4566784223291052e-08,1.7480140668268973e-09
1898,7.921697076085366e-09,2.8291773368493978e-09
1899,2.7637891975018647e-09,6.633094074004475e-09
1900,8.30568502863116e-09,1.0901211489056095e-08
1901,1.1177477832191585e-09,1.2854099118442264e-08
1902,5.892340837476695e-09,2.9461704187383475e-09
1903,9.720396931811592e-09,1.1340462791054051e-08
1904,4.837162670412454e-09,6.987012746151322e-09
1905,8.773290538499623e-09,3.096455536422127e-09
1906,1.18316245689698e-08,1.0288369045596824e-09
1907,4.114274698707732e-09,5.142843484406967e-09
1908,9.822778146428846e-09,1.964555629285769e-09
1909,5.5009836685826485e-09,5.500983557560346e-10
1910,1.6032452032632705e-09,5.34415089958884e-09
1911,1.0108711201439746e-08,5.852411444351446e-09
1912,4.167536982180309e-09,1.5628263128064646e-09
1913,7.42418571064718e-09,1.590896969716482e-09
1914,4.018046340092951e-09,3.3483718020477227e-09
1915,1.1780761921542648e-09,0.0
1916,3.2962386153911893e-09,0.0
1917,7.676496771580332e-09,7.676496771580332e-09
1918,0.0,1.1486376294556067e-09
1919,2.762354567309444e-09,4.603924352863942e-09
1920,1.514446346106979e-09,7.572231730534895e-10
1921,3.7863738810983705e-09,1.2873671018098776e-08
1922,2.951174193910333e-09,4.426761179843197e-09
1923,1.0615948120573648e-09,0.0
1924,2.1915761649893284e-08,0.0
1925,1.0998177923937646e-09,1.0998177923937646e-09
1926,5.57306911730393e-09,3.343841648018042e-09
1927,1.2264147031260109e-08,1.1149224876660924e-09
1928,2.2852082448565625e-09,1.1426041224282812e-09
1929,5.570202965543558e-09,1.1140406375176326e-09
1930,6.302162347537887e-09,7.352522590764465e-09
1931,6.843213995466613e-09,2.2810713318222042e-09
1932,5.4797681947604815e-09,4.383814644626227e-09
1933,4.588264879146209e-09,2.2941324395731044e-09
1934,4.7926320689839486e-09,3.5944740517379614e-09
1935,8.377798899061872e-09,4.787313656606784e-09
1936,3.6374143697059935e-09,3.6374143697059935e-09
1937,0.0,0.0
1938,2.5930428915188486e-09,1.2965214457594243e-09
