year,pouvait_VERB hériter_VERB,pouvait_VERB mériter_VERB
1800,0.0,1.0375742931501009e-07
1801,0.0,5.476719877606229e-08
1802,4.475680270843441e-09,5.818384352096473e-08
1803,0.0,8.191424427650418e-08
1804,2.4718509461507665e-09,7.168367943677367e-08
1805,2.842877711017877e-09,3.695740957709859e-08
1806,0.0,6.051504897186533e-08
1807,0.0,1.3380689267705748e-07
1808,6.798221985349073e-09,7.478044494746428e-08
1809,6.7770917766551975e-09,5.1957702140725814e-08
1810,0.0,1.4040760554223652e-08
1811,2.5070767684098882e-09,6.267691787797958e-08
1812,2.1337665856435706e-08,9.868670503010435e-08
1813,2.5881675469463516e-08,1.8404746526812232e-07
1814,0.0,6.922689976818219e-08
1815,8.091670444798638e-09,6.203614333344376e-08
1816,0.0,4.6352077731626196e-08
1817,0.0,5.1376822796100896e-08
1818,1.3113295338484932e-08,1.490147241156592e-07
1819,1.6561680027393777e-08,1.2524770909294602e-07
1820,5.933240565525466e-09,1.0798498095709874e-07
1821,2.7612166775270452e-08,8.678109963966563e-08
1822,4.712039469723095e-08,9.323822780515911e-08
1823,4.941343334508019e-09,5.435477845594505e-08
1824,7.57900142644985e-09,9.094802067011187e-08
1825,1.4088708866211164e-08,6.251864448358901e-08
1826,2.8185549894033102e-08,1.0305341646699162e-07
1827,1.8434546111834038e-09,1.0784209791836474e-07
1828,2.2930752408001354e-08,5.503380862137419e-08
1829,1.971830521085849e-08,6.42988169374803e-08
1830,2.5048406016026092e-08,1.5446516954398248e-07
1831,1.870944643656003e-08,4.053713453799901e-08
1832,4.058990921151917e-09,5.411987658021644e-08
1833,1.0425265983826648e-08,8.80355770505048e-08
1834,1.0267983796552471e-08,7.654315226091057e-08
1835,6.050470346963266e-09,1.0437061348511634e-07
1836,1.5457725766054864e-08,5.1749776019960336e-08
1837,1.1132625488130543e-08,4.940102726891382e-08
1838,2.3354999711955315e-08,6.059675428105038e-08
1839,2.6567605004856887e-08,5.3135210009713774e-08
1840,3.3122379505812205e-08,7.834717052901397e-08
1841,1.3483152372373297e-08,3.78812359258518e-08
1842,6.708265054555795e-09,4.561620414733625e-08
1843,1.7130041385371442e-08,5.3752891915337386e-08
1844,3.677336124496833e-08,5.3787900355928286e-08
1845,9.48638767539478e-09,5.133809821700197e-08
1846,2.751615646445771e-08,5.795956425913573e-08
1847,1.77976389181822e-08,1.0408921724547326e-07
1848,4.82713291560799e-09,5.068489628001771e-08
1849,2.0948537127196687e-08,4.4410899846525353e-08
1850,8.146795238417326e-09,4.1412874907109654e-08
1851,3.0957306051959677e-08,4.127640806927957e-08
1852,1.1067927019325907e-08,5.729280161403949e-08
1853,2.5679307569248522e-08,3.2845626662947325e-08
1854,1.558699302961486e-08,4.000661490977109e-08
1855,1.0613874223963649e-08,4.988520885262915e-08
1856,1.863788057221427e-08,2.8992259260007813e-08
1857,9.274867096564776e-09,5.369659916709679e-08
1858,2.0553439838977283e-08,4.208561321661364e-08
1859,1.9350258284589472e-08,2.800695320104296e-08
1860,1.1900677776566226e-08,5.7214798232507746e-08
1861,1.7920662287451705e-08,4.480165571862926e-08
1862,1.1294965851504912e-08,4.879425219428413e-08
1863,1.39849385405455e-08,3.096664968893492e-08
1864,1.2466292886870178e-08,4.1234660130839984e-08
1865,2.8241067262513297e-09,5.318734253023649e-08
1866,9.244664589402873e-09,5.7900795269461014e-08
1867,6.308654931785895e-09,4.901339423213358e-08
1868,9.385760613156435e-09,4.0506968446152314e-08
1869,6.8369265804335555e-09,4.2974967584541446e-08
1870,1.4335121534259088e-08,4.4152177025580386e-08
1871,1.911811864374613e-08,7.116188527334089e-08
1872,8.4662747923403e-09,3.205089882385437e-08
1873,2.1549615425442425e-08,3.71132280463371e-08
1874,4.182226565063729e-09,2.0911132381229436e-08
1875,1.0870901512305409e-08,4.2339301842275745e-08
1876,1.5719638923883394e-08,4.5949711591219966e-08
1877,1.2988113695655557e-08,4.08197848855707e-08
1878,1.6305540029293297e-08,4.891661831152305e-08
1879,1.2829582729523281e-08,3.4823152361695975e-08
1880,2.0537108014195837e-08,5.262634061864446e-08
1881,1.8128519130300447e-08,4.671580100534811e-08
1882,9.317538740560849e-09,4.19289278852375e-08
1883,2.0853818227806187e-08,2.9068958795619437e-08
1884,7.2618666635548834e-09,1.3203393933736152e-08
1885,9.023890079618013e-09,2.320428826863008e-08
1886,2.9040586824180536e-08,2.1296431285122708e-08
1887,1.0446279397058333e-08,1.5016526688782506e-08
1888,8.876860135842435e-09,2.53624587998047e-08
1889,2.0048437576747347e-08,2.6940087494153886e-08
1890,9.176140736144589e-09,3.9326319978272295e-08
1891,1.6572972327821844e-08,2.995883363610119e-08
1892,2.0686091062316336e-08,1.5044429702015805e-08
1893,2.155445777418663e-08,8.621783287310336e-09
1894,1.1972924873759894e-08,2.7096618282484997e-08
1895,1.8055843042930064e-08,2.6481902892783182e-08
1896,1.7691087705884456e-08,2.889544248318998e-08
1897,1.6897470089816125e-08,1.2818770045441852e-08
1898,6.7900258748920805e-09,1.7540900287826844e-08
1899,1.6029977345510815e-08,2.266307141951529e-08
1900,8.30568502863116e-09,2.076421168339948e-08
1901,9.500856101851696e-09,1.397184767881754e-08
1902,4.910283735171106e-09,1.276673788908056e-08
1903,1.674068350610014e-08,2.1060859722865644e-08
1904,7.524475265086039e-09,2.1498500757388683e-08
1905,2.580379465655369e-09,2.2707340008309984e-08
1906,1.0288369267641428e-08,3.858138342138773e-08
1907,1.1828539925318182e-08,1.337139288182243e-08
1908,8.840499887696751e-09,2.8486056180554442e-08
1909,1.1552065082298668e-08,1.5402754627302784e-08
1910,3.206490406526541e-09,2.51175080734356e-08
1911,9.576673676292558e-09,6.916486494645824e-09
1912,1.0418842677495377e-08,2.7088990606216612e-08
1913,1.3787773589513108e-08,2.8636144122629048e-08
1914,1.7411533548283842e-08,1.5402511266415786e-08
1915,9.424609537234119e-09,7.068456930880984e-09
1916,1.2086208478478966e-08,7.69122365795738e-09
1917,0.0,1.4256351654751143e-08
1918,3.44591288836682e-09,2.6418664589300533e-08
1919,2.762354567309444e-09,2.1178051312631396e-08
1920,3.786115865267448e-09,7.572231730534895e-09
1921,1.817459427400081e-08,1.6660044011018726e-08
1922,1.3280283539529592e-08,1.623145884366295e-08
1923,7.431163684401554e-09,1.0615948120573648e-08
1924,7.734974438733389e-09,1.4180787211159895e-08
1925,5.499089184013428e-09,1.5397448649423495e-08
1926,1.4489979882625903e-08,1.114613823460786e-08
1927,6.689535148041159e-09,1.5608915049369898e-08
1928,3.4278122562625413e-09,1.5996457491951332e-08
1929,1.1140405931087116e-08,5.570202965543558e-09
1930,1.1553964007759987e-08,1.1553964007759987e-08
1931,1.0264820993199919e-08,1.1405356659111021e-08
1932,1.3151444377967891e-08,5.4797681947604815e-09
1933,1.1470662641954732e-08,1.3764794637438627e-08
1934,4.7926320689839486e-09,1.1981580172459871e-08
1935,8.377798899061872e-09,1.795242710045386e-08
1936,1.8187071404440758e-08,1.6974599503782883e-08
1937,8.813782592653752e-09,1.2591118370153254e-08
1938,9.075650453382877e-09,7.779128452511941e-09
1939,1.2235240376412548e-08,9.176430282309411e-09
1940,1.7750480196809804e-08,2.028626333583361e-08
1941,2.066051862925633e-08,1.1806010391524069e-08
1942,9.102635090130207e-09,2.4273694165799498e-08
1943,0.0,2.0322646676618206e-08
1944,6.4263723231761105e-09,1.927911696952833e-08
1945,2.178504132643866e-08,3.0499055725385915e-08
1946,1.2528993842408909e-08,1.3921104269343232e-08
1947,5.960435700558264e-09,1.3112957830685446e-08
1948,4.348755133776194e-09,2.717971980814582e-08
1949,6.8719057111366055e-09,1.2762110479513922e-08
1950,1.595304155443955e-08,1.595304155443955e-08
1951,5.330700769690111e-09,1.8124383771578323e-08
