year,voulait_VERB hériter_VERB,voulait_VERB mériter_VERB
1800,0.0,6.288328968651058e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,4.475680270843441e-09
1803,7.801356893821776e-09,1.950339267864365e-08
1804,0.0,1.9774807569206132e-08
1805,3.4114531644036106e-08,8.528632911009026e-09
1806,2.881669125542885e-09,2.881669125542885e-09
1807,0.0,6.263301344233696e-08
1808,0.0,6.798221985349073e-09
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,1.2535384286138651e-08
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,0.0
1815,1.0788894222457657e-08,5.394447111228828e-09
1816,0.0,2.3176038865813098e-09
1817,0.0,1.5568733857662664e-08
1818,1.0729059418679299e-08,3.5763532135746345e-09
1819,0.0,3.726378139390363e-08
1820,2.3732962262101864e-09,3.085285271708926e-08
1821,9.86148829262845e-10,2.465372084259343e-08
1822,0.0,2.4061478143266868e-08
1823,6.917880934764753e-09,4.941343334508019e-09
1824,0.0,1.6000115010683658e-08
1825,1.4088708866211164e-08,1.1447076175841175e-08
1826,0.0,1.145037931138404e-08
1827,1.013900075008678e-08,2.3964910056406552e-08
1828,0.0,1.6510142586412258e-08
1829,8.57317605795771e-10,1.3717081692732336e-08
1830,4.174734336004349e-09,2.7135772739939057e-08
1831,1.7150327380477393e-08,3.741889287312006e-08
1832,1.3529969367098715e-09,2.3000948701223933e-08
1833,0.0,3.4750886612755494e-09
1834,0.0,2.0535967593104942e-08
1835,0.0,1.8907719834260206e-08
1836,0.0,2.4866775305554256e-08
1837,0.0,6.957891152126194e-09
1838,1.2624323808552163e-09,1.8936485712828244e-09
1839,3.4957374772659477e-09,1.11863602825224e-08
1840,6.3696887764308485e-09,1.9109065441114126e-09
1841,2.5682194149112547e-09,6.420548537278137e-09
1842,1.341653010911159e-08,3.3541325272778977e-09
1843,7.678984559333912e-09,1.063243981747064e-08
1844,7.1351298203126134e-09,1.701453911095996e-08
1845,2.2320911785556063e-09,1.674068350610014e-08
1846,1.7563503984519002e-09,1.4050803187615202e-08
1847,1.6179670936367074e-09,2.6426796750911308e-08
1848,0.0,1.287235473768078e-08
1849,1.508294644736452e-08,6.703531951757213e-09
1850,7.467895635215882e-09,4.073397619208663e-09
1851,6.449438760824933e-10,5.8044946626978344e-09
1852,0.0,2.4740073101270355e-08
1853,5.971931837933653e-10,1.1346670270029335e-08
1854,1.558699391779328e-09,1.0910895298366086e-08
1855,1.0613874223963649e-09,1.6982198758341838e-08
1856,7.765783571755946e-09,1.7602443946884705e-08
1857,9.763018171682347e-10,1.1715622250108026e-08
1858,9.787352039936081e-10,1.6149130033227266e-08
1859,5.092173349652285e-10,2.34239969643113e-08
1860,2.288591982591015e-09,1.5104706818647173e-08
1861,2.357981809808507e-09,8.960331143725853e-09
1862,4.517986262886353e-10,1.2198563048571032e-08
1863,9.989241656072068e-10,1.9479021062807078e-08
1864,2.3973640850272204e-09,1.4384183621984903e-08
1865,3.294791106611683e-09,1.5061901947888146e-08
1866,1.4596839292835284e-09,1.6056523222118813e-08
1867,6.308654931785895e-09,5.82337378318698e-09
1868,1.975949626142892e-09,4.44588676984381e-09
1869,3.906815315701806e-09,5.371870948067681e-09
1870,8.027668307875047e-09,1.6628741050794815e-08
1871,0.0,1.0621177271019633e-09
1872,3.0236697590169115e-09,9.071008832961525e-09
1873,0.0,1.1373408881354408e-08
1874,5.974609140757536e-10,2.9873046258899194e-09
1875,4.577221712764867e-09,8.010138330405425e-09
1876,4.836811839936672e-09,4.836811839936672e-09
1877,1.2369631985365004e-09,4.329371083855449e-09
1878,1.2078177347163432e-09,9.662541877730746e-09
1879,3.665595160740054e-09,5.498392852132383e-09
1880,1.2835692508872398e-09,7.701415505323439e-09
1881,1.3945015142624584e-09,3.4862537301449947e-09
1882,1.3310770263785798e-09,1.9966154951589488e-08
1883,1.2638677882037541e-09,7.58320695126713e-09
1884,1.9805090900604227e-09,3.9610181801208455e-09
1885,4.511945039809007e-09,5.156508553483263e-09
1886,1.2906927748801422e-09,1.4197620856748472e-08
1887,3.9173548849191775e-09,4.570247291724172e-09
1888,6.340614699951175e-10,1.521747527988282e-08
1889,1.2530273485467092e-09,3.759081934617825e-09
1890,0.0,3.9326319978272295e-09
1891,0.0,5.736798147637501e-09
1892,4.387958441043338e-09,1.2537024751679837e-09
1893,8.005941687372342e-09,2.463366621796581e-09
1894,1.8904617871129403e-09,6.301539290376468e-10
1895,6.018614495673091e-10,3.0093072478365457e-09
1896,1.179405795248556e-09,4.1279202278587945e-09
1897,5.826713556089658e-10,1.631479840114025e-08
1898,0.0,1.13167097914868e-09
1899,1.1055156790007459e-09,6.080336234504102e-09
1900,2.07642125715779e-09,8.824790675987515e-09
1901,5.588738916095792e-10,2.235495566438317e-09
1902,2.455141867585553e-09,3.928227076954727e-09
1903,5.400220270956879e-10,3.2401321625741275e-09
1904,0.0,7.524475265086039e-09
1905,5.160759042333041e-10,2.580379465655369e-09
1906,2.0576738091193647e-09,7.201858220895474e-09
1907,0.0,7.199980611716228e-09
1908,0.0,4.911389073214423e-10
1909,0.0,5.500983557560346e-10
1910,5.344150677544235e-10,3.740905363258662e-09
1911,0.0,5.852411444351446e-09
1912,3.125652625612929e-09,4.167536982180309e-09
1913,5.30298971401777e-10,1.113627856597077e-08
1914,0.0,1.1384464038144415e-08
1915,0.0,1.1780761921542648e-09
1916,0.0,1.3184954461564757e-08
1917,0.0,6.57985488317081e-09
1918,0.0,2.067547733020092e-08
1919,9.207848372660976e-10,1.8415696745321952e-09
1920,0.0,1.514446346106979e-09
1921,3.7863738810983705e-09,7.572747762196741e-09
1922,7.377935484775833e-10,2.951174193910333e-09
1923,0.0,9.554353752605493e-09
1924,1.289162443462999e-09,3.867487219366694e-09
1925,0.0,0.0
1926,0.0,1.1146138456652466e-09
1927,6.689535148041159e-09,4.4596899506643695e-09
1928,2.2852082448565625e-09,2.2852082448565625e-09
1929,1.1140406375176326e-09,7.798284684668033e-09
1930,1.0503603542488804e-09,1.2604324695075775e-08
1931,0.0,1.3686427990933225e-08
1932,0.0,6.575722188983946e-09
1933,3.4411986593596566e-09,2.2941324395731044e-09
1934,0.0,9.585264137967897e-09
1935,0.0,2.393656828303392e-09
1936,0.0,0.0
1937,0.0,2.5182236296217297e-09
1938,0.0,2.5930428915188486e-09
1939,0.0,3.058810094103137e-09
1940,0.0,2.5357829169792012e-09
1941,0.0,2.9515025978810172e-09
1942,3.034211770724937e-09,9.102635090130207e-09
1943,0.0,2.9032352077962287e-09
1944,3.2131861615880553e-09,3.2131861615880553e-09
1945,0.0,6.535512131478072e-09
1946,1.3921104269343232e-09,4.1763312808029696e-09
1947,4.7683483828109274e-09,1.1920870957027319e-09
1948,0.0,0.0
1949,0.0,9.817008317369869e-10
1950,3.190608444114673e-09,8.508289184305795e-09
1951,3.1984206394497505e-09,4.264560704569931e-09
1952,0.0,5.272402070488624e-09
1953,0.0,2.1547654771580937e-09
1954,0.0,5.863521668203475e-09
1955,9.385607846468247e-10,4.6928039232341234e-09
1956,2.616342476002842e-09,7.849027205963921e-09
1957,1.7670075402875796e-09,7.068030161150318e-09
1958,3.3088973783179654e-09,5.790570245522986e-09
1959,7.750747821333448e-10,1.5501495642666896e-09
1960,0.0,8.997083078554624e-09
1961,1.3896318540318475e-09,2.779263708063695e-09
1962,6.341956404476434e-10,5.7077609305622445e-09
1963,0.0,7.1126584622049904e-09
