year,veut_VERB hériter_VERB,veut_VERB mériter_VERB
1800,3.144164484325529e-09,2.5153315874604232e-08
1801,2.3811825844433088e-09,3.095537337571841e-08
1802,6.713520406265161e-09,3.1329761895904085e-08
1803,0.0,4.290746247193056e-08
1804,0.0,8.404293083685843e-08
1805,0.0,2.842877711017877e-09
1806,5.76333825108577e-09,1.0950342499427279e-07
1807,0.0,4.27043254092041e-08
1808,2.2660739951163578e-09,2.039466551195801e-08
1809,0.0,4.0662548883574345e-08
1810,0.0,5.616304221689461e-08
1811,0.0,3.259199843341776e-08
1812,8.00162425207418e-09,4.800974906515876e-08
1813,2.8757416448144113e-09,3.163315831500313e-08
1814,0.0,7.552024783308298e-08
1815,2.697223555614414e-09,1.0788894222457657e-08
1816,4.4034472068688046e-08,1.8540831092650478e-08
1817,2.0239355080775567e-08,7.16161796532333e-08
1818,1.1921176934492905e-08,4.530047448270125e-08
1819,9.315945348475907e-09,7.452755679260292e-08
1820,4.746592452420373e-09,1.1035827185423841e-07
1821,0.0,3.0570614484304315e-08
1822,3.0076847679083585e-09,3.60922172149003e-08
1823,8.894418535021487e-09,3.8542477320824275e-08
1824,7.57900142644985e-09,3.9579230559638745e-08
1825,1.3208164340028361e-08,4.6668847453190665e-08
1826,2.642395191543301e-09,4.227832306469281e-08
1827,0.0,5.438191053031005e-08
1828,2.7516904310687096e-09,5.595103758082587e-08
1829,1.0287811491593857e-08,4.800978620211893e-08
1830,6.262101504006523e-09,3.8616291719861806e-08
1831,1.5591206103948707e-09,1.0602020239502963e-07
1832,0.0,5.953186388296672e-08
1833,0.0,4.749287541017111e-08
1834,1.4935249481595747e-08,3.3604311111545826e-08
1835,7.563087933704082e-09,5.3697924329298985e-08
1836,4.704525213838906e-09,3.091545153210973e-08
1837,4.174734336004349e-09,1.1132625488130543e-08
1838,5.680945491803868e-09,3.219202682203104e-08
1839,1.3283802502428443e-08,1.1885508133246958e-08
1840,1.9109065441114126e-09,2.93005673057678e-08
1841,5.1364388298225094e-09,5.585877360658742e-08
1842,1.341653010911159e-09,3.4882979615957765e-08
1843,2.953455480181333e-09,2.7171790151214736e-08
1844,9.330554107123135e-09,2.4698525891153622e-08
1845,1.2834524554250493e-08,2.5669049108500985e-08
1846,0.0,1.7563504428608212e-08
1847,3.775256551818984e-09,4.638172157456211e-08
