year,ont_VERB hérité_VERB,ont_VERB mérité_VERB
1800,1.9179402954705438e-07,1.71671376847371e-06
1801,2.1668761007731518e-07,1.750169190017914e-06
1802,1.2979472785445978e-07,1.48368803820631e-06
1803,1.7748087088875764e-07,1.8469712586011156e-06
1804,1.2853624298259092e-07,2.148038447558065e-06
1805,1.7625842474444653e-07,2.0895151919830823e-06
1806,1.0085842205853623e-07,2.1093817395012593e-06
1807,1.2526602688467392e-07,1.9700928532984108e-06
1808,2.243413206315381e-07,1.8400520502837026e-06
1809,1.3328279635516083e-07,1.6942728962021647e-06
1810,2.737948250342015e-07,2.2418414573621703e-06
1811,1.178326058948187e-07,1.6797414446045877e-06
1812,1.7603574065105931e-07,1.8510424979467643e-06
1813,2.243078540686838e-07,1.6247939811364631e-06
1814,2.9578765747828584e-07,1.7967525991480215e-06
1815,1.294667271167782e-07,1.558995222694648e-06
1816,1.5991466284503986e-07,1.6872156720637577e-06
1817,1.977229260319291e-07,1.622262061573565e-06
1818,1.8358613829150272e-07,2.0862059955106815e-06
1819,1.9045931765049318e-07,1.9118390355288284e-06
1820,3.061552149574709e-07,1.8915170585387386e-06
1821,2.1793889004584344e-07,1.710968263068935e-06
1822,2.456275751683279e-07,1.7554853002366144e-06
1823,2.3125487302877445e-07,1.604948351996427e-06
1824,1.6505380528997193e-07,1.707801629891037e-06
1825,1.7963104426144128e-07,1.511894538452907e-06
1826,1.9994124045297212e-07,1.358191184408497e-06
1827,1.9264101069893513e-07,1.7420645690435776e-06
1828,1.5684635457091645e-07,1.4024448091731756e-06
1829,2.151867164457144e-07,1.3965703828944243e-06
1830,1.5655253093882493e-07,1.3912301710661268e-06
1831,1.933309619062129e-07,1.3158977480998146e-06
1832,1.27181706943702e-07,1.1256934158154763e-06
1833,2.583149125712225e-07,1.2475568382797064e-06
1834,2.137607566510269e-07,1.4197821656125598e-06
1835,1.2630357559828553e-07,1.1775728125940077e-06
1836,2.0565495617574925e-07,1.1512645414768485e-06
1837,1.4959465488573187e-07,1.2141520073782885e-06
1838,1.7484688896729494e-07,1.1942610171900014e-06
1839,1.573081931383058e-07,1.1424070862631197e-06
1840,2.1720637732869363e-07,1.1707487601597677e-06
1841,2.1573043795797275e-07,1.2853938642365392e-06
1842,1.9990629596122744e-07,1.2443831565178698e-06
1843,2.1264879990212648e-07,1.3603615798274404e-06
1844,1.9978362786332582e-07,1.1613796004894539e-06
1845,2.0925854471443017e-07,1.1205097507627215e-06
1846,1.3933713205460663e-07,1.2124671684432542e-06
1847,1.6826857063279022e-07,1.181655306936591e-06
1848,2.5905615075316746e-07,9.895622952171834e-07
1849,1.8099535736837424e-07,1.0599959523460711e-06
1850,1.9755978541979857e-07,1.0889549457715475e-06
1851,1.431775444871164e-07,1.0583529501673183e-06
1852,2.161501129194221e-07,1.1569238722586306e-06
1853,1.8692146852572478e-07,1.203941451421997e-06
1854,1.9327872280427982e-07,1.2256572290425538e-06
1855,1.8096655196586653e-07,1.2349242979325936e-06
1856,1.6929408275245805e-07,1.145711962635687e-06
1857,1.503504734046146e-07,1.0954106528515695e-06
1858,1.428953453341819e-07,1.0100546887770179e-06
1859,1.996131970827264e-07,1.121805780712748e-06
1860,1.9819206897864206e-07,1.0815886071213754e-06
1861,1.650587364565581e-07,1.2303949006309267e-06
1862,1.5496692640226684e-07,1.1538936632859986e-06
