year,excellent_ADJ auteur_NOUN,excellent_ADJ moteur_NOUN
1800,4.4018304556914245e-08,0.0
1801,8.096020565062645e-08,0.0
1802,1.2755688771903806e-07,2.2378401354217203e-08
1803,8.776526305709353e-08,0.0
1804,7.415553038292444e-08,0.0
1805,1.4782963453363607e-07,0.0
1806,6.916006078938608e-08,0.0
1807,6.547996633798903e-08,0.0
1808,7.704651494577774e-08,0.0
1809,1.4457795316502597e-07,0.0
1810,1.287069690825149e-07,0.0
1811,6.518399686683551e-08,0.0
1812,4.000812259263853e-08,0.0
1813,6.326631774022928e-08,0.0
1814,5.034683248084093e-08,0.0
1815,3.2366683333506785e-08,8.091670444798638e-09
1816,1.0197457100957763e-07,2.0858434979231788e-08
1817,7.7843672841027e-08,0.0
1818,7.629553522292554e-08,0.0
1819,4.1404199735417535e-08,0.0
1820,2.8479554714522237e-08,0.0
1821,1.410192753681372e-07,0.0
1822,1.303330066093622e-07,0.0
1823,6.621399895045954e-08,0.0
1824,6.400046004273463e-08,0.0
1825,5.4593745302256025e-08,0.0
1826,5.2847904608022134e-08,0.0
1827,3.133872783500635e-08,0.0
1828,4.861319524707142e-08,0.0
1829,4.372319750700626e-08,0.0
1830,6.157733456468861e-08,0.0
1831,1.2472964883158966e-08,0.0
1832,4.464889968858188e-08,0.0
1833,4.6334513115198206e-08,0.0
1834,4.1071935186209885e-08,0.0
1835,4.0840674842002045e-08,0.0
1836,4.771732520225669e-08,0.0
1837,4.940102726891382e-08,0.0
1838,3.408567295082321e-08,0.0
1839,8.249940375293363e-08,0.0
1840,4.45878196586591e-08,0.0
1841,3.274479709602929e-08,0.0
1842,8.31824840119566e-08,0.0
1843,5.9069112268161916e-08,0.0
1844,3.951764071530306e-08,0.0
1845,5.7476347070650746e-08,0.0
1846,8.489026726010707e-08,0.0
1847,3.66739207890987e-08,0.0
1848,3.137636372940733e-08,0.0
1849,2.3462362719328667e-08,0.0
1850,3.1229383523623255e-08,0.0
1851,3.740674614505224e-08,0.0
1852,4.817803755940986e-08,0.0
1853,2.9262466227919504e-08,0.0
1854,5.039794648276086e-08,0.0
1855,3.131092896069276e-08,0.0
1856,6.523258377910679e-08,0.0
1857,3.563501516090639e-08,0.0
1858,4.404308517891309e-08,0.0
1859,3.462677944376935e-08,0.0
1860,4.394096597692965e-08,1.373155145145688e-09
1861,2.4994607272788016e-08,0.0
1862,4.743885639868495e-08,0.0
1863,4.894728533599846e-08,0.0
1864,3.7398876884253696e-08,0.0
1865,5.8835556093761454e-08,4.706844358715045e-10
1866,7.24976345622963e-08,0.0
1867,5.095452060288608e-08,0.0
1868,5.08807040944248e-08,0.0
1869,3.90681549333749e-08,0.0
1870,4.185855573268782e-08,0.0
1871,2.2304472935275044e-08,0.0
1872,3.084143074261192e-08,0.0
1873,5.926144569512459e-08,0.0
1874,2.3300975371398636e-08,0.0
1875,5.149374260327022e-08,0.0
1876,5.562333527109331e-08,0.0
1877,6.12296799928913e-08,0.0
1878,2.959153411197235e-08,0.0
1879,4.032154521382836e-08,0.0
1880,5.070098385573374e-08,0.0
1881,3.6257040536558094e-08,4.8807553554297556e-09
1882,3.128031034194123e-08,1.3310770263785798e-09
1883,3.981183588352977e-08,6.951272890631799e-09
1884,4.093052297093891e-08,0.0
1885,5.3498775243188135e-08,0.0
1886,2.7104547439815718e-08,1.936039106809062e-09
1887,4.635536643426974e-08,0.0
1888,3.3605258353830436e-08,1.268122939990235e-09
1889,3.821733329800736e-08,0.0
1890,4.0637196718762425e-08,0.0
1891,2.103492668936724e-08,0.0
1892,3.008885940403161e-08,3.761107425503951e-09
