year,soit_VERB orale_ADJ,soit_VERB morale_ADJ
1800,3.144164484325529e-09,3.144164484325529e-09
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,0.0,1.7902721083373763e-08
1803,0.0,1.3652374342143503e-08
1804,0.0,7.4155526164076946e-09
1805,0.0,2.842877711017877e-09
1806,0.0,1.729001475325731e-08
1807,0.0,5.693910232196231e-09
1808,0.0,1.5862518409903714e-08
1809,0.0,2.259030518203531e-09
1810,0.0,7.020380277111826e-09
1811,0.0,2.5070767684098882e-09
1812,0.0,5.3344164641089264e-09
1813,0.0,2.300593315851529e-08
1814,0.0,0.0
1815,0.0,8.091670622434322e-08
1816,0.0,3.244645441213834e-08
1817,0.0,3.113746815941454e-09
1818,0.0,1.1921176934492905e-08
1819,0.0,2.6912729822470283e-08
1820,4.746592452420373e-09,1.1866481131050932e-09
1821,0.0,5.9168927535324656e-09
1822,0.0,3.0076847679083585e-08
1823,0.0,1.9765373782121287e-09
1824,0.0,6.736890156844311e-09
1825,8.805443041381977e-10,1.3208164340028361e-08
1826,4.403992281964975e-09,7.927186018719112e-09
1827,1.1060727445055818e-08,2.3964910056406552e-08
1828,0.0,1.6510142586412258e-08
1829,7.715858174606183e-09,1.2859763920403111e-08
1830,2.0873671680021744e-09,9.39315203396518e-09
1831,1.5591206103948707e-09,1.4032085715598441e-08
1832,0.0,8.117981842303834e-09
1833,2.3167257001688313e-09,4.51761508202253e-08
1834,4.667265685043276e-09,2.5203233278148218e-08
1835,9.075705520444899e-09,1.3613558280667348e-08
1836,2.016224964762614e-09,1.344150035720304e-08
1837,1.8090515752078318e-08,1.8090515752078318e-08
1838,0.0,1.7042836475411605e-08
1839,4.894032734625853e-09,1.8177836125232716e-08
1840,2.5478754661634184e-09,3.121147429396842e-08
1841,6.420548537278137e-09,3.723918240439161e-08
1842,5.366612043644636e-09,1.6770663080478698e-08
1843,5.31621990873532e-09,2.8943864194275193e-08
1844,1.3721403568922597e-08,2.6345094994439933e-08
1845,1.1160455670733427e-08,2.2320911341466854e-08
1846,5.854501328173001e-09,2.2832555401919308e-08
1847,3.775256551818984e-09,4.853901280910122e-09
1848,2.413566457803995e-09,1.045878850192139e-08
1849,1.3407063903514427e-08,2.0948537127196687e-08
1850,2.7155984128057753e-09,3.055048125588655e-08
1851,1.2898877521649865e-09,9.674158363282004e-09
1852,6.510545436100301e-10,1.6927417689771573e-08
1853,0.0,3.2248433257109355e-08
1854,1.0391328686409906e-08,2.182179059673217e-08
1855,2.653468555990912e-09,6.8990182455763716e-09
1856,2.5885946719483854e-09,2.019103817474388e-08
1857,4.881509085841174e-10,5.369659827891837e-09
1858,7.829881631948865e-09,1.3702292633865909e-08
1859,2.036869339860914e-09,4.379269213927728e-08
1860,9.154367819341758e-10,3.112485202905191e-08
1861,6.13075279431996e-09,2.169343282787395e-08
1862,2.710791813242963e-09,1.9427341513278407e-08
1863,4.994620717013731e-09,3.146611149418277e-08
1864,1.102787461348953e-08,2.3973639073915365e-08
1865,1.4120533631256649e-09,1.4591217123438582e-08
1866,4.865612912574591e-10,1.1190909532388105e-08
1867,2.91168689159349e-09,1.1161466417775046e-08
1868,3.951899252285784e-09,1.679557115608077e-08
1869,8.30198221279943e-09,3.369628132077196e-08
1870,2.8670243956696595e-09,2.9243649279919737e-08
1871,1.274541272522356e-08,1.274541272522356e-08
1872,1.0280476914203973e-08,1.0280476914203973e-08
1873,1.1972008939764578e-09,1.3767810003173508e-08
1874,1.1949218281515073e-09,4.182226565063729e-09
1875,1.1443054281912168e-09,4.2339301842275745e-08
1876,6.04601479992084e-10,1.209202959984168e-08
1877,6.184815992682502e-10,9.27722432209066e-09
1878,2.4156354694326865e-09,1.0266450800600069e-08
1879,6.720257683667796e-09,2.443730195977878e-08
1880,1.2835692508872398e-09,2.8238524407697696e-08
1881,7.669758161910067e-09,9.064259565150223e-09
1882,5.989846840748214e-09,1.1979693681496428e-08
1883,3.159669414998234e-09,1.579834751908038e-08
1884,0.0,1.5183903911974994e-08
1885,3.86738152613475e-09,2.320428826863008e-08
1886,3.872078213618124e-09,1.2261581083805595e-08
1887,9.793386546164129e-09,1.4363633837888301e-08
1888,7.60873763994141e-09,2.4728397107764977e-08
1889,6.265136853755848e-09,1.8168895721260014e-08
1890,6.554386478008212e-10,1.9007721618891082e-08
1891,4.461953917456185e-09,1.466070642663908e-08
1892,3.1342561879199593e-09,1.9432388143059143e-08
1893,1.1085149687062312e-08,1.6627724974682678e-08
