year,tout_DET archer_NOUN,tout_DET marché_NOUN
1800,0.0,9.432493452976587e-09
1801,0.0,2.8574191901498125e-08
1802,0.0,4.2518962573012686e-08
1803,0.0,1.75530532331436e-08
1804,0.0,2.7190361073792246e-08
1805,0.0,2.842877711017877e-09
1806,0.0,9.221341024101548e-08
1807,0.0,2.2775640928784924e-08
1808,0.0,3.6257183033683305e-08
1809,0.0,9.036122072814123e-09
1810,0.0,1.6380887313260928e-08
1811,0.0,2.757784400841956e-08
1812,0.0,2.9339290108509886e-08
1813,0.0,2.0130191291656274e-08
1814,0.0,1.5733385705374303e-08
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,2.4909974194464723e-08
1818,0.0,5.722164964083731e-08
1819,0.0,1.656168058250529e-08
1820,0.0,2.0173018810965004e-08
1821,0.0,2.3667571458219072e-08
1822,0.0,2.4061478143266868e-08
1823,0.0,4.644862949820805e-08
1824,0.0,4.8000341479337294e-08
1825,0.0,7.04435478837695e-08
1826,0.0,2.6423952803611428e-08
1827,0.0,7.189473016921966e-08
1828,0.0,2.1096292102118497e-08
1829,0.0,9.087566610332942e-08
1830,0.0,8.245100246995207e-08
1831,0.0,2.18276889896174e-08
1832,0.0,7.306183569255609e-08
1833,0.0,1.899715087461118e-07
1834,0.0,4.293884181549856e-08
1835,0.0,4.235329242874286e-08
1836,1.3441500135158435e-09,1.4785649815607371e-08
1837,0.0,2.365682938432201e-08
1838,6.312161904276081e-10,7.195864526465812e-08
1839,0.0,6.85164565084051e-08
1840,3.821813088222825e-09,4.8409632746881925e-08
1841,0.0,5.393260593677951e-08
1842,0.0,2.68330611064016e-08
1843,5.906911071384968e-10,5.434358030242947e-08
1844,1.097712254427563e-09,3.0187087496358345e-08
1845,0.0,8.37034175305007e-08
1846,0.0,4.6836010625384006e-08
1847,0.0,1.035498904400356e-07
1848,0.0,4.907585182678531e-08
1849,0.0,8.463209155706863e-08
1850,6.788996032014438e-10,4.3449574604892405e-08
1851,6.449438760824933e-10,7.094382614702965e-08
1852,6.510545436100301e-10,7.487127184901965e-08
1853,0.0,5.0761421732659073e-08
1854,0.0,4.676098086520142e-08
1855,0.0,3.502578493908004e-08
1856,0.0,5.643136269384286e-08
1857,0.0,4.783878981839962e-08
1858,0.0,4.5021818051438345e-08
1859,0.0,7.179964445214182e-08
1860,0.0,7.643896893227975e-08
1861,0.0,5.659156432358259e-08
1862,0.0,8.26791515251557e-08
1863,0.0,9.040263648785185e-08
1864,0.0,8.53461585847981e-08
1865,0.0,6.542513908414094e-08
1866,1.4596839292835284e-09,4.865612801552288e-08
1867,0.0,3.833721073931429e-08
1868,0.0,6.915823380637676e-08
1869,9.767038289254515e-10,6.104399119521986e-08
1870,0.0,7.912987243230418e-08
1871,1.0621177271019633e-09,9.02800074698007e-08
1872,0.0,7.740594476501883e-08
1873,0.0,6.165584665041024e-08
1874,0.0,6.870800461911131e-08
1875,0.0,9.268874023860008e-08
1876,0.0,7.073837338111844e-08
1877,0.0,5.56633432680087e-08
1878,0.0,4.227361927178208e-08
1879,0.0,9.347267848625052e-08
1880,0.0,6.096954052736692e-08
1881,6.972507571312292e-10,4.39267981988678e-08
1882,0.0,7.91990828474809e-08
1883,0.0,8.088753844504026e-08
1884,0.0,8.846273757967538e-08
1885,3.86738152613475e-09,8.443782562039814e-08
1886,1.936039106809062e-09,6.77613698485402e-08
1887,3.264462256069578e-09,9.009916013269503e-08
1888,0.0,6.974676125537371e-08
1889,0.0,7.016953240679413e-08
1890,3.9326319978272295e-09,7.472000795871736e-08
1891,0.0,8.350228419828909e-08
1892,0.0,6.519253048509199e-08
