year,grand_ADJ air_NOUN,grand_ADJ maire_NOUN
1800,1.748155455061351e-06,3.144164484325529e-09
1801,1.6525407318113139e-06,0.0
1802,1.5262069155141944e-06,2.0140561218795483e-08
1803,1.7104474636653322e-06,0.0
1804,1.7945637864613673e-06,0.0
1805,1.7028837646648753e-06,0.0
1806,1.5013496295068762e-06,1.4408345627714425e-08
1807,1.2213437230457203e-06,0.0
1808,1.0129350584975327e-06,1.5862518409903714e-08
1809,1.6106887414935045e-06,0.0
1810,1.1934646408917615e-06,2.3401267590372754e-09
1811,1.3889205092709744e-06,0.0
1812,1.2909288216178538e-06,0.0
1813,1.9555043309082976e-06,0.0
1814,1.3845379953636439e-06,0.0
1815,1.372886799799744e-06,0.0
1816,1.4114207260718103e-06,1.1588019432906549e-08
1817,1.1022664239135338e-06,1.556873407970727e-09
1818,1.2314576451899484e-06,0.0
1819,1.064087996383023e-06,0.0
1820,1.31599279029615e-06,0.0
1821,9.250076118405559e-07,0.0
1822,1.2371609727779287e-06,0.0
1823,1.1305793350402382e-06,0.0
1824,1.2210613249408198e-06,8.421112696055388e-10
1825,1.195779191220936e-06,8.805443041381977e-10
1826,9.812094958761008e-07,1.7615968683770689e-09
1827,7.88998590905976e-07,1.8434546111834038e-09
1828,1.0346356020818348e-06,0.0
1829,1.3254129953566007e-06,8.57317605795771e-10
1830,1.2920802419102984e-06,0.0
1831,1.3299298871061183e-06,0.0
1832,2.473278300385573e-06,1.3529969367098715e-09
1833,2.002809424084262e-06,0.0
1834,3.9755768739269115e-06,0.0
1835,1.7364850464218762e-06,0.0
1836,1.2218323490742478e-06,6.720750067579218e-10
1837,1.4778560171180288e-06,2.0873671680021744e-09
1838,1.3223979067333858e-06,6.312161904276081e-10
1839,1.334672560915351e-06,4.894032734625853e-09
1840,1.6898784451768734e-06,6.369688665408546e-10
1841,1.3534515801438829e-06,3.852329122366882e-09
1842,1.5039930758575792e-06,6.708265054555795e-10
1843,1.4548721765095252e-06,5.906911071384968e-10
1844,1.3381112466959166e-06,2.195424508855126e-09
1845,1.4932689964552992e-06,1.1718478631905782e-08
1846,2.7849862362927524e-06,8.781752214304106e-09
1847,1.1881271575475694e-06,3.235934187273415e-09
1848,1.3475746527547017e-06,4.82713291560799e-09
1849,1.418634951733111e-06,8.379414939696517e-10
1850,1.9341848656040384e-06,4.752297222410107e-09
1851,1.4001731187818223e-06,1.2898877521649865e-09
1852,1.8795944924931973e-06,4.557382027314816e-09
1853,1.9110182165604783e-06,2.388772735173461e-09
1854,1.602342877049523e-06,2.0782657816909023e-09
1855,2.5844783522188663e-06,3.714855978387277e-09
1856,1.7788821651265607e-06,0.0
1857,2.039982746282476e-06,1.7085282522089074e-08
1858,1.9873218661814462e-06,2.936205500958522e-09
1859,2.1840330646227812e-06,8.147477359443656e-09
1860,2.2112376427685376e-06,5.950338888283113e-09
1861,1.970801349671092e-06,8.488734437595014e-09
1862,2.6764550966618117e-06,4.517986262886353e-10
1863,2.1327030026441207e-06,3.995696662428827e-09
1864,2.1624223336402792e-06,5.274200631788517e-09
1865,2.1402022412075894e-06,1.3649848362717876e-08
1866,2.2177464416017756e-06,1.610517870176409e-07
1867,2.2774245280743344e-06,4.367530337390235e-09
1868,2.2318351966532646e-06,3.4579118457500613e-09
1869,2.2708363758283667e-06,1.4650556989792562e-08
1870,2.1886864942644024e-06,4.587239033071455e-09
1871,1.7726745227264473e-06,2.7615060460561835e-08
1872,2.4600576580269262e-06,1.5118347462816928e-08
1873,2.3638731363462284e-06,3.59160252649815e-08
1874,2.7841679184348322e-06,7.766991494406739e-09
1875,2.2611475287703797e-06,1.0870901512305409e-08
1876,2.2551635083800647e-06,6.04601479992084e-09
1877,2.3087918634701055e-06,2.8450154232473324e-08
1878,2.2549957066075876e-06,9.058632899350272e-09
1879,2.267170657432871e-06,1.3440515367335593e-08
1880,2.3316035822062986e-06,1.2835692508872398e-08
1881,2.3399734345730394e-06,3.765154055201947e-08
1882,2.5583301521692192e-06,1.7304001342921538e-08
1883,2.6623374651535414e-06,9.479008078461248e-09
1884,2.8123229185439413e-06,1.9144920315739e-08
1885,2.8128754365752684e-06,3.86738152613475e-09
1886,2.479420800227672e-06,9.034849535183298e-09
1887,2.568478976172628e-06,9.140494472426042e-09
1888,2.699199740163749e-06,1.268122939990235e-09
1889,2.5160788936773315e-06,1.3156787104229295e-08
1890,2.784958724078024e-06,1.5075088732885433e-08
1891,2.6147049538849387e-06,1.211101796627645e-08
1892,2.5262104372814065e-06,2.068609039618252e-08
1893,2.502780489521683e-06,8.005941465327737e-09
1894,2.728566414589295e-06,1.3863386438828229e-08
1895,2.5266142529289937e-06,6.6204757231957956e-09
1896,2.5817191726673627e-06,1.4152869320938066e-08
1897,2.6243517368129687e-06,1.51494548017439e-08
1898,2.5406013719475595e-06,1.640922919765586e-08
1899,2.6162028916587587e-06,7.738609753005221e-09
1900,2.611099716887111e-06,6.2292638824956725e-09
1901,2.468545972078573e-06,1.732509086194156e-08
1902,2.0824513740080874e-06,1.1784681341886483e-08
1903,2.4862613372533815e-06,5.400220048912274e-09
1904,2.7383714495954337e-06,1.1824175416563776e-08
1905,2.9627917683683336e-06,8.257214467732865e-09
1906,2.9707666726608295e-06,3.4980454477473444e-08
1907,2.4850219233485404e-06,6.685696496422366e-09
1908,2.5730766992637655e-06,2.9468333995197327e-08
1909,2.787348421406932e-06,1.7603147384193107e-08
1910,2.8286590350035112e-06,5.34415089958884e-09
1911,2.5771892069315072e-06,1.9153346131339788e-08
1912,2.3744541977066547e-06,7.293189607793238e-09
1913,2.8418721740308683e-06,3.1817937728995105e-09
1914,2.618426833578269e-06,4.68772043404897e-09
1915,2.2242079467105214e-06,1.0602685840410686e-08
1916,2.494153932275367e-06,1.0987461607214755e-08
1917,2.706513441808056e-06,9.869782324756216e-09
1918,2.5086246751016006e-06,4.594550517822427e-09
1919,2.5966132852772716e-06,2.301962176431971e-08
1920,2.498079311408219e-06,3.104614876292544e-08
1921,2.41267730416439e-06,2.27182422873895e-09
1922,2.5535034637869103e-06,2.951174138399182e-09
1923,2.2739361611456843e-06,4.246379248229459e-09
1924,2.4880835098883836e-06,7.734974438733389e-09
1925,2.2557262582267867e-06,6.598906976407193e-09
1926,2.331772066099802e-06,1.0031524944054127e-08
1927,2.8073748126189457e-06,1.0034302277972529e-08
1928,2.362905433983542e-06,6.8556247345696875e-09
1929,2.366222361160908e-06,4.4561625500705304e-09
1930,2.028245944529772e-06,9.453243188239924e-09
1931,1.9719861938938266e-06,4.1059283972799676e-08
1932,1.8105154140357627e-06,3.2878609834696704e-09
1933,1.8593943877931451e-06,1.0323596200123575e-08
1934,1.9350252387084765e-06,1.5576054224197833e-08
1935,1.8538871700002346e-06,4.787313656606784e-09
1936,1.8963053207698977e-06,1.6974600391961303e-08
1937,1.8206757204097812e-06,1.3850230295986421e-08
1938,1.886438667497714e-06,1.2965214457594243e-09
1939,1.6379927956222673e-06,1.070583532936098e-08
1940,1.2780345741703059e-06,1.0143131667916805e-08
1941,1.7649985011303215e-06,5.9030051957620344e-09
1942,1.5929612118270597e-06,1.2136846860855144e-08
1943,1.7971026409213664e-06,2.0322646676618206e-08
1944,1.976109388124314e-06,6.4263723231761105e-09
1945,1.9192621039110236e-06,0.0
1946,1.6357297454305808e-06,5.568441707737293e-09
1947,1.7499838804724277e-06,8.344609447874518e-09
1948,1.6492654140165541e-06,1.195907639583993e-08
1949,1.392051785842341e-06,2.9451024952109606e-09
1950,1.4921412230251008e-06,1.0635361480382244e-09
1951,1.4648766182290274e-06,6.396841278899501e-09
1952,1.327590780419996e-06,4.2179215675730575e-09
1953,1.4458476016443456e-06,1.0773827163745864e-08
1954,1.3984499673824757e-06,1.0749789725039705e-08
1955,1.3092923154545133e-06,8.447047505910632e-09
1956,1.286368387809489e-06,6.104798888628693e-09
1957,1.251041339855874e-06,3.2689640161454037e-08
1958,1.1399151844670996e-06,1.5717262880077243e-08
1959,1.2664721680266666e-06,3.100299128533379e-08
1960,1.314958353759721e-06,1.1765417085030094e-08
1961,1.3826836493535666e-06,9.032606995695858e-09
1962,1.2404866538417991e-06,1.5220695592788047e-08
1963,1.2026858939861995e-06,6.466053470433053e-09
1964,1.222269247591612e-06,9.125952660227199e-09
1965,1.1978303291471093e-06,7.441978644440184e-08
1966,1.5149369119171752e-06,5.5390746434014204e-09
1967,1.1645452104858123e-06,6.902469706915326e-09
1968,1.3397893781075254e-06,1.1228539542607052e-08
1969,1.1022846138075693e-06,1.8621206576696636e-08
1970,1.0255156439598068e-06,1.0577067416361885e-08
1971,1.165902403954533e-06,6.166076982339064e-09
1972,1.3533327773984638e-06,1.333838217654204e-08
1973,9.581948461345746e-07,1.1577727720979425e-08
1974,8.48898764616024e-07,5.625571619649605e-09
