year,est_VERB annuelle_ADJ,est_VERB manuelle_ADJ
1800,7.923294447209628e-07,0.0
1801,3.667021246656077e-07,0.0
1802,3.849085032925359e-07,0.0
1803,5.490204785019159e-06,0.0
1804,1.6314215827151202e-06,0.0
1805,7.249338409565098e-07,0.0
1806,8.068673764682899e-07,0.0
1807,3.3309373748124926e-07,0.0
1808,5.937113769505231e-07,0.0
1809,1.7484895806774148e-06,0.0
1810,1.0998595456612748e-07,0.0
1811,1.6797415014480066e-07,0.0
1812,8.535066342574282e-08,0.0
1813,1.0352670187785407e-07,0.0
1814,1.1642705288750221e-07,0.0
1815,1.9959453823048534e-07,0.0
1816,1.4763136277906597e-06,0.0
1817,2.1375872165663168e-06,0.0
1818,9.28659744658944e-07,0.0
1819,1.2866355518781347e-06,0.0
1820,3.061552149574709e-07,0.0
1821,5.127973849994305e-07,0.0
1822,4.551629615434649e-07,0.0
1823,8.271808837889694e-07,0.0
1824,2.5094917077694845e-07,0.0
1825,3.768729754938249e-07,0.0
1826,2.941866910077806e-07,0.0
1827,6.894520083733369e-07,0.0
1828,4.1550524088052043e-07,0.0
1829,2.580526086148893e-07,0.0
1830,5.844628248041772e-08,0.0
1831,2.0424479885150504e-07,0.0
1832,8.38858085216998e-08,0.0
1833,1.4711207541040494e-07,1.1583628500844156e-09
1834,1.7922299377914896e-07,0.0
1835,2.04959690108808e-07,0.0
1836,1.330708556679383e-07,0.0
1837,1.2454624709334894e-07,0.0
1838,2.3418120065343828e-07,0.0
1839,1.2654570014092315e-07,0.0
1840,6.11490094115652e-08,0.0
1841,1.55377279043023e-07,0.0
1842,8.720744659740376e-08,0.0
1843,8.32874462730615e-08,4.7255288571079745e-09
1844,7.958414016684401e-08,0.0
1845,1.4731801911693765e-07,5.580227946389016e-10
1846,1.4226438338482694e-07,0.0
1847,1.094824426672858e-07,0.0
1848,9.412909207640041e-08,9.65426583121598e-09
1849,1.9775418991230254e-07,9.217356655710773e-09
1850,8.214685465190996e-08,4.073397619208663e-09
1851,6.771910676661719e-08,4.514607354622058e-09
1852,1.2500247237312578e-07,1.9531636308300904e-09
1853,8.898178549543445e-08,0.0
1854,1.0599155331192378e-07,0.0
1855,6.952087971967558e-08,4.2455496895854594e-09
1856,1.3771322926459106e-07,2.0708756931497874e-09
1857,1.2252587566763395e-07,9.763018171682347e-10
1858,9.83628893891364e-08,4.893676019968041e-10
1859,8.503929649350539e-08,2.5460866748261424e-09
1860,6.774232019779447e-08,2.288591982591015e-09
1861,8.818852137437716e-08,1.8863854922557266e-09
1862,4.517986340601965e-08,9.035972525772706e-10
1863,9.639618525625337e-08,4.994620828036034e-10
1864,6.904408422769848e-08,4.794727948009836e-10
1865,5.554076309977063e-08,0.0
1866,4.5736761933312664e-08,9.731225825149181e-10
1867,5.386620927083641e-08,1.94112459439566e-09
1868,5.977247496957716e-08,0.0
1869,9.083345275939791e-08,3.4184632902167778e-09
1870,9.346499751927695e-08,2.8670243956696595e-09
1871,6.797553453452565e-08,1.0621177271019633e-09
1872,7.619647846013322e-08,4.8378714367913744e-09
1873,5.986004225633224e-08,1.7958012854535355e-09
1874,5.795370938699307e-08,1.0754296120296658e-08
1875,6.122034079680816e-08,4.005069165202713e-09
1876,1.0822366647289527e-07,6.04601479992084e-10
1877,7.731019735501832e-08,4.329371083855449e-09
1878,7.790424660925055e-08,0.0
1879,6.720257772485638e-08,6.10932526790009e-10
1880,6.931274043608937e-08,0.0
1881,5.717456375009533e-08,0.0
1882,9.051323957010027e-08,1.3310770263785798e-09
1883,5.181857787306399e-08,2.5277355764075082e-09
1884,8.912290638818376e-08,5.281357573494461e-09
1885,8.250413685573221e-08,6.445635691854079e-10
1886,9.357522401387541e-08,1.2906927748801422e-09
1887,8.030577447470932e-08,6.528924512139156e-09
1888,5.5163347667530616e-08,6.340614699951175e-10
1889,7.894072240333116e-08,6.265136742733546e-10
1890,6.554386544621593e-08,6.554386478008212e-10
1891,8.222743730357251e-08,6.374220040683554e-10
1892,8.274436424926535e-08,0.0
1893,9.176040549618847e-08,5.542574843531156e-09
1894,8.633109160882668e-08,0.0
1895,5.11582243234443e-08,1.2037228991346183e-09
1896,6.250850503874972e-08,1.179405795248556e-09
1897,8.215666014166345e-08,2.330685422435863e-09
1898,6.733442603490403e-08,0.0
1899,1.525611708075303e-07,0.0
