year,doivent_VERB hériter_VERB,doivent_VERB mériter_VERB
1800,1.2576657937302116e-08,4.087413785214267e-08
1801,4.7623651688866175e-09,6.905429472681135e-08
1802,8.951360541686881e-09,4.699464284385613e-08
1803,5.851017448321727e-09,5.655983770225248e-08
1804,9.887403784603066e-09,5.19088700912107e-08
1805,1.9900143755080535e-08,8.24434565060983e-08
1806,0.0,5.76333825108577e-08
1807,5.693910232196231e-09,3.9857372513552036e-08
1808,4.078933102391602e-08,1.3596443970698147e-08
1809,2.25903047379461e-08,5.6475762733043666e-08
1810,0.0,2.3401266702194334e-08
1811,0.0,3.008491944456182e-08
1812,0.0,4.267533171287141e-08
1813,2.5881675469463516e-08,4.026038169513413e-08
1814,3.1466771410748606e-09,5.349351184236184e-08
1815,0.0,8.091670444798638e-09
1816,4.6352077731626196e-09,1.1588019432906549e-08
1817,1.71256075987003e-08,2.80237220096069e-08
1818,1.1921177378582115e-09,2.2650237241350624e-08
1819,1.449147024601416e-08,6.210630232317271e-09
1820,3.441279616822612e-08,3.441279616822612e-08
1821,7.88919063410276e-09,1.2819934447350079e-08
1822,2.606660132187244e-08,3.8097340393505874e-08
1823,1.581229902569703e-08,2.8659792761231984e-08
1824,4.210556348027694e-09,9.263223965660927e-09
1825,7.044354433105582e-09,1.6730341556581152e-08
1826,1.4092774947016551e-08,1.2331177856594877e-08
1827,2.2121454890111636e-08,3.6869092667757286e-08
1828,6.420610709767516e-09,1.7427371545863934e-08
1829,1.3717081692732336e-08,4.886710414098161e-08
1830,3.026682549034376e-08,4.0703660886265425e-08
1831,2.494592976631793e-08,2.0268567268999504e-08
1832,2.705993873419743e-09,6.764984572527055e-09
1833,4.054269808762001e-08,6.02348677603004e-08
1834,1.3068342852307069e-08,2.8003592333902816e-08
1835,1.2100940693926532e-08,2.0420337421001022e-08
1836,6.048674894287842e-09,1.5457725766054864e-08
1837,9.74104708006962e-09,1.6003149028165353e-08
1838,2.9667161172142187e-08,2.4617431648721322e-08
1839,2.7266752411492234e-08,1.8177836125232716e-08
1840,1.9746034141121527e-08,2.5478755105723394e-08
1841,2.6966304744746594e-08,2.43980835534785e-08
1842,1.2074877098200432e-08,2.4149754196400863e-08
1843,6.497602011990011e-09,2.008349753168659e-08
1844,1.5367971784030487e-08,2.25031016043431e-08
1845,1.3950569588416784e-08,1.0602432709561072e-08
1846,6.439951683034906e-09,2.6930706553685013e-08
1847,7.550513103637968e-09,4.0988499705463255e-08
1848,2.413566457803995e-09,1.367687652020777e-08
1849,8.379414939696517e-10,6.703531951757213e-09
1850,1.1541293254424545e-08,1.4935791270431764e-08
1851,1.0319102017319892e-08,1.9993260380601896e-08
1852,1.5625309046640723e-08,3.2552727180501506e-09
1853,7.763511611358354e-09,1.6124216628554677e-08
1854,8.832629738719788e-09,3.013485283531736e-08
1855,1.539011762474729e-08,2.0166361025530932e-08
1856,1.1907535402144731e-08,2.692138423299184e-08
1857,1.2203773103180993e-08,8.298565390418844e-09
1858,1.468102794888182e-08,1.2723557318849998e-08
1859,1.5276519604867644e-08,1.2730433596175317e-08
1860,1.7393299245327398e-08,2.70053845952134e-08
1861,1.9807048445841247e-08,1.0846716413936974e-08
1862,1.3102160245637151e-08,1.445755604123633e-08
1863,9.989241434027463e-09,2.2475793670651e-08
1864,2.0617330065419992e-08,1.0548401263577034e-08
1865,1.1296426905005319e-08,1.6003271596787272e-08
1866,1.6056523222118813e-08,1.0217787504984699e-08
1867,1.0190904120577216e-08,1.067618526917613e-08
1868,5.9278488784286765e-09,1.432563490055827e-08
1869,7.813630631403612e-09,1.2697149998075474e-08
1870,5.734048791339319e-09,1.204150201772336e-08
1871,1.4869648623516696e-08,2.6552942955504477e-08
1872,1.9956219787786722e-08,2.116568786902917e-08
1873,1.496501056408306e-08,2.2746817762708815e-08
1874,1.0754296120296658e-08,2.8080663128093875e-08
1875,1.0298748520654044e-08,2.803548326824057e-08
1876,6.650616057868319e-09,1.269663130187837e-08
1877,8.040260901509555e-09,1.2988113695655557e-08
1878,2.5968081018845623e-08,1.8117265909722846e-08
1879,9.163987790827832e-09,6.720257683667796e-09
1880,1.0268554007097919e-08,1.6686399817444908e-08
1881,9.064259565150223e-09,9.064259565150223e-09
1882,1.2645231528551903e-08,1.5307385581309063e-08
1883,1.4534479397809719e-08,6.951272890631799e-09
1884,1.0562715146988921e-08,8.582206056928499e-09
1885,1.2891271161663553e-08,1.353583467533781e-08
1886,1.097088819790315e-08,9.680196200179125e-09
1887,1.2404957061562527e-08,1.9586774424595887e-09
1888,8.242799331981132e-09,1.014498351992188e-08
1889,2.5060546970934183e-09,1.1903759755682586e-08
1890,1.3764211992395303e-08,1.2453334363726754e-08
1891,5.099376032546843e-09,9.561330394092238e-09
1892,1.3790726782758611e-08,1.002961980134387e-08
1893,8.005941687372342e-09,9.23762488724833e-09
1894,6.301539290376468e-09,1.449354058991048e-08
1895,1.0833506536300774e-08,2.1065151400989635e-08
1896,1.0614652268259306e-08,1.4152869098893461e-08
1897,4.661370844871726e-09,4.661370844871726e-09
1898,1.7540900287826844e-08,3.960848538042683e-09
1899,1.3818945987509323e-08,3.3165470370022376e-09
1900,9.34389543516545e-09,7.786579381274805e-09
1901,1.397184767881754e-08,6.706486921359556e-09
1902,2.455141867585553e-09,1.178468167495339e-08
1903,1.0260418292773466e-08,1.0260418292773466e-08
1904,1.1286712897629059e-08,2.1498500757388683e-08
1905,9.28936660926638e-09,1.0321517862621477e-08
1906,1.0802787109298606e-08,1.1317205839134203e-08
1907,5.65712765521198e-09,2.108565766434367e-08
1908,9.331639461152008e-09,2.3083527977973972e-08
1909,9.901770070541716e-09,1.870334465081669e-08
1910,4.275320542035388e-09,8.01622590529405e-09
1911,1.0108711201439746e-08,1.9685383989553884e-08
1912,5.2094213387476884e-09,1.6670147928721235e-08
1913,7.954484182448596e-09,1.0075680734189518e-08
1914,7.366418142140674e-09,1.4732836284281348e-08
1915,2.3561523843085297e-09,3.534228465440492e-09
1916,1.3184954461564757e-08,7.69122365795738e-09
1917,2.1932848870420685e-09,7.676496771580332e-09
1918,0.0,2.067547733020092e-08
1919,4.603924352863942e-09,8.287063479883727e-09
1920,4.543339038320937e-09,2.0445025228355007e-08
1921,5.300923255902035e-09,4.543648568500203e-09
1922,1.4755870969551665e-09,5.902348387820666e-09
