year,peut_VERB hériter_VERB,peut_VERB mériter_VERB
1800,1.0375742931501009e-07,3.9302057075474295e-07
1801,3.809892135109294e-08,4.262316792846832e-07
1802,3.5805442166747525e-08,4.386166665426572e-07
1803,2.145373123596528e-08,3.666637837795861e-07
1804,2.4718509461507665e-09,4.869546614827414e-07
1805,7.675770063997334e-08,4.861320803684066e-07
1806,8.645007376628655e-09,4.725937401417468e-07
1807,8.540865792383556e-09,4.583597785767779e-07
1808,1.5862518409903714e-08,3.8296650473057525e-07
1809,1.581321384946932e-08,3.0271007744886447e-07
1810,7.020380277111826e-09,5.780112815045868e-07
1811,2.0056614147279106e-08,3.635261407453072e-07
1812,2.9339290108509886e-08,4.6942864173615817e-07
1813,3.163315653864629e-08,5.808998366774176e-07
1814,1.8880061958270744e-08,4.279480947388947e-07
1815,4.5852800667489646e-08,4.881974859927141e-07
1816,4.1716869958463576e-08,4.264391009201063e-07
1817,2.6466848268569265e-08,4.3125393744958274e-07
1818,2.384235386898581e-08,4.494283984968206e-07
1819,1.449147024601416e-08,8.570669365326467e-07
1820,4.746592452420373e-08,5.019521722715581e-07
1821,4.2404398215012407e-08,4.989913122699363e-07
1822,1.162971443591232e-07,4.4714246882904263e-07
1823,8.20263039713609e-08,3.913544048828044e-07
1824,5.3895121254754486e-08,3.1326538874054677e-07
1825,2.993850500843109e-08,3.002656114858837e-07
1826,1.8496766784892316e-08,2.9066347906336887e-07
1827,5.438191053031005e-08,3.880471979300637e-07
1828,2.2930752408001354e-08,3.1002377909317147e-07
1829,2.6576845613135447e-08,4.012246392903762e-07
1830,6.157733167810875e-08,3.7676977626688313e-07
1831,4.677361786775691e-08,3.352109274601389e-07
1832,3.3824925083081325e-08,4.1401705175303505e-07
1833,1.7375443306377747e-08,2.3051420328101813e-07
1834,4.0138484536100805e-08,2.6510068096285977e-07
1835,2.8739734148075513e-08,3.274817004239594e-07
1836,1.8146025126952736e-08,3.017616734268813e-07
1837,3.339787468803479e-08,3.1240929843079357e-07
1838,1.7042836475411605e-08,3.1371445174954715e-07
1839,2.516931019158619e-08,2.398076048848452e-07
1840,3.821813265858509e-08,3.3759349093998026e-07
1841,2.632424944692957e-08,2.5361165967296984e-07
1842,4.159124245006751e-08,2.663181248863111e-07
1843,2.7171790151214736e-08,2.7526206736183667e-07
1844,2.25031016043431e-08,2.8101433713345614e-07
1845,2.399498022498392e-08,2.6003863240475766e-07
1846,2.4003455223464698e-08,2.0432209169030102e-07
1847,3.343798482546845e-08,2.734364272782841e-07
1848,8.04522137798358e-09,1.7538583563236898e-07
1849,5.865590679832167e-09,1.835091865132199e-07
1850,3.1229383523623255e-08,2.0910107423333102e-07
1851,2.96674187438839e-08,2.6829664534488984e-07
1852,3.2552726736412296e-08,3.02089318893195e-07
1853,1.851298847554972e-08,2.669453635917307e-07
1854,1.0391328686409906e-08,3.1589638638251927e-07
1855,2.2819829581521844e-08,3.5238062423559313e-07
1856,4.0899795550330964e-08,2.65589818582157e-07
1857,2.5383847912507917e-08,2.0355892615953053e-07
1858,3.52344677878591e-08,1.7861917456230003e-07
1859,3.258990943777462e-08,2.118344184509624e-07
1860,2.654766717569146e-08,2.3069006260811875e-07
1861,2.2165028923382124e-08,2.5560524363754666e-07
1862,3.930648162508987e-08,2.6701297883846564e-07
1863,4.345320192555846e-08,2.6821112442121375e-07
1864,2.8768367243969806e-08,2.1911907310823153e-07
1865,1.97687466396701e-08,2.071011522275512e-07
1866,3.113992264047738e-08,1.9754388347337226e-07
1867,2.038180824115443e-08,1.4946658666303847e-07
1868,4.2482916740027576e-08,1.8573926752196712e-07
1869,3.564969119906891e-08,1.7141152852673258e-07
1870,2.752343419842873e-08,1.5080547655088594e-07
1871,4.142259157902117e-08,1.083360103848463e-07
1872,2.4794090336399677e-08,1.7597757562271e-07
1873,5.088103804951061e-08,1.6940393265940656e-07
1874,2.5690820137924675e-08,1.923824157756826e-07
1875,4.520006413599731e-08,1.773673403704379e-07
1876,1.269663130187837e-08,9.310862481015647e-08
1877,2.72131899237138e-08,1.2184086983779707e-07
1878,3.4422804162659304e-08,1.4735375941654638e-07
1879,3.5434087664043545e-08,1.4173635065617418e-07
1880,2.5029599726167362e-08,1.4375976320479822e-07
1881,2.5798277292210514e-08,1.4921165814030246e-07
1882,4.725323421439498e-08,1.5174278189533652e-07
1883,4.107570461542309e-08,1.2575485186516744e-07
1884,2.1125430293977843e-08,1.3533478693261713e-07
1885,3.0294486919046903e-08,1.0184104581867359e-07
1886,3.743009102663564e-08,7.679621916167889e-08
1887,2.6768590899450828e-08,9.140494228176976e-08
1888,3.4239320712003973e-08,8.496423475889969e-08
1889,3.069916942877171e-08,8.019375030698939e-08
1890,3.8015443237782165e-08,1.1142456912693888e-07
1891,2.7409146952095398e-08,8.923908012548054e-08
1892,3.322311670217459e-08,8.337121215618026e-08
1893,5.6041589147071136e-08,1.1454654469389425e-07
1894,2.7096618282484997e-08,7.939939195011902e-08
1895,3.611168608586013e-08,8.546432894718237e-08
1896,2.4767521367152767e-08,8.668632744956994e-08
1897,2.155884004650943e-08,6.75898803592645e-08
1898,2.319925584970406e-08,1.0807458039607809e-07
1899,2.3768587098516036e-08,9.341607665191987e-08
1900,2.595526638060619e-08,8.513327287573702e-08
1901,2.235495522029396e-08,1.0562716568074393e-07
1902,3.388095848322337e-08,5.990546014800202e-08
1903,3.4021386596805314e-08,9.666394618079721e-08
1904,3.654745128756076e-08,7.470728746739042e-08
1905,2.8900251081154238e-08,8.824898145576299e-08
1906,2.6749759740596346e-08,7.510509192343306e-08
1907,4.782844342798853e-08,9.668545430940867e-08
1908,5.893667065492991e-08,1.1247080777820884e-07
1909,3.960708028216686e-08,9.626721464428556e-08
1910,4.5959694716657395e-08,8.657524119826121e-08
1911,2.979409430281521e-08,7.714542249459555e-08
1912,3.5945006970905524e-08,7.918320221733666e-08
1913,3.1287640922528226e-08,1.0499919511630651e-07
1914,1.9420557606508737e-08,1.3058649983577197e-07
1915,9.424609537234119e-09,7.304072369151982e-08
1916,1.648119329900055e-08,5.7134801778602196e-08
1917,2.1932848426331475e-08,5.3735480065597585e-08
1918,1.6080926812378493e-08,6.087779524932557e-08
1919,8.287063479883727e-09,6.629650783906982e-08
1920,2.6502810612782923e-08,7.042175553806374e-08
1921,2.6504615391331754e-08,4.316466117870732e-08
1922,1.475587119159627e-08,6.78770035733578e-08
1923,1.8047112249064412e-08,1.1889861895042486e-07
1924,2.836157442231979e-08,7.734974616369072e-08
1925,2.1996356736053713e-08,5.829034321891413e-08
1926,1.7833821530643945e-08,9.13983342343272e-08
1927,1.6723836537835268e-08,9.588333682586381e-08
1928,1.3711249025050165e-08,1.2568645502142317e-07
1929,2.6736975300423182e-08,8.243900850857244e-08
1930,3.046045193855207e-08,1.2079144084964355e-07
1931,3.763767608688795e-08,6.957267828511249e-08
1932,2.082311922890767e-08,9.753987484373283e-08
1933,1.261772819560747e-08,8.488289893193723e-08
1934,2.516131836216573e-08,7.06913212411564e-08
1935,2.154291145473053e-08,8.976213194955562e-08
1936,3.394919900756577e-08,7.517323297179246e-08
1937,1.888667711114067e-08,6.295559273894469e-08
1938,3.1116513810047763e-08,5.8343463393839556e-08
1939,2.5999884911698246e-08,4.8940961505650193e-08
1940,1.7750480196809804e-08,9.382397081481031e-08
1941,8.854508237732261e-09,7.969057236323351e-08
1942,1.8205270180260413e-08,5.76500234217292e-08
1943,2.322588166236983e-08,4.645176332473966e-08
1944,2.5705489292704442e-08,2.8918675454292497e-08
1945,3.703456741277478e-08,9.367567344042982e-08
1946,1.3921104269343232e-08,1.280741628306714e-07
1947,7.152522574216391e-09,8.106191984325051e-08
1948,2.174377655705939e-08,7.936478141346015e-08
1949,3.435953033203987e-08,6.282885323116716e-08
1950,3.616023036556726e-08,8.295582176742755e-08
1951,2.8785784422780125e-08,6.610068936652169e-08
1952,2.8470971358274255e-08,6.326882129314981e-08
1953,3.98631598841348e-08,7.326202933199966e-08
1954,4.202190595492539e-08,4.9839933069506515e-08
1955,3.754243138587299e-08,8.447047150639264e-08
1956,2.703553825256222e-08,8.023449993288523e-08
1957,3.3573144264664734e-08,6.891329462632712e-08
1958,2.4816730004317833e-08,8.685855590329083e-08
1959,3.5653439312000046e-08,5.115493451057773e-08
1960,3.18358317485945e-08,8.097374859517004e-08
1961,2.36237411854745e-08,8.129346440455265e-08
1962,2.3465238641051656e-08,5.961439342172525e-08
