year,petit_ADJ auteur_NOUN,petit_ADJ moteur_NOUN
1800,5.345079490126636e-08,0.0
1801,5.000483449535409e-08,0.0
1802,3.8043282302169246e-08,0.0
1803,1.3652374120098898e-08,0.0
1804,8.404293083685843e-08,0.0
1805,3.4114532532214525e-08,0.0
1806,2.305335211616466e-08,0.0
1807,3.70104165092755e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,3.840352036377226e-08,0.0
1810,4.446240886579744e-08,0.0
1811,2.757784400841956e-08,0.0
1812,5.867858021701977e-08,2.6672082320544632e-09
1813,1.2653263548045857e-07,0.0
1814,2.5173417128598885e-08,0.0
1815,2.157778822287071e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,2.6466848268569265e-08,0.0
1818,5.245317957758289e-08,0.0
1819,3.2088255608186955e-08,0.0
1820,8.899861114741725e-08,0.0
1821,2.3667571014129862e-08,0.0
1822,2.5064039732569654e-08,0.0
1823,5.336651087706201e-08,0.0
1824,3.3684450784221553e-08,0.0
1825,6.163809906922779e-08,0.0
1826,1.9377564886013943e-08,0.0
1827,2.027800150017356e-08,0.0
1828,2.0179061976932644e-08,0.0
1829,1.2859763920403111e-08,0.0
1830,4.4878394334091354e-08,0.0
1831,2.3386808933878456e-08,0.0
1832,3.6530916958099624e-08,1.3529969367098715e-09
1833,2.085053074640797e-08,1.1583628500844156e-09
1834,9.334531370086552e-09,0.0
1835,9.832014313815307e-09,0.0
1836,2.688300027031687e-08,0.0
1837,5.5663127440652715e-09,0.0
1838,3.787297142565649e-09,0.0
1839,1.25846553178377e-08,0.0
1840,5.732719632334238e-09,0.0
1841,5.778493683550323e-09,0.0
1842,1.1404051036834062e-08,0.0
1843,6.497602011990011e-09,0.0
1844,2.085653250105679e-08,5.488561272137815e-10
1845,7.254296274794569e-09,0.0
1846,1.6392604607062822e-08,0.0
1847,2.1033571329098777e-08,2.1572894581822766e-09
1848,4.82713291560799e-09,8.045221711050488e-10
1849,4.1897072478036534e-09,0.0
1850,2.0366988096043315e-09,0.0
1851,6.449438760824933e-10,6.449438760824933e-10
1852,1.3021090872200602e-09,3.2552727180501506e-09
1853,1.1943863675867306e-09,2.9859659189668264e-09
1854,2.2341356598065687e-08,0.0
1855,2.7065379271107304e-08,1.2736649068756378e-08
1856,1.6049286344355096e-08,2.5885946719483854e-09
1857,1.7085281689421805e-08,3.4170564155999728e-09
1858,3.9149408159744326e-09,2.0064071293290908e-08
1859,2.2914779407301467e-08,1.5276520048956854e-09
1860,1.785101666484934e-08,1.1900677776566226e-08
1861,5.659156698811785e-09,9.431927239234028e-09
1862,1.1746764477793548e-08,4.9697850279528666e-09
1863,6.992469048228145e-09,2.2975255475898848e-08
1864,7.671564716815737e-09,1.2945765348604255e-08
1865,7.530950973944073e-09,2.0710114512212385e-08
1866,1.0704348518686402e-08,2.3354941647291128e-08
1867,1.6014277903764196e-08,2.135237053835226e-08
1868,1.3831646938911035e-08,3.309715523869272e-08
1869,1.6115613732381462e-08,3.076617005604021e-08
1870,1.548193129252695e-08,6.135432339959834e-08
1871,2.3366590440332402e-08,3.1863530702835874e-08
1872,3.628403577593531e-09,4.051717328312776e-08
1873,8.979006871356887e-09,4.309923351542011e-08
1874,2.2106053876314036e-08,7.468261786769403e-08
1875,1.5448122780981066e-08,4.634437100747846e-08
1876,9.06902219988126e-09,6.711076272480909e-08
1877,2.6594708657512456e-08,7.050689943000066e-08
1878,1.3889903838215645e-08,6.944952213316924e-08
1879,2.3826368877877258e-08,7.514469835268045e-08
1880,2.0537108014195837e-08,1.168048004984712e-07
1881,3.555978955738226e-08,2.098724811716579e-07
1882,2.6621540527571597e-09,1.8701632908957322e-07
