year,tout_DET arc_NOUN
1800,1.2576658381391326e-08
1801,5.714838380299625e-08
1802,2.4616241489638924e-08
1803,2.5354410126965377e-08
1804,4.943701892301533e-09
1805,1.7057265822018053e-08
1806,5.76333825108577e-08
1807,1.1387820464392462e-08
1808,2.945896149242344e-08
1809,9.036122072814123e-09
1810,1.4040760554223652e-08
1811,3.5099073869560016e-08
1812,1.8670457180292033e-08
1813,6.039057609541487e-08
1814,2.3285410577500443e-07
1815,1.0788894222457657e-08
1816,3.7081662185300956e-08
1817,7.7843672841027e-08
1818,1.9073883805731384e-08
1819,3.3123360054787554e-08
1820,1.542642635854463e-08
1821,2.7612166775270452e-08
1822,2.2056354964661296e-08
1823,4.941343334508019e-09
1824,0.0
1825,3.3460684445429933e-08
1826,4.051672775062798e-08
1827,2.949527377893446e-08
1828,1.0089530988466322e-08
1829,0.0
1830,5.9489964954195784e-08
1831,7.795603096383275e-08
1832,3.111892965534935e-08
1833,1.7375443306377747e-08
1834,3.453776464823477e-08
1835,7.563087933704082e-09
1836,1.2097349788575684e-08
1837,1.043683617307778e-08
1838,1.7042836919500814e-08
1839,4.894032734625853e-09
1840,1.7835128207632778e-08
1841,1.0272877215555809e-08
1842,9.391571076378114e-09
1843,1.063243981747064e-08
1844,3.3480223482484917e-08
1845,1.4508592105499929e-08
1846,1.0538102834800611e-08
1847,9.168480197274675e-09
1848,2.252662056889676e-08
1849,2.4300303103075294e-08
1850,1.6293590476834652e-08
1851,7.739326735034524e-09
1852,3.906327261660181e-09
1853,8.957897534855874e-09
1854,1.0391328686409906e-08
1855,1.3798036491152743e-08
1856,3.36517302912398e-08
1857,4.393358299381589e-08
1858,3.034079121277955e-08
1859,5.092173349652285e-09
1860,5.492620663849479e-09
1861,1.3676294763342867e-08
1862,1.4909354750791692e-08
1863,1.5982786649715308e-08
1864,1.5343129766698382e-08
1865,1.6473955644080718e-08
1866,1.5569961542283295e-08
1867,8.73506067478047e-09
1868,3.40851316060764e-08
1869,1.1720445947105418e-08
1870,4.013834153937523e-09
1871,1.3807530230280918e-08
1872,6.047339295989218e-10
1873,1.3169210166807943e-08
1874,1.6131444624534197e-08
1875,4.4055759040873e-08
1876,5.441413097884151e-09
1877,1.855444820009211e-08
1878,1.690944850807341e-08
1879,6.10932526790009e-09
1880,6.417846032391594e-09
1881,1.4642265622200057e-08
1882,4.1263387373646765e-08
1883,2.338155447034751e-08
1884,1.4523733327109767e-08
1885,2.7716233086394482e-08
1886,1.8069699403433503e-08
1887,2.8727267675776602e-08
1888,2.9800889755904336e-08
1889,1.0650732296113574e-08
1890,1.8352281472289178e-08
1891,3.1233678754460925e-08
1892,2.6954603882245465e-08
1893,2.278614097406262e-08
1894,1.76443095689649e-08
1895,5.5973115031804355e-08
1896,1.7101384197637515e-08
1897,1.3401440845939305e-08
1898,3.508180146383211e-08
1899,5.969784666604028e-08
1900,2.9069898266342875e-08
1901,5.309301798206434e-08
1902,4.026432676162983e-08
1903,2.0520837251680746e-08
1904,9.13686282189019e-09
1905,4.954328824968712e-08
1906,1.6975808758701305e-08
1907,1.8514235478050978e-08
1908,2.161011236623267e-08
1909,3.190570385669389e-08
1910,4.114996077220212e-08
1911,3.777465629184462e-08
1912,5.938740166300249e-08
1913,5.3029898472445325e-08
1914,4.2859159776753586e-08
1915,4.947920029252373e-08
1916,3.296238504368887e-08
1917,3.3995915083018247e-08
1918,3.331049214239101e-08
1919,3.9593746947730324e-08
1920,3.8618383157995595e-08
1921,5.073740672045801e-08
1922,3.6889677090812256e-08
1923,2.866305992554885e-08
1924,3.2229061641686485e-08
1925,2.4195992320841242e-08
1926,5.5730691173039304e-08
1927,3.2332752919472796e-08
1928,5.3702394531285336e-08
1929,4.678970544347294e-08
1930,7.247486788486412e-08
1931,6.729160606511186e-08
1932,1.1178727277183498e-07
1933,5.850037609889114e-08
1934,5.2718954535180274e-08
1935,8.976212928502036e-08
1936,1.0184759879905414e-07
1937,3.90324657040253e-08
1938,1.4650692747864014e-07
1939,3.058810094103137e-08
1940,5.325144059042941e-08
