year,pouvaient_VERB hériter_VERB,pouvaient_VERB mériter_VERB
1800,0.0,7.860410988769218e-08
1801,0.0,4.286128785224719e-08
1802,1.5664880947952042e-08,1.5664880947952042e-08
1803,0.0,1.1702034896643454e-08
1804,2.4718509461507665e-09,1.3100809326260787e-07
1805,2.842877711017877e-09,5.685755510853596e-08
1806,0.0,3.7461699520235925e-08
1807,5.693910232196231e-09,3.701041606518629e-08
1808,4.5321478125970316e-08,4.985362878073829e-08
1809,3.6144488291256494e-08,6.551188391767937e-08
1810,7.020380277111826e-09,2.574139479349924e-08
1811,7.521229861140455e-09,3.5099073869560016e-08
1812,5.3344164641089264e-09,8.801787032552966e-08
1813,0.0,1.2078115219082974e-07
1814,0.0,6.608021863030444e-08
1815,1.8880564667256294e-08,3.506390555685357e-08
1816,6.952811659743929e-09,5.3304887615013286e-08
1817,3.42512151974006e-08,1.0431051578052575e-07
1818,1.0729059418679299e-08,7.391130196765516e-08
1819,3.3123360054787554e-08,7.556266723440785e-08
1820,1.542642635854463e-08,5.22125169766241e-08
1821,3.254291058851777e-08,8.57949515875589e-08
1822,1.4035862250239006e-08,4.8122956286533736e-08
1823,8.894418535021487e-09,3.854247765389118e-08
1824,2.3579115548955087e-08,7.073734309415158e-08
1825,3.0819052199149155e-08,5.371320099811783e-08
1826,4.227832306469281e-08,6.870227764466108e-08
1827,2.3043183361437514e-08,6.083400450052068e-08
1828,1.6510142586412258e-08,5.228211819030548e-08
1829,2.1432940755516938e-08,1.2431105744781235e-07
1830,2.400472176589119e-08,4.0703660886265425e-08
1831,1.5591206103948707e-09,2.3386808933878456e-08
1832,4.058990921151917e-09,1.6235963684607668e-08
1833,0.0,3.70676112027013e-08
1834,2.8003592777992026e-09,4.2005389389032644e-08
1835,3.2521278114927554e-08,4.159698363537245e-08
1836,1.6129799718100912e-08,4.099657502365517e-08
1837,3.478945487245255e-08,2.99189295560609e-08
1838,6.943378316748294e-09,4.039783618736692e-08
1839,2.4470162784950844e-08,2.866504900111977e-08
1840,3.184844388215424e-08,5.032054062326097e-08
1841,2.1829865914924085e-08,3.852328944731198e-08
1842,1.341653010911159e-08,3.957876515414682e-08
1843,4.0757687003178944e-08,4.961805188941071e-08
1844,3.0735943568060975e-08,4.8299337862545144e-08
