year,est_VERB orale_ADJ,est_VERB morale_ADJ
1800,3.144164484325529e-09,3.144164395507687e-08
1801,4.7623651688866175e-09,6.905429472681135e-08
1802,4.475680270843441e-09,7.608656460433849e-08
1803,1.950339223455444e-09,2.7304748684287006e-08
1804,2.4718509461507665e-09,9.145848167690929e-08
1805,2.842877711017877e-09,3.980028751016107e-08
1806,2.305335300434308e-08,5.76333825108577e-08
1807,1.4234775136401367e-08,4.555128185756985e-08
1808,9.064295980465431e-09,6.345007363961486e-08
1809,2.259030518203531e-09,1.581321384946932e-08
1810,1.1700633351097167e-08,2.8081521108447305e-08
1811,2.5070767684098882e-09,2.757784400841956e-08
1812,0.0,2.6672083208723052e-08
1813,2.8757416448144113e-09,4.3136125782439194e-08
1814,0.0,2.5173417128598885e-08
1815,0.0,7.552225866902518e-08
1816,0.0,5.5622493277951435e-08
1817,1.556873407970727e-09,1.401186100480345e-08
1818,5.960588467246453e-09,6.914282835168706e-08
1819,4.140420006848444e-09,7.349245834120666e-08
1820,1.1866481131050932e-09,7.475883023744245e-08
1821,0.0,3.747365440176509e-08
1822,1.0025615893027862e-08,3.60922172149003e-08
1823,1.9765373782121287e-09,6.720227219148e-08
1824,8.421112696055388e-10,4.5474010335055937e-08
1825,8.805443041381977e-10,8.981552213072064e-08
1826,3.5231937367541377e-09,6.517908701653141e-08
1827,9.217273055917019e-10,6.267745789045875e-08
1828,1.1006761724274838e-08,3.3020285172824515e-08
1829,8.57317605795771e-10,3.6864655328372464e-08
1830,7.305785310052215e-09,8.245100246995207e-08
1831,0.0,9.510635834431014e-08
1832,4.058990921151917e-09,6.494385473843067e-08
1833,1.2741991461950875e-08,1.2973663388038403e-07
1834,0.0,7.000897994657862e-08
1835,7.563087933704082e-10,6.201732105637348e-08
1836,5.376600054063374e-09,7.123995260371885e-08
1837,6.957891152126194e-09,4.5922078584226256e-08
1838,3.787297142565649e-09,4.481634974240478e-08
1839,4.194885327990505e-09,4.1249702320556025e-08
