year,voudront_VERB être_VERB,voudront_VERB etre_VERB,voudront_VERB mettre_VERB
1800,1.1004575384276905e-07,0.0,3.772997558826319e-08
1801,1.4048977448055666e-07,0.0,3.5717739876872656e-08
1802,6.489736392722989e-08,0.0,3.5805442166747525e-08
1803,9.55666195068261e-08,1.950339223455444e-09,5.851017448321727e-09
1804,1.2359254242255702e-07,0.0,1.730295728918918e-08
1805,5.401467717547348e-08,0.0,2.842877711017877e-09
1806,1.152667650217154e-07,0.0,8.645007376628655e-09
1807,1.4234775846944103e-07,0.0,1.7081731584767113e-08
1808,1.2010191596800723e-07,0.0,1.1330369531492579e-08
1809,7.454800510231507e-08,0.0,0.0
1810,5.616304221689461e-08,0.0,2.106114038724627e-08
1811,1.278609147448151e-07,0.0,1.504245972228091e-08
1812,8.268345652595599e-08,0.0,1.8670457180292033e-08
1813,9.202373263406116e-08,0.0,0.0
1814,1.6992056828257773e-07,0.0,1.5733386149463513e-08
1815,9.170560133497929e-08,0.0,2.697223555614414e-09
1816,6.721051448721482e-08,0.0,1.8540831092650478e-08
1817,1.4167548556542897e-07,0.0,4.670620334934483e-09
1818,2.22926018977887e-07,0.0,2.384235386898581e-08
1819,1.614763789348217e-07,0.0,1.9666995143552413e-08
1820,9.137190204455692e-08,2.3732962262101864e-09,7.119888678630559e-09
1821,1.311577904061778e-07,0.0,2.070912508145284e-08
1822,1.233150754842427e-07,0.0,3.5089655625597516e-08
1823,9.981513926504704e-08,0.0,5.929612356680991e-09
1824,1.8189604134022375e-07,0.0,1.6842225392110777e-08
1825,1.3912600138610287e-07,0.0,8.805443041381977e-10
1826,1.585437132689549e-07,0.0,2.1139161532346407e-08
1827,2.0185828475405287e-07,9.217273055917019e-10,1.7512819638909605e-08
1828,7.888178998882722e-08,0.0,1.1006761724274838e-08
1829,1.3288422451296356e-07,0.0,1.1145129263923081e-08
1830,1.315041373572967e-07,0.0,2.6092090266160994e-08
1831,1.216114071667107e-07,0.0,6.236482441579483e-09
1832,9.741577855493233e-08,0.0,1.0823975493678972e-08
1833,9.266902623039641e-08,1.1583628500844156e-09,2.3167257001688313e-09
1834,1.3535070308989816e-07,0.0,1.6802156110884425e-08
1835,1.557996114343041e-07,0.0,1.285724948729694e-08
1836,1.1492482343555821e-07,0.0,2.688300071440608e-08
1837,7.862416850912268e-08,0.0,1.8090515752078318e-08
1838,9.089512786886189e-08,0.0,1.4517972601879592e-08
1839,1.0487212875887053e-07,0.0,1.8177836125232716e-08
1840,1.05099864811109e-07,0.0,1.7198159341091923e-08
1841,6.484754067059839e-08,6.420548537278137e-10,2.3113974734201292e-08
1842,1.10686372067903e-07,0.0,1.542900918138912e-08
1843,1.0159887153804448e-07,0.0,2.8943864194275193e-08
1844,1.2953005068538914e-07,0.0,2.030767731753258e-08
1845,5.30121653241622e-08,0.0,1.674068350610014e-08
1846,7.493761700061441e-08,0.0,9.952652035849496e-09
