year,tout_DET air_NOUN,tout_DET maire_NOUN
1800,8.803660733747165e-08,3.144164484325529e-09
1801,1.0239084957675004e-07,1.1905912922216544e-08
1802,8.056224487518193e-08,1.1189200677108602e-08
1803,4.6808139586573816e-08,1.950339223455444e-09
1804,1.5819846055364906e-07,4.943701892301533e-09
1805,1.0802935435094696e-07,0.0
1806,4.610670600868616e-08,0.0
1807,3.4163460504998966e-08,0.0
1808,8.837688625362716e-08,4.305540546312159e-08
1809,7.680704072754452e-08,2.7108366884576185e-08
1810,1.7316938283329364e-07,2.3401267590372754e-08
1811,2.0056613259100686e-08,1.7549537822958428e-08
1812,9.601949368942542e-08,2.6672082320544632e-09
1813,5.176335093892703e-08,1.7254450312975678e-08
1814,1.6048053197437184e-07,0.0
1815,5.933891955578474e-08,2.6972235556144142e-08
1816,8.806894591373293e-08,4.6352077731626196e-09
1817,6.538868291272593e-08,9.341240669868967e-09
1818,9.656153565629211e-08,1.668964877410417e-08
1819,5.693077387292078e-08,8.280840013696888e-09
1820,8.899861114741725e-08,7.119888678630559e-09
1821,8.185035138552621e-08,2.1695274687871802e-08
1822,5.213320264374488e-08,0.0
1823,5.040170203418626e-08,3.557767325190753e-08
1824,6.147412268120434e-08,1.0105335235266466e-08
1825,1.0126259830656181e-07,3.522177216552791e-09
1826,5.549030035467695e-08,1.7615968683770689e-09
1827,7.189472972513045e-08,2.8573547083965423e-08
1828,4.769596717579816e-08,1.1006761724274838e-08
1829,1.243110556714555e-07,4.286588028978855e-09
1830,3.965997530386289e-08,6.262101504006523e-09
1831,3.897801348351493e-08,2.494593065449635e-08
1832,4.19429042608499e-08,1.0823975493678972e-08
1833,3.243415958031903e-08,6.950177322551099e-09
1834,2.42697808516823e-08,1.8669061851994684e-09
1835,5.7479468296151026e-08,1.3613558280667348e-08
1836,3.8980349170714135e-08,2.688300027031687e-09
1837,6.192522938874845e-08,4.870523429012508e-09
1838,3.913540558286854e-08,6.312161904276081e-10
1839,4.6842884238174065e-08,0.0
1840,2.7389661649834807e-08,4.458782010274831e-09
1841,3.5955071808757566e-08,5.1364388298225094e-09
1842,3.6224630406422875e-08,1.341653010911159e-09
