year,faut_VERB hériter_VERB,faut_VERB mériter_VERB
1800,0.0,2.5153315874604232e-08
1801,0.0,5.2386017301842e-08
1802,0.0,5.594600338554301e-08
1803,0.0,5.460949736857401e-08
1804,0.0,3.213406074564773e-08
1805,0.0,2.842877755426798e-08
1806,0.0,1.0662175498055149e-07
1807,0.0,1.4234775136401367e-08
1808,0.0,2.039466551195801e-08
1809,0.0,2.0331274441787173e-08
1810,0.0,5.8503168531842675e-08
1811,0.0,4.763445815569867e-08
1812,0.0,3.7340914360584065e-08
1813,0.0,2.5881675469463516e-08
1814,0.0,2.2026739543434815e-08
1815,0.0,8.361393355471591e-08
1816,0.0,4.8669683394564345e-08
1817,1.556873407970727e-09,9.49692804397273e-08
1818,0.0,4.410835785506606e-08
1819,0.0,7.970308502081025e-08
1820,0.0,9.730514705097448e-08
1821,0.0,2.465372084259343e-08
1822,0.0,3.909990198280866e-08
1823,0.0,3.360113609574e-08
1824,0.0,4.0421340941065864e-08
1825,0.0,4.138558296062911e-08
1826,0.0,2.8185549894033102e-08
1827,2.7651818612639545e-09,7.373818444733615e-09
1828,1.8344602503717056e-09,8.6219628769868e-08
1829,0.0,3.0006116702452346e-08
1830,0.0,3.339787468803479e-08
1831,0.0,4.2096257146795324e-08
1832,1.3529969367098715e-09,1.2176972319366541e-08
1833,0.0,5.6759780875381693e-08
1834,0.0,3.360431222176885e-08
1835,0.0,2.949604294144592e-08
1836,0.0,4.166864897570122e-08
1837,0.0,3.896418832027848e-08
1838,0.0,4.5447563934430946e-08
1839,4.194885327990505e-09,2.3771015378315496e-08
1840,0.0,3.3759349093998026e-08
1841,6.420548537278137e-10,1.733548060656176e-08
1842,0.0,1.7441490030023488e-08
1843,0.0,1.594865928211675e-08
1844,0.0,3.512679214168202e-08
1845,0.0,2.7343116215661212e-08
1846,0.0,1.5221703009160592e-08
1847,5.393223645455691e-10,3.182001862001016e-08
1848,0.0,2.494018680465615e-08
1849,0.0,1.508294644736452e-08
1850,0.0,2.5119284430275002e-08
1851,6.449438760824933e-10,1.7413483988093503e-08
1852,0.0,2.9948509450150596e-08
1853,0.0,2.149895550473957e-08
1854,0.0,4.1565314745639625e-08
1855,0.0,1.4859423913549108e-08
1856,5.177189343896771e-09,2.019103817474388e-08
1857,4.881508974818871e-09,1.8549734193129552e-08
1858,0.0,3.131952652779546e-08
1859,2.5460866748261424e-09,1.9859475841599306e-08
1860,4.577183909670879e-10,3.570203332969868e-08
1861,4.715963730639317e-10,2.0750240636857598e-08
1862,0.0,2.755971628687348e-08
