year,tout_DET être_NOUN,tout_DET maître_NOUN,tout_DET etre_NOUN
1800,5.030663396965451e-08,5.973912564627426e-08,0.0
1801,4.0480105045759274e-08,1.1429676405327882e-07,4.7623651688866175e-09
1802,3.3567602031325805e-08,7.608656460433849e-08,0.0
1803,1.326230716358623e-07,1.1116933773536175e-07,9.751696339321825e-09
1804,5.6852571539423025e-08,6.179627387581377e-08,7.4155528384522995e-09
1805,3.127165526528586e-08,1.1087222873129576e-07,2.842877711017877e-09
1806,1.1526676146900172e-07,4.3225035994964855e-08,1.123850950079941e-07
1807,2.8469550716891945e-08,1.338068891243438e-07,3.9857372513552036e-08
1808,3.6257184365950934e-08,1.3143229127265954e-07,4.5321479902327155e-09
1809,6.099382532376296e-08,8.358413250419972e-08,0.0
1810,3.510190271782676e-08,9.360507080558023e-08,4.680253518074551e-09
1811,7.521230305229665e-09,1.3538214815866922e-07,1.504245972228091e-08
1812,4.800974817698034e-08,1.7603574198332694e-07,1.0668832928217853e-08
1813,7.476928232108548e-08,8.339650747757332e-08,5.751483289628823e-09
1814,4.720015578385528e-08,1.7621391634747852e-07,1.5733386149463513e-08
1815,7.282503799999063e-08,5.664169400176888e-08,0.0
1816,5.7940097164532745e-08,8.806894769008977e-08,0.0
1817,4.514932838706187e-08,1.0275364881184856e-07,0.0
1818,1.1205907068934096e-07,9.536941725230008e-08,1.1921177378582115e-09
1819,4.450951429646466e-08,1.1179134240535404e-07,0.0
1820,5.933240654343308e-08,8.06920699147895e-08,5.933240565525466e-09
1821,7.5933461296529e-08,1.4989461838421647e-07,0.0
1822,7.619468078701175e-08,7.318699601910339e-08,5.012807946513931e-09
1823,7.807322577324527e-08,8.004976415065812e-08,0.0
1824,6.315834433223699e-08,7.831634540877985e-08,9.263223965660927e-09
1825,6.163810151171845e-08,5.371320344060848e-08,8.805443041381977e-10
1826,7.222546982710298e-08,9.86494264054727e-08,8.807984341885344e-10
1827,4.6086364391406676e-08,1.1337245986453581e-07,0.0
1828,7.42956391963645e-08,1.1098484620220006e-07,9.172301251858528e-10
1829,8.573175946935407e-08,1.3974277185413442e-07,0.0
1830,6.36646975138433e-08,6.575206512593468e-08,7.30578508800761e-09
1831,7.795603074178814e-08,1.2317052622279334e-07,0.0
1832,1.623596324051846e-08,6.764984661344897e-08,0.0
1833,1.1815300970940967e-07,1.297366409858114e-07,1.1583628500844156e-09
1834,7.560969983444465e-08,1.26949618817207e-07,1.8669061851994684e-09
1835,7.865611451052246e-08,1.293288036663398e-07,0.0
1836,5.981467676718921e-08,8.736974982381795e-08,7.392825018825988e-09
1837,8.558205921715967e-08,9.741047257705304e-08,0.0
1838,5.680945602826171e-08,1.0099459313295256e-07,0.0
1839,7.341049057529858e-08,1.1186360149295638e-07,2.09744255297295e-09
1840,1.7198160157105846e-07,1.5796828378711325e-07,8.917564464638872e-09
1841,1.4959878402720506e-07,1.3547357369247948e-07,1.2841097074556274e-09
1842,2.3814340233130338e-07,9.794067024060382e-08,6.708265054555795e-10
1843,1.9492806835330612e-07,1.228637529493426e-07,0.0
1844,8.0681851477582e-08,1.970393448402774e-07,5.488561272137815e-10
1845,1.4843406637155e-07,1.8079938773896131e-07,1.1160455892778032e-09
1846,1.3523898334533158e-07,1.2645722624604616e-07,2.9272506640865004e-09
1847,1.2889804335003419e-07,1.2566210827458235e-07,0.0
1848,1.126331050094187e-07,9.976075027173792e-08,4.02261068899179e-09
1849,1.3407063748083203e-07,2.0110596210543008e-07,1.256912263158938e-08
1850,1.2966982865236787e-07,1.3577991708757509e-07,0.0
1851,1.5414158305304682e-07,1.5220675342320078e-07,0.0
1852,9.765818287377215e-08,1.263045792398998e-07,6.510545436100301e-10
1853,1.4750671262220294e-07,8.121827121954084e-08,0.0
1854,1.6210473302580297e-07,9.40415276762252e-08,0.0
1855,1.1197636951010281e-07,1.1197637661553017e-07,3.714855978387277e-09
1856,1.5686883259036222e-07,1.0665009442245577e-07,1.5531567143511893e-09
1857,1.5669643760318763e-07,1.4937418058025287e-07,0.0
1858,2.2657719944696453e-07,7.340514063258752e-08,2.4468380654951716e-09
1859,1.084632894610138e-07,1.1966607083024883e-07,5.092173349652285e-10
1860,1.6752492759675164e-07,1.492161952887372e-07,1.373155145145688e-09
1861,2.315538241148829e-07,1.0092162594510512e-07,0.0
1862,1.7123167772581382e-07,1.3056980566195087e-07,0.0
1863,1.778085056969303e-07,1.1637466457159462e-07,9.989241656072068e-10
1864,1.534312921158687e-07,8.438721410541916e-08,3.3563094525845827e-09
1865,1.3791053832257205e-07,7.578019456389029e-08,9.41368871743009e-10
1866,1.6153835186161203e-07,8.806759410617815e-08,0.0
1867,7.715969907451381e-08,7.667441970227173e-08,1.455843445796745e-09
1868,1.2448482245019932e-07,9.039969339763587e-08,0.0
1869,1.841086673115555e-07,1.0206555189906652e-07,0.0
1870,1.370437647807421e-07,1.0952033191458099e-07,5.734048791339319e-10
1871,9.98390687900752e-08,6.691341614128987e-08,0.0
1872,1.632781571059283e-07,9.857162996951274e-08,0.0
1873,7.961385861676717e-08,8.08110580674537e-08,5.986004469882289e-10
1874,1.2785663727754581e-07,1.0694550239831457e-07,0.0
1875,1.4132171699543505e-07,7.209123964457831e-08,0.0
1876,2.4063139036911707e-07,7.799359091897884e-08,0.0
1877,7.483627140203453e-08,5.999271524004257e-08,6.184815992682502e-10
