year,veut_VERB être_VERB,veut_VERB etre_VERB,veut_VERB mettre_VERB
1800,3.735267455340363e-06,2.5153315874604232e-08,8.489244009979302e-07
1801,4.305178208596772e-06,2.3811825844433088e-09,1.0858192354135099e-06
1802,3.2739601465436863e-06,4.475680270843441e-09,7.295358841474808e-07
1803,3.853870111925062e-06,3.900678446910888e-09,7.352778652602865e-07
1804,5.4677343541698065e-06,2.4718509461507665e-09,8.28070085390209e-07
1805,3.582026010917616e-06,0.0,9.438354027224705e-07
1806,4.310977146815276e-06,5.76333825108577e-09,7.06008961515181e-07
1807,3.6213268685969524e-06,5.693910232196231e-09,7.515961328863341e-07
1808,3.3130002066172892e-06,4.5321479902327155e-09,8.248509288932837e-07
1809,3.3411060940125026e-06,2.259030518203531e-09,7.725884643150494e-07
1810,4.596009148372104e-06,1.1700633351097167e-08,8.939284157349903e-07
1811,2.943308118119603e-06,0.0,7.395876195914752e-07
1812,3.7660979614884127e-06,1.0668832928217853e-08,8.988491799755138e-07
1813,3.6263102174416417e-06,2.8757416448144113e-09,9.001071248349035e-07
1814,3.634411996245035e-06,3.1466771410748606e-09,6.545088240272889e-07
1815,3.4308684462303063e-06,1.618334155573109e-08,7.983781529219414e-07
1816,4.227309545967728e-06,6.952811659743929e-09,8.065261454248684e-07
1817,4.542956503428286e-06,6.227493631882908e-09,7.410717444145121e-07
1818,4.4215648813406006e-06,7.152706205104664e-09,6.902361633365217e-07
1819,4.520303718891228e-06,5.175525008560555e-09,6.831692758169083e-07
1820,4.502142928686226e-06,8.306536791735653e-09,8.650664540255093e-07
1821,5.3971925808582455e-06,2.9584463767662328e-09,8.194896850000077e-07
1822,4.9105465222964995e-06,7.017931125119503e-09,8.932823902796372e-07
1823,4.014347268821439e-06,9.882686891060644e-10,6.058086796656426e-07
1824,3.5486568776832428e-06,4.210556348027694e-09,6.054780214981292e-07
1825,4.085725777258631e-06,7.924898959288385e-09,6.568860726474668e-07
1826,3.5002929053007392e-06,4.403992281964975e-09,6.63241223719524e-07
1827,3.707187261170475e-06,7.373818444733615e-09,7.751726798232994e-07
1828,3.607466169341933e-06,4.586150570418113e-09,8.291760309475649e-07
1829,3.6838937376160175e-06,2.571952817387313e-09,6.669931167380128e-07
1830,4.041142801725073e-06,7.305785310052215e-09,6.345596261780884e-07
1831,3.735653081093915e-06,7.795603274018958e-09,6.096161655477772e-07
1832,3.6260316846892238e-06,5.411987746839486e-09,6.291435852290306e-07
1833,3.6963358525099466e-06,4.6334514003376626e-09,5.571725409936334e-07
1834,4.085724413016578e-06,9.334531370086552e-09,6.282139111135621e-07
1835,4.066672318003839e-06,1.0588323107185715e-08,5.906771889385709e-07
1836,4.090920356247807e-06,1.0753200108126748e-08,8.40765835619095e-07
1837,3.807357870755368e-06,5.566312633042969e-09,7.236206442939874e-07
1838,3.161761924275197e-06,3.787297142565649e-09,6.034426860423991e-07
1839,3.1923075312079163e-06,8.38977065598101e-09,6.138515118436771e-07
1840,3.634544327724143e-06,6.3696887764308485e-09,6.535300371979247e-07
1841,3.5171765375707764e-06,5.778493683550323e-09,6.600324127248314e-07
1842,3.5989842217531987e-06,4.695785538189057e-09,6.285644076342578e-07
1843,3.649289737950312e-06,1.0041748765843295e-08,6.674809469586762e-07
1844,4.131788955419324e-06,8.232841963717874e-09,6.278913815549458e-07
1845,3.653375188150676e-06,1.0044410470033682e-08,6.054547156963963e-07
1846,3.833527443930507e-06,7.025401371762996e-09,7.042964966785803e-07
1847,3.3518886084493715e-06,1.5640348571821505e-08,5.463335810418357e-07
1848,3.5431155538390158e-06,1.4481399079890878e-08,5.527067514776718e-07
1849,3.52019219462818e-06,5.865590679832167e-09,6.142111033113906e-07
1850,3.410112640267471e-06,3.394498016007219e-09,6.313766220955586e-07
1851,3.269220542279072e-06,7.094382636907426e-09,5.907685931560991e-07
1852,3.5886125715478556e-06,1.3021090872200602e-09,6.731904136358935e-07
1853,3.727679768417147e-06,1.0152283902442605e-08,6.455658194681746e-07
1854,4.18666650148225e-06,1.7145692698949944e-08,6.494580588878307e-07
1855,3.828424269158859e-06,9.552486801567284e-09,6.049908165550733e-07
1856,4.17126148022362e-06,2.5885946719483854e-09,6.642333687523205e-07
1857,3.7006720958743244e-06,6.345961978126979e-09,5.984730364616553e-07
1858,3.7607899230351904e-06,1.9085335978274998e-08,5.984965696370637e-07
1859,4.052351414429722e-06,8.14747713739905e-09,6.202267286425922e-07
1860,3.683717523017549e-06,7.323494255473406e-09,6.302782367129112e-07
1861,4.099115813005483e-06,5.187560159214399e-09,6.682520847789419e-07
1862,3.9997730709728785e-06,9.939570055905733e-09,6.167051083139086e-07
1863,4.160019670962356e-06,9.489779628779615e-09,7.052404384921829e-07
1864,4.236142103763996e-06,6.712618905169165e-09,6.563982424268033e-07
1865,3.85302291761036e-06,6.589582213223366e-09,5.605851356449421e-07
1866,3.940173428418348e-06,1.3137154752929092e-08,6.198790742928395e-07
1867,3.443069772401941e-06,7.279217228983725e-09,5.794257162961003e-07
1868,3.4702616176218726e-06,1.0867722721741302e-08,5.997006837787922e-07
1869,3.64896550308913e-06,1.5627261262807224e-08,5.923708954469475e-07
1870,3.8074083477113163e-06,1.7202145929928747e-08,7.620550945830473e-07
1871,3.6260698834666982e-06,2.124235387590545e-08,5.023816811444703e-07
1872,3.6513833947537933e-06,1.4513614310374123e-08,6.277138027144247e-07
1873,3.172582410115865e-06,1.496501056408306e-08,5.255711812424124e-07
1874,3.1330851015809458e-06,5.974609251779839e-09,5.741599125030916e-07
