year,devait_VERB hériter_VERB,devait_VERB mériter_VERB
1800,2.829747991484055e-08,6.288328968651058e-09
1801,3.333655484993869e-08,1.4287095950749062e-08
1802,1.5664880947952042e-08,6.713520406265161e-09
1803,5.460949736857401e-08,1.5602713787643552e-08
1804,3.9549615138412264e-08,3.707776485839531e-08
1805,3.1271653710973624e-08,2.842877711017877e-09
1806,5.76333825108577e-09,0.0
1807,4.839823830593559e-08,1.1672516109229036e-07
1808,2.2660739062985158e-08,9.064295980465431e-09
1809,3.6144488291256494e-08,2.0331274441787173e-08
1810,4.680253340438867e-08,0.0
1811,1.1031137603367824e-07,5.0141537144554604e-08
1812,6.668020802180763e-08,5.3344164641089264e-09
1813,6.614205716459765e-08,2.8757416448144113e-09
1814,4.405347908686963e-08,0.0
1815,8.631115377966125e-08,2.6972236000233352e-08
1816,2.5493642752394408e-08,0.0
1817,4.826307531402563e-08,1.556873407970727e-09
1818,7.033494853203592e-08,0.0
1819,8.280839836061205e-08,3.8298885840504227e-08
1820,4.034603762193001e-08,3.5599443393152796e-09
1821,5.423818549843418e-08,2.465372084259343e-08
1822,5.9151133768864383e-08,1.303330066093622e-08
1823,6.423746157224741e-08,2.3718449426723964e-08
1824,6.652678763430231e-08,6.736890156844311e-09
1825,9.15766094067294e-08,7.924898959288385e-09
1826,1.1362299545680798e-07,3.963592831723872e-08
1827,7.281645508783186e-08,3.3182182335167454e-08
1828,5.044765671868845e-08,1.9261833017480967e-08
1829,1.8860987438529264e-08,8.573175946935407e-09
1830,8.245100246995207e-08,3.026682549034376e-08
1831,5.9246584527272717e-08,2.8064171431196883e-08
1832,5.276687886635045e-08,2.841293600397421e-08
1833,3.01174338801502e-08,2.6642345218874652e-08
1834,4.387229424196448e-08,1.0267983796552471e-08
1835,5.8235777089521434e-08,3.1764969321557146e-08
1836,4.5701099793404865e-08,1.747394939854985e-08
1837,7.931995327226105e-08,2.0177884252348122e-08
1838,9.846972659488529e-08,1.0730675015224733e-08
1839,6.362242288560083e-08,1.7478688718597368e-08
1840,9.490835850556323e-08,8.917564464638872e-09
1841,6.484754067059839e-08,1.7977535904378783e-08
1842,1.0397810967788246e-07,9.391571076378114e-09
1843,9.51012708583221e-08,7.678984559333912e-09
1844,9.056125804818294e-08,3.951764071530306e-08
1845,5.9150416120701266e-08,2.3436957263811564e-08
1846,5.795956425913573e-08,3.1614305839866574e-08
1847,9.761734531821276e-08,2.8584086209093584e-08
1848,9.010648227558704e-08,1.448139919091318e-08
1849,3.6869426622843093e-08,2.513824526317876e-08
1850,9.979824255879066e-08,1.2899092460827433e-08
1851,3.9341575330809064e-08,1.805842941848823e-08
1852,6.119912399071836e-08,1.4323200403509873e-08
1853,6.270528274399112e-08,2.329053394589664e-08
1854,5.0917510208137173e-08,2.909572138776184e-08
1855,7.005156987816008e-08,5.253867740862006e-08
1856,5.487820686767009e-08,2.019103817474388e-08
1857,5.125584578991038e-08,4.1980978693345605e-08
1858,6.459652013290906e-08,9.297984604472731e-09
1859,6.263373109050008e-08,2.34239969643113e-08
1860,7.964300152707438e-08,5.53839250017063e-08
1861,5.75347591791342e-08,2.4994607272788016e-08
1862,8.674533802377482e-08,2.2138133104476765e-08
1863,6.04349139621263e-08,2.597202808374277e-08
1864,7.719511785353461e-08,2.1096802527154068e-08
1865,6.448377121159865e-08,2.023943146411966e-08
1866,4.9142691693759843e-08,1.9949013108089275e-08
1867,4.998396008204509e-08,2.7661025470138156e-08
1868,4.841076517436704e-08,1.9265508299781686e-08
1869,5.7137174991339634e-08,1.7580669364747337e-08
1870,7.0528798801206e-08,3.7844721134661086e-08
1871,3.9298356568906456e-08,9.559059321873065e-09
1872,5.2611852652262314e-08,2.1770421909650395e-08
1873,4.968383748860106e-08,2.21482157058972e-08
1874,4.779687401423871e-08,2.2106053876314036e-08
1875,5.607096653648114e-08,1.602027666081085e-08
1876,4.17175023414984e-08,2.418405919968336e-08
1877,7.483627229021295e-08,1.2988113695655557e-08
1878,5.495570576385944e-08,1.7513357875031943e-08
1879,5.254019797007459e-08,2.016077260691418e-08
1880,7.25216651176197e-08,2.888030792291829e-08
1881,3.834879080955034e-08,1.4642266066289267e-08
1882,4.5256619785050134e-08,9.317538740560849e-09
1883,3.981183382961717e-08,2.9700892412165558e-08
1884,5.479408571318345e-08,1.386356363042296e-08
1885,5.414333870135124e-08,1.4824961702686323e-08
1886,6.711602651421344e-08,1.355227396970804e-08
1887,5.4842967500690065e-08,2.2198344495905076e-08
1888,4.311618084784641e-08,1.268122939990235e-08
1889,3.069916942877171e-08,2.1301465480405568e-08
1890,3.9326319978272295e-08,1.4419650362640368e-08
1891,3.569563133964948e-08,3.378336543846672e-08
1892,4.5133290882404253e-08,1.6298132621272998e-08
1893,4.618812354806323e-08,1.539604177480669e-08
1894,6.364554394622246e-08,2.0164925729204697e-08
1895,4.8750777636996645e-08,1.745398137131815e-08
1896,4.599682768002822e-08,1.47425724961181e-08
1897,4.253501018069983e-08,8.740070001067579e-09
1898,6.620275172508627e-08,1.3014216371232123e-08
1899,3.0954439012020885e-08,5.527578395003729e-09
1900,2.699347589896206e-08,1.4015843596837385e-08
1901,4.247441509619421e-08,1.0059729937950124e-08
1902,3.093478895266344e-08,7.365425602756659e-09
1903,4.104167317109386e-08,1.7280704867062013e-08
1904,4.944655174199397e-08,1.0211787859759625e-08
1905,2.37394921498435e-08,1.3934049469810361e-08
1906,3.2922780945909835e-08,5.658602919567102e-09
1907,2.5199932807140613e-08,1.1828539925318182e-08
1908,3.192402786567072e-08,1.4734167663732478e-08
1909,3.355599886845084e-08,1.7603147384193107e-08
1910,5.7716828649745366e-08,8.01622590529405e-09
1911,3.830669470517023e-08,7.980561100850991e-09
1912,4.532196484774431e-08,1.0418842677495377e-08
1913,4.560571298384275e-08,7.954484182448596e-09
1914,2.9465672568562695e-08,1.339348720819089e-08
1915,7.068456930880984e-09,4.712304768617059e-09
1916,2.5271162940043723e-08,4.394984820521586e-09
1917,2.4126133979507358e-08,3.070598708632133e-08
1918,3.2161853624756986e-08,2.2972752589112133e-09
1919,2.3940405213807026e-08,1.4732557396257562e-08
1920,2.1959472462640406e-08,5.300562211374427e-09
1921,2.574734203619755e-08,2.120369302360814e-08
1922,2.7298360905092522e-08,1.623145884366295e-08
1923,3.078624999375279e-08,1.5923921736771263e-08
1924,1.675911143195208e-08,6.445812328337297e-09
1925,2.1996356736053713e-08,5.499089184013428e-09
1926,4.124071395494866e-08,1.0031524944054127e-08
1927,2.3413372574054847e-08,1.5608915049369898e-08
