year,quand_CONJ ils_PRON,quand_CONJ mille_DET
1800,3.655719933703949e-05,3.144164484325529e-08
1801,3.06434390040522e-05,4.286128540975653e-08
1802,3.476484516795608e-05,2.9091921760482364e-08
1803,3.425770819376339e-05,4.485780102925219e-08
1804,3.1792946629138896e-05,8.651478111687538e-08
1805,3.0367618819582276e-05,3.4114532532214525e-08
1806,2.656610695339623e-05,7.204172902675055e-08
1807,2.7421871664046193e-05,5.693910232196231e-09
1808,2.9261812642289442e-05,3.172503681980743e-08
1809,2.9823721433785977e-05,6.551188480585779e-08
1810,2.9918519885541173e-05,4.9142661495693574e-08
1811,2.6544929369265446e-05,8.022645658911642e-08
1812,2.6138639896089444e-05,8.801787387824334e-08
1813,2.5634360554249724e-05,4.3136123117903935e-08
1814,2.776627843559254e-05,7.552025138579666e-08
1815,2.5974262825911865e-05,3.50639068891212e-08
1816,3.0080180522418232e-05,3.476405829871965e-08
1817,3.2982363109113066e-05,1.058673948506339e-07
1818,3.102128698628803e-05,4.053200397535761e-08
1819,3.6447083175517037e-05,4.0369094733705424e-08
1820,3.438668863964267e-05,4.2719330295426516e-08
1821,3.445604033913696e-05,4.6348993976153e-08
1822,3.410814656490402e-05,3.60922172149003e-08
1823,3.404783319638227e-05,4.842516698744248e-08
1824,4.301167518860893e-05,2.6105448469593284e-08
1825,3.831952653854387e-05,4.490775928900348e-08
1826,3.7723717468907125e-05,3.699353356978463e-08
1827,3.139311002087197e-05,1.1060727445055818e-08
1828,3.037315786968975e-05,1.0089530988466322e-08
1829,3.0365332577275694e-05,2.6576846057224657e-08
1830,3.299083755337051e-05,3.131050729798801e-08
1831,3.036699240510643e-05,7.639691013139327e-08
1832,2.9483156140486244e-05,4.0589908989474566e-08
1833,3.0403549317270517e-05,2.0850531967653296e-08
1834,2.987796688103117e-05,4.293884403594461e-08
1835,3.8363006297004176e-05,5.3697924329298985e-08
1836,3.730755588549073e-05,6.183089923395002e-08
1837,3.4650296129257185e-05,4.592207847320395e-08
1838,3.487280218905653e-05,2.0830134506155673e-08
1839,3.069816898459976e-05,3.5656523511562455e-08
1840,3.274529581176466e-05,5.032053884690413e-08
1841,3.0414139246204286e-05,2.632424944692957e-08
1842,2.9561983410530956e-05,3.957876248961156e-08
1843,3.0607841836172156e-05,4.7255289958858526e-08
1844,3.216187155885564e-05,2.360081419183757e-08
1845,2.951829060293676e-05,2.8459162582095132e-08
1846,3.0285921411632444e-05,4.3908759961297505e-08
1847,2.8283142910368042e-05,2.534815202182017e-08
