year,avait_VERB uni_VERB,avait_VERB muni_VERB
1800,8.803660733747165e-08,3.144164484325529e-09
1801,4.286128785224719e-08,1.904946067554647e-08
1802,5.818384352096473e-08,0.0
1803,1.0531832117521844e-07,0.0
1804,1.087614407424553e-07,1.730295728918918e-08
1805,6.254330742194725e-08,8.528632911009026e-09
1806,1.0374009207225754e-07,3.458002950651462e-08
1807,7.117387923472052e-08,0.0
1808,1.0197332755979005e-07,6.798221985349073e-09
1809,7.00299480627109e-08,2.25903047379461e-08
1810,8.190443878675069e-08,4.680253518074551e-09
1811,7.52123057168319e-08,5.0141535368197765e-09
1812,8.268345785822362e-08,0.0
1813,5.176335093892703e-08,0.0
1814,1.7306724942045548e-07,0.0
1815,1.1058616422587875e-07,1.3486118000116676e-08
1816,5.5622493277951435e-08,2.0858434979231788e-08
1817,8.095742032310227e-08,9.341240669868967e-09
1818,8.583247534943439e-08,3.9339884239097955e-08
1819,1.1800197086131448e-07,4.140420006848444e-09
1820,1.5663755448258598e-07,1.0679833017945839e-08
1821,9.467028405651945e-08,1.97229765852569e-09
1822,1.523893615740235e-07,5.012807946513931e-09
1823,7.906149335212831e-08,1.9765373782121287e-09
1824,9.684279689281539e-08,1.0105335235266466e-08
1825,1.320816522820678e-07,3.9624492131906663e-08
1826,1.611861176753493e-07,1.5854372037438225e-08
1827,1.3918082686359412e-07,1.2904182611350734e-08
1828,1.302466803854152e-07,1.2841221419535032e-08
1829,1.5174521195149282e-07,2.5719527840806222e-08
1830,1.3880991933667985e-07,3.026682549034376e-08
1831,1.200522896649403e-07,3.4300654760954785e-08
1832,1.8400758527992167e-07,5.276687886635045e-08
1833,1.2973663388038403e-07,7.761030929032131e-08
1834,1.754891758576349e-07,2.14694217959277e-08
1835,1.4445497242832062e-07,2.2689263801112247e-08
1836,1.28366325902185e-07,3.293167694096155e-08
1837,1.2106730062910742e-07,3.478945487245255e-08
1838,1.533855393809347e-07,2.5879863585487328e-08
1839,1.4052864494296102e-07,6.082583325905944e-08
1840,1.764403818604876e-07,3.503328827036967e-08
1841,2.0417344881451527e-07,2.247191943638427e-08
1842,1.388610884056618e-07,1.6770663080478698e-08
1843,2.291881512350713e-07,1.6539351221922516e-08
1844,1.7673166796683404e-07,1.975882035765153e-08
1845,2.1204865596757827e-07,4.51998474204629e-08
1846,1.791477437507183e-07,1.5221703009160592e-08
1847,1.6826858129093125e-07,2.2112217834546755e-08
1848,1.3355067496334527e-07,1.609044275596716e-08
1849,1.2820504924349052e-07,5.02764896381791e-09
1850,1.7040380217991924e-07,1.6293590476834652e-08
1851,1.7284496189873266e-07,3.8696633453128015e-08
1852,1.5104465811432988e-07,8.463708844885787e-09
1853,1.6721409590303438e-07,1.6124216628554677e-08
1854,1.4703730588649933e-07,2.234135720868835e-08
1855,1.7300614274518011e-07,1.4328730202350926e-08
1856,1.9103828297062364e-07,1.2425253714809514e-08
1857,1.235021731549324e-07,2.6848299583548396e-08
1858,1.4974648765431198e-07,2.0553439838977283e-08
1859,1.6600485097661988e-07,1.2730433596175317e-08
1860,1.9269943640765064e-07,2.242820151820979e-08
1861,1.5374041817395323e-07,3.772770895693611e-08
1862,1.599367114302197e-07,2.6656119089807362e-08
1863,1.3335637571998404e-07,1.6482248454963155e-08
1864,1.591849749793539e-07,1.726102105692462e-08
1865,1.270847915790796e-07,1.97687466396701e-08
1866,1.644577221071586e-07,2.6274308950746672e-08
1867,1.2229085122328343e-07,2.5719900875742496e-08
1868,1.1460507665095321e-07,3.013323279787983e-08
1869,1.3429677858667333e-07,2.6371003158942585e-08
1870,1.2786928982322365e-07,2.2362790730312554e-08
1871,7.222400855155797e-08,1.274541272522356e-08
1872,7.801068024892999e-08,1.9956219787786722e-08
1873,1.0954388396378079e-07,3.052862140862089e-08
1874,1.1530995935871147e-07,4.899179373296647e-08
1875,1.1328623372719449e-07,2.4030413214859436e-08
1876,1.0580526010883773e-07,2.5997863417615008e-08
1877,1.3049962177547059e-07,1.6699003069220453e-08
1878,1.153465967185241e-07,2.294853729267743e-08
1879,1.3257235464969597e-07,3.237942536316041e-08
1880,9.755126573196549e-08,2.9522093214495726e-08
1881,1.199271318363948e-07,3.2770785196589713e-08
