year,tout_DET hôtel_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,6.1655889282974385e-09
1827,6.452091305675367e-09
1828,1.8344602503717056e-09
1829,1.714635211591542e-09
1830,0.0
1831,0.0
1832,1.3529969367098715e-09
1833,0.0
1834,9.334530925997342e-10
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,4.45878195476368e-09
1841,4.494383976094696e-09
1842,1.341653010911159e-09
1843,5.906910960362666e-09
1844,2.195424508855126e-09
1845,0.0
1846,5.854501328173001e-10
1847,1.0786447290911383e-09
1848,0.0
1849,0.0
1850,1.3577992064028876e-09
1851,6.449438760824933e-10
1852,6.510545436100301e-10
1853,2.9859659189668264e-09
1854,7.273930180407007e-09
1855,4.2455496895854594e-09
1856,1.0354378465748937e-09
1857,0.0
1858,2.4468380099840203e-09
1859,7.129042689513199e-09
1860,3.66174721100343e-09
1861,0.0
1862,4.517986262886353e-10
1863,0.0
1864,2.8768367688059016e-09
1865,9.41368871743009e-10
1866,5.838735495089509e-09
1867,0.0
1868,8.39778580008499e-09
1869,9.767038289254515e-10
1870,4.013834153937523e-09
1871,0.0
1872,7.861540751719076e-09
1873,1.1972008939764578e-09
1874,7.766991938495948e-09
1875,4.577221712764867e-09
1876,6.04601479992084e-09
1877,6.8032977029730546e-09
1878,3.0195443923020093e-09
1879,3.054662633950045e-09
1880,6.417846254436199e-10
1881,4.8807553554297556e-09
1882,2.6621540527571597e-09
1883,1.2638678215104449e-08
1884,5.281357573494461e-09
1885,9.023889857573408e-09
1886,3.872078324640427e-09
1887,2.6115698492645834e-09
1888,2.53624587998047e-09
1889,4.385595886446936e-09
1890,6.554386478008212e-10
1891,4.46195413950079e-09
1892,5.01480967862733e-09
1893,1.2316833108982905e-09
1894,7.561847148451761e-09
1895,1.2037228991346183e-09
1896,8.845543353341867e-09
1897,5.2440420894583895e-09
1898,3.3950129374460403e-09
1899,4.9748205555033564e-09
1900,7.267474289029963e-09
1901,5.588738860584641e-09
1902,4.419255517085219e-09
1903,4.860198243861191e-09
1904,5.912087708281888e-09
1905,1.5482277682110634e-09
1906,2.572092316910357e-09
1907,1.1314255032868203e-08
1908,4.4202501658929805e-09
1909,1.430255680556769e-08
1910,7.481810726517324e-09
1911,1.276889793899727e-08
1912,5.730363294986773e-09
1913,5.302989602995467e-09
1914,6.027069510139427e-09
1915,3.534228465440492e-09
1916,7.69122365795738e-09
1917,6.57985488317081e-09
1918,1.2635013924011673e-08
1919,5.524709023596586e-09
1920,6.815008557481406e-09
1921,4.543648568500203e-09
1922,7.377935595798135e-09
1923,7.431163684401554e-09
