year,tant_ADV orale_ADJ,tant_ADV morale_ADJ
1800,1.5720821977538435e-08,0.0
1801,2.3811825844433088e-09,0.0
1802,4.475680270843441e-09,1.5664880947952042e-08
1803,1.5602713787643552e-08,0.0
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,3.4163463169534225e-08
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,0.0,2.259030518203531e-09
1810,1.4040760554223652e-08,7.020380277111826e-09
1811,0.0,0.0
1812,1.3336041604361526e-08,8.00162425207418e-09
1813,1.1502966579257645e-08,2.5881675469463516e-08
1814,9.440030979135372e-09,0.0
1815,0.0,1.6183340889597275e-08
1816,2.5493642752394408e-08,0.0
1817,1.556873407970727e-09,4.670620334934483e-09
1818,5.960588467246453e-09,2.026600220972341e-08
1819,1.035105001712111e-09,4.140420006848444e-09
1820,0.0,1.1866481131050932e-09
1821,0.0,1.2819934447350079e-08
1822,8.02049271442229e-09,3.0076847679083585e-09
1823,0.0,9.882686891060644e-10
1824,0.0,0.0
1825,0.0,0.0
1826,3.5231937367541377e-09,5.284790383086602e-09
1827,0.0,1.8434546111834038e-09
1828,0.0,0.0
1829,6.001223074036943e-09,1.0287811491593857e-08
1830,1.0436835840010872e-09,7.305785310052215e-09
1831,0.0,6.236482441579483e-09
1832,0.0,9.470978667991403e-09
1833,0.0,6.950177322551099e-09
1834,1.8669061851994684e-09,1.9602515166639023e-08
1835,2.2689263801112247e-09,2.193295500774184e-08
1836,2.016224964762614e-09,3.36037508930076e-09
1837,1.3915781860163179e-09,4.174734336004349e-09
1838,0.0,1.2624323808552163e-08
1839,1.3982950353153e-09,2.7965899818127582e-08
1840,3.821813088222825e-09,2.356784811752277e-08
1841,0.0,1.0272877659645019e-08
1842,0.0,2.6162233268678392e-08
1843,5.906911071384968e-10,2.0674189471492355e-08
1844,7.683985892015244e-09,6.037417232818143e-09
1845,2.2320911785556063e-09,1.674068439427856e-09
1846,2.3418005312692003e-09,1.5221703009160592e-08
1847,1.0786447290911383e-09,1.1865092020002521e-08
1848,0.0,2.252662056889676e-08
1849,0.0,4.1897072478036534e-09
1850,2.0366988096043315e-09,1.4935791270431764e-08
1851,5.159551008659946e-09,1.0319102017319892e-08
1852,6.510545436100301e-10,1.4974254725075298e-08
1853,6.569124799682413e-09,5.01642283268211e-08
1854,1.0391328908454511e-09,1.2469595134234623e-08
1855,0.0,1.0083180512765466e-08
1856,3.6240324075009767e-09,8.28350277259915e-09
1857,4.881509085841174e-10,5.369659827891837e-09
1858,9.787352039936081e-10,1.2234189661342043e-08
1859,5.092173349652285e-09,7.129042689513199e-09
1860,0.0,7.323494255473406e-09
1861,2.8295783494058924e-09,7.073945429425521e-09
1862,0.0,8.584174260306554e-09
1863,4.994620828036034e-10,1.0988165932701577e-08
1864,9.589455896019672e-10,1.8699438442126848e-08
1865,4.706844358715045e-10,7.530950973944073e-09
1866,0.0,3.8924903300596725e-09
1867,1.455843445796745e-09,1.164674756637396e-08
1868,4.93987406535723e-10,8.89177353968762e-09
1869,1.4650557433881772e-09,5.860222973552709e-09
1870,0.0,2.2936195165357276e-09
1871,0.0,1.0621177271019633e-09
1872,0.0,5.442605477412599e-09
1873,0.0,1.616221290134945e-08
1874,0.0,4.182226565063729e-09
1875,0.0,5.721527251978387e-09
1876,0.0,8.464420275799966e-09
1877,0.0,8.658742167710898e-09
1878,0.0,5.435179861734696e-09
1879,0.0,2.2604503158163425e-08
1880,0.0,9.626769603698904e-09
1881,0.0,1.3945014920579979e-08
1882,0.0,1.7304001787010748e-08
1883,3.159669414998234e-09,3.159669414998234e-09
1884,0.0,5.281357573494461e-09
1885,3.2228177904158883e-09,2.5782542767416317e-09
1886,3.872078213618124e-09,1.0325542199041138e-08
1887,0.0,1.1099172247952538e-08
1888,0.0,1.4583413587843097e-08
1889,6.265136742733546e-10,1.3156786771162388e-08
1890,6.554386478008212e-10,1.3108772733971819e-08
1891,5.099376032546843e-09,6.3742202627281586e-09
1892,6.268512375839919e-10,9.402768341715273e-09
1893,0.0,4.310891643655168e-09
1894,6.301539290376468e-10,1.8904618315218613e-08
1895,1.2037228991346183e-09,1.5046536461227333e-08
1896,0.0,1.3563166589847242e-08
1897,1.1653427112179315e-09,7.574727511894253e-09
1898,0.0,1.640922953072277e-08
1899,0.0,7.185851913504848e-09
1900,0.0,1.764958135197503e-08
1901,1.1177477832191585e-09,8.38310842965484e-09
1902,4.910283735171106e-09,1.0802624572647801e-08
1903,1.0800440541913758e-09,8.100330184390714e-09
1904,0.0,1.5586412160928376e-08
1905,0.0,1.2385822145688508e-08
1906,0.0,7.716276506641861e-09
1907,0.0,1.3885677496716653e-08
1908,1.964555629285769e-09,1.1296195090437777e-08
1909,0.0,2.9705311987981986e-08
1910,2.137660271017694e-09,1.870452770447173e-08
1911,0.0,1.9153347352585115e-08
1912,1.5628263128064646e-09,3.1777467768279166e-08
1913,2.6514948014977335e-09,2.4393752795504042e-08
1914,4.68772043404897e-09,5.357394972094198e-09
1915,3.534228465440492e-09,1.6493066468115103e-08
1916,0.0,1.2086208478478966e-08
1917,0.0,2.3029491202919417e-08
1918,1.722956355365568e-08,1.6080926812378493e-08
1919,9.207848372660976e-10,3.222746869369075e-08
1920,0.0,1.590168707821249e-08
1921,1.5145494858259667e-09,1.2116395886607734e-08
1922,3.6889677978990676e-09,1.475587119159627e-08
1923,5.307974060286824e-09,1.4862327368803108e-08
