year,voulant_VERB être_VERB,voulant_VERB etre_VERB,voulant_VERB mettre_VERB
1800,3.11272285280495e-07,0.0,2.1694735607979965e-07
1801,3.024101928872369e-07,0.0,2.0001933620505952e-07
1802,2.394488944901241e-07,0.0,3.2672465977157117e-07
1803,2.4379239604854774e-07,0.0,1.8723256722807946e-07
1804,3.78193199424004e-07,0.0,2.051636229793985e-07
1805,2.3311596741848462e-07,0.0,3.01345039588341e-07
1806,3.7173532518863794e-07,2.881669125542885e-09,3.112202531241337e-07
1807,3.7579808420673544e-07,0.0,3.64410263742343e-07
1808,3.0138784978817057e-07,0.0,2.583324363314432e-07
1809,3.388545861682246e-07,0.0,3.29818469424481e-07
1810,4.7504572853185323e-07,0.0,3.416585023785501e-07
1811,2.8831382348215584e-07,0.0,3.635261265344525e-07
1812,3.013945288898867e-07,0.0,2.6405360031844793e-07
1813,2.7894694665242525e-07,0.0,3.7672216279815984e-07
1814,2.5802752823267383e-07,0.0,5.506685063494388e-07
1815,2.886029148996272e-07,0.0,5.367475033324354e-07
1816,2.7579487138496006e-07,0.0,4.078982733801695e-07
1817,4.343676707208033e-07,3.113746815941454e-09,3.285002936337378e-07
1818,3.457141524165763e-07,0.0,3.361772051846401e-07
1819,3.3433890500589314e-07,0.0,3.6539206860197737e-07
1820,3.5836773548680867e-07,0.0,5.375515996774993e-07
1821,2.958446572165485e-07,0.0,3.786811504369325e-07
1822,3.4287604933069815e-07,0.0,4.060374578784831e-07
1823,4.0716671101392876e-07,0.0,5.465125880732558e-07
1824,3.68844736087226e-07,0.0,4.067397441076537e-07
1825,3.6630644295598813e-07,0.0,4.112141915868506e-07
1826,4.70346355641027e-07,0.0,4.060480875978101e-07
1827,3.4472600418666843e-07,0.0,3.548650227003236e-07
1828,2.9809980128803204e-07,0.0,3.522163556368696e-07
1829,3.5664412045832705e-07,0.0,3.369258223528959e-07
1830,2.6196457447724697e-07,0.0,3.788571518725803e-07
1831,2.260724905056577e-07,0.0,3.663933370035011e-07
1832,2.3406847260432073e-07,0.0,2.92247335664797e-07
1833,2.733736277349408e-07,0.0,2.988576177642699e-07
1834,2.8283629482928063e-07,0.0,3.668470718309891e-07
1835,2.942041206210888e-07,7.563087933704082e-10,3.5319620650398065e-07
1836,3.441023981309854e-07,6.048674894287842e-09,4.348325326475333e-07
1837,2.5744197440502603e-07,0.0,3.917292730193367e-07
1838,2.6447958667574767e-07,0.0,4.0082228025539735e-07
1839,2.901462252680176e-07,1.3982950353153e-09,2.8874793756017425e-07
1840,3.146626248451412e-07,1.2739377330817092e-09,4.452412412092599e-07
1841,3.004816662155463e-07,0.0,3.903693546192244e-07
1842,3.5151308708236684e-07,6.708265054555795e-10,4.2060822735834336e-07
1843,3.1070352868312057e-07,5.906911071384968e-10,3.9340028479273315e-07
1844,2.6180437373568566e-07,5.488561272137815e-10,4.110932287915148e-07
1845,2.539003691737207e-07,5.580227946389016e-10,3.777814221450626e-07
1846,2.2305650126952514e-07,5.854501328173001e-10,3.7644444006446065e-07
1847,3.192788469164043e-07,5.393223645455691e-10,3.7051447066005494e-07
1848,3.177862666348119e-07,0.0,3.5640332640696215e-07
1849,2.538962693421354e-07,0.0,2.8825188636005805e-07
1850,2.7291764137515884e-07,2.0366988096043315e-09,3.3198191218275497e-07
1851,3.1860228322244666e-07,0.0,4.656494851928983e-07
1852,2.8841717636396424e-07,6.510545436100301e-10,2.7539607216908735e-07
1853,3.015825633667646e-07,0.0,3.5473274451192083e-07
1854,3.6525521629471314e-07,1.0391328908454511e-09,3.668139001433701e-07
