year,faudrait_VERB être_VERB,faudrait_VERB etre_VERB,faudrait_VERB mettre_VERB
1800,2.986956246786576e-07,0.0,1.603523855919775e-07
1801,2.524053570596152e-07,0.0,8.096020565062645e-08
1802,2.752543366568716e-07,2.2378401354217203e-09,1.0517848636482086e-07
1803,2.4379241381211614e-07,0.0,9.361627917314763e-08
1804,4.053835596096178e-07,0.0,1.0628959046243835e-07
1805,3.439882050315646e-07,0.0,9.097208675257207e-08
1806,3.429186392622796e-07,2.881669125542885e-09,1.0374009207225754e-07
1807,2.9893027431171504e-07,0.0,1.508886242618246e-07
1808,2.7646103717415826e-07,0.0,1.0197332755979005e-07
1809,3.162642769893864e-07,0.0,5.873479480555943e-08
1810,3.697400359214953e-07,0.0,1.2402671245581587e-07
1811,4.136676636790071e-07,0.0,1.0279014617253779e-07
1812,7.468183298442455e-07,0.0,9.335229123053068e-08
1813,6.844265385552717e-07,0.0,1.9267469042461016e-07
1814,5.538151981454575e-07,3.1466771410748606e-09,1.195737269199526e-07
1815,4.6392244712478714e-07,2.697223555614414e-09,7.821948599939788e-08
1816,4.310743122459826e-07,0.0,2.016315363562171e-07
1817,6.149650175757415e-07,0.0,1.3544799060127843e-07
1818,6.818913220740797e-07,1.1921177378582115e-09,1.287487094714379e-07
1819,4.3991963138978463e-07,0.0,9.108924103884419e-08
1820,6.075638339098077e-07,1.1866481131050932e-09,1.293446416639199e-07
1821,9.378275649396528e-07,1.97229765852569e-09,1.4595002539863344e-07
1822,8.401466402574442e-07,1.0025615893027862e-09,1.3233812978796777e-07
1823,4.980874450666306e-07,0.0,1.5416991061556473e-07
1824,4.690559762821067e-07,0.0,1.9115925908863574e-07
1825,5.406541845331958e-07,0.0,1.7963104426144128e-07
1826,5.06459116422775e-07,0.0,1.3300056878051691e-07
1827,5.180107223168307e-07,0.0,2.2766664642404066e-07
1828,6.585712526430143e-07,9.172301251858528e-10,1.5042573409118631e-07
1829,6.66135804294754e-07,0.0,1.7660742912539718e-07
1830,7.243164077408437e-07,0.0,2.0769303432643937e-07
1831,7.577326073260338e-07,0.0,1.9177183219198923e-07
1832,8.889189757610438e-07,1.3529969367098715e-09,1.9618455837644433e-07
1833,6.556333573826123e-07,0.0,1.5406226339109708e-07
