year,devant_VERB être_VERB,devant_VERB etre_VERB,devant_VERB mettre_VERB
1800,2.917784740930074e-06,0.0,5.65949598296811e-08
1801,2.8478943931986578e-06,2.3811825844433088e-09,0.0
1802,3.182208729413105e-06,2.2378401354217203e-09,3.1329761895904085e-08
1803,2.377463488301146e-06,5.851017448321727e-09,3.900678446910888e-09
1804,2.6992611310561188e-06,4.943701892301533e-09,1.2359254952798437e-08
1805,2.9878644909331342e-06,8.528632911009026e-09,0.0
1806,3.080504257013672e-06,5.76333825108577e-09,6.627838811112952e-08
1807,3.888940682372777e-06,8.540865792383556e-09,5.693910232196231e-09
1808,3.174769744873629e-06,2.2660739951163578e-09,0.0
1809,3.548937002051389e-06,1.129515236897305e-08,2.710836710662079e-08
1810,3.262136715420638e-06,2.106114038724627e-08,4.680253518074551e-09
1811,3.7881929983996088e-06,7.521229861140455e-09,5.0141535368197765e-09
1812,3.5660573303175624e-06,5.3344164641089264e-09,8.00162425207418e-09
1813,4.30210957347299e-06,2.8757416448144113e-09,2.8757416448144113e-09
1814,3.366944611116196e-06,0.0,1.5733386149463513e-08
1815,3.697893589560408e-06,8.091670444798638e-09,5.124724800076308e-08
1816,3.6873077533527976e-06,2.3176038865813098e-09,1.3905623319487859e-08
1817,2.9456045922415797e-06,1.556873407970727e-09,9.341240669868967e-09
1818,3.2163336527446518e-06,3.5763532135746345e-09,3.814776761146277e-08
1819,3.1239469535648823e-06,3.1053151161586356e-09,9.315945348475907e-09
1820,2.6960644845530624e-06,2.3732962262101864e-09,1.3053129244156025e-08
1821,2.749382929323474e-06,3.94459531705138e-09,3.94459531705138e-09
1822,2.998661784658907e-06,0.0,1.7043547018147365e-08
1823,2.700938239286188e-06,9.882686891060644e-10,3.9530747564242574e-09
1824,2.7427563509263564e-06,0.0,7.57900142644985e-09
1825,2.7103153570351424e-06,5.283265824829186e-09,2.3774695989686734e-08
1826,3.388431650819257e-06,6.1655889282974385e-09,1.145037931138404e-08
1827,3.550493602233473e-06,4.608636583469661e-09,1.8434546333878643e-08
1828,3.357062269060407e-06,2.7516904310687096e-09,3.485474309172787e-08
1829,3.5492948882165365e-06,6.001223074036943e-09,2.229025836131271e-08
1830,3.478597363937297e-06,6.262101504006523e-09,2.0873670791843324e-08
1831,3.9632845982850995e-06,1.091384405071949e-08,4.677361786775691e-08
1832,3.7613315271300962e-06,6.764984572527055e-09,2.3000948701223933e-08
1833,3.5978750929643866e-06,3.4750886612755494e-09,1.2741991461950875e-08
1834,3.9410388126270846e-06,5.600718555598405e-09,1.8669062740173104e-08
1835,3.4979282190761296e-06,3.781543966852041e-09,2.7227116561334697e-08
1836,3.2656123494234635e-06,6.72075017860152e-09,2.1506400216253496e-08
1837,3.052426791327889e-06,9.045257876039159e-09,1.948209416013924e-08
1838,3.0317314667627215e-06,4.418513555037862e-09,9.468242634369517e-09
1839,3.4146364669140894e-06,1.0487212875887053e-08,1.3283802502428443e-08
1840,3.305868403913337e-06,9.554533164646273e-09,3.184844388215424e-08
1841,3.8266471165115945e-06,8.988767952189392e-09,9.630822361827995e-09
