year,devraient_VERB être_VERB,devraient_VERB etre_VERB,devraient_VERB mettre_VERB
1800,1.6569746321692946e-06,0.0,6.288328968651058e-09
1801,1.7811245243137819e-06,0.0,1.6668277424969347e-08
1802,2.020769670707523e-06,2.2378401354217203e-09,0.0
1803,1.5544203506578924e-06,1.950339223455444e-09,0.0
1804,1.6907461031223647e-06,2.4718509461507665e-09,4.943701892301533e-09
1805,1.1741085472749546e-06,1.9900143755080535e-08,1.7057265822018053e-08
1806,1.39472786031547e-06,2.881669125542885e-09,1.152667650217154e-08
1807,1.6597748526692158e-06,2.8469551160981155e-09,8.540865792383556e-09
1808,1.3211210898589343e-06,0.0,2.039466551195801e-08
1809,1.565508114254044e-06,4.518061036407062e-09,2.0331274441787173e-08
1810,1.829979169087892e-06,4.680253518074551e-09,1.4040760554223652e-08
1811,1.8552368601376656e-06,0.0,1.504245972228091e-08
1812,2.309802312083775e-06,2.6672082320544632e-09,1.600324850414836e-08
1813,2.565161594247911e-06,0.0,1.7254450312975678e-08
1814,2.0012867025798187e-06,6.293354282149721e-09,4.090680150170556e-08
1815,2.2090259790275013e-06,2.697223555614414e-09,1.3486118000116676e-08
1816,1.7590613197171479e-06,2.3176038865813098e-09,1.1588019432906549e-08
1817,2.0005822989332955e-06,4.670620334934483e-09,1.2454987263765815e-08
1818,2.3425113795383368e-06,1.1921177378582115e-09,2.384235475716423e-09
1819,2.379706302235718e-06,4.140420006848444e-09,1.449147024601416e-08
1820,2.6438519853400066e-06,3.5599443393152796e-09,1.4239777357261119e-08
1821,2.6685186185204657e-06,1.97229765852569e-09,1.7750679148775816e-08
1822,2.7580470032262383e-06,2.0051231786055723e-09,2.105379337535851e-08
1823,2.25325266001164e-06,9.882686891060644e-10,9.882686669016039e-09
1824,2.1322257452993654e-06,3.3684450784221553e-09,2.6947560627377243e-08
1825,2.6337079361837823e-06,3.522177216552791e-09,9.68598712347557e-09
1826,2.8458598535507917e-06,8.807984341885344e-10,1.2331177856594877e-08
1827,3.1016124921734445e-06,4.608636583469661e-09,2.5808365222701468e-08
1828,2.735180260060588e-06,2.7516904310687096e-09,1.3758452155343548e-08
1829,3.396692363821785e-06,6.858540846366168e-09,1.1145129263923081e-08
1830,3.3940589219128015e-06,5.218417697960831e-09,3.339787468803479e-08
1831,3.988230673712678e-06,6.236482441579483e-09,1.091384405071949e-08
1832,3.444730282353703e-06,4.058990810129615e-09,2.1647950987357945e-08
1833,3.6430510590435006e-06,3.4750886612755494e-09,1.3900354645102198e-08
1834,3.391235168237472e-06,4.667265685043276e-09,1.5868701908061666e-08
1835,3.2430521059723105e-06,2.2689263801112247e-09,3.025235173481633e-08
1836,2.981996885864646e-06,2.688300027031687e-09,4.368487438455304e-08
1837,3.1512288387602894e-06,2.7831563720326358e-09,2.99189295560609e-08
1838,3.1529248190054204e-06,3.1560809521380406e-09,3.471689069556305e-08
1839,3.380378302608733e-06,7.690622361167243e-09,2.6567605004856887e-08
1840,3.5358141303731827e-06,3.821813088222825e-09,2.8026629905752998e-08
1841,3.509471753204707e-06,1.0272877659645019e-08,2.43980835534785e-08
