year,tout_DET être_NOUN,tout_DET mètre_NOUN,tout_DET etre_NOUN
1800,5.030663396965451e-08,0.0,0.0
1801,4.0480105045759274e-08,0.0,4.7623651688866175e-09
1802,3.3567602031325805e-08,2.2378401354217203e-09,0.0
1803,1.326230716358623e-07,0.0,9.751696339321825e-09
1804,5.6852571539423025e-08,0.0,7.4155528384522995e-09
1805,3.127165526528586e-08,0.0,2.842877711017877e-09
1806,1.1526676146900172e-07,1.729001475325731e-08,1.123850950079941e-07
1807,2.8469550716891945e-08,0.0,3.9857372513552036e-08
1808,3.6257184365950934e-08,6.798221985349073e-09,4.5321479902327155e-09
1809,6.099382532376296e-08,0.0,0.0
1810,3.510190271782676e-08,4.680253518074551e-09,4.680253518074551e-09
1811,7.521230305229665e-09,2.5070767684098882e-09,1.504245972228091e-08
1812,4.800974817698034e-08,0.0,1.0668832928217853e-08
1813,7.476928232108548e-08,1.4378708002027452e-08,5.751483289628823e-09
1814,4.720015578385528e-08,0.0,1.5733386149463513e-08
1815,7.282503799999063e-08,2.697223555614414e-09,0.0
1816,5.7940097164532745e-08,0.0,0.0
1817,4.514932838706187e-08,0.0,0.0
1818,1.1205907068934096e-07,0.0,1.1921177378582115e-09
1819,4.450951429646466e-08,9.315945348475907e-09,0.0
1820,5.933240654343308e-08,1.1866481131050932e-09,5.933240565525466e-09
1821,7.5933461296529e-08,1.577838126820552e-08,0.0
1822,7.619468078701175e-08,2.0051231786055723e-09,5.012807946513931e-09
1823,7.807322577324527e-08,0.0,0.0
1824,6.315834433223699e-08,8.421112696055388e-10,9.263223965660927e-09
1825,6.163810151171845e-08,8.805443041381977e-10,8.805443041381977e-10
1826,7.222546982710298e-08,0.0,8.807984341885344e-10
1827,4.6086364391406676e-08,0.0,0.0
1828,7.42956391963645e-08,0.0,9.172301251858528e-10
1829,8.573175946935407e-08,0.0,0.0
1830,6.36646975138433e-08,0.0,7.30578508800761e-09
1831,7.795603074178814e-08,4.677361609140007e-09,0.0
1832,1.623596324051846e-08,0.0,0.0
1833,1.1815300970940967e-07,0.0,1.1583628500844156e-09
1834,7.560969983444465e-08,0.0,1.8669061851994684e-09
1835,7.865611451052246e-08,0.0,0.0
1836,5.981467676718921e-08,2.688300027031687e-09,7.392825018825988e-09
1837,8.558205921715967e-08,2.7831563720326358e-09,0.0
1838,5.680945602826171e-08,2.5248647617104325e-09,0.0
1839,7.341049057529858e-08,6.29232765891885e-09,2.09744255297295e-09
1840,1.7198160157105846e-07,6.369688665408546e-10,8.917564464638872e-09
1841,1.4959878402720506e-07,5.778493683550323e-09,1.2841097074556274e-09
1842,2.3814340233130338e-07,0.0,6.708265054555795e-10
1843,1.9492806835330612e-07,0.0,0.0
1844,8.0681851477582e-08,1.0428266306039546e-08,5.488561272137815e-10
1845,1.4843406637155e-07,1.1160455892778032e-09,1.1160455892778032e-09
1846,1.3523898334533158e-07,1.1709002656346001e-09,2.9272506640865004e-09
1847,1.2889804335003419e-07,3.235934187273415e-09,0.0
1848,1.126331050094187e-07,0.0,4.02261068899179e-09
1849,1.3407063748083203e-07,3.3517659758786067e-09,1.256912263158938e-08
1850,1.2966982865236787e-07,6.1100964288129944e-09,0.0
1851,1.5414158305304682e-07,0.0,0.0
1852,9.765818287377215e-08,5.208436348880241e-09,6.510545436100301e-10
1853,1.4750671262220294e-07,3.5831591027601917e-09,0.0
1854,1.6210473302580297e-07,7.273930180407007e-09,0.0
1855,1.1197636951010281e-07,1.0613874223963649e-09,3.714855978387277e-09
1856,1.5686883259036222e-07,6.730345947225658e-09,1.5531567143511893e-09
1857,1.5669643760318763e-07,1.9526036343364694e-09,0.0
1858,2.2657719944696453e-07,9.787352039936081e-10,2.4468380654951716e-09
