year,excellent_ADJ être_NOUN,excellent_ADJ maître_NOUN
1800,0.0,1.1633408414368773e-07
1801,0.0,1.0715321474563666e-07
1802,0.0,9.175144555229053e-08
1803,0.0,9.946729795373699e-08
1804,0.0,9.887403429331698e-08
1805,0.0,1.6204402397690387e-07
1806,0.0,1.21030105049158e-07
1807,0.0,2.3629726797480544e-07
1808,0.0,1.5635910388667185e-07
1809,0.0,1.5587310997489112e-07
1810,0.0,1.5678849596412192e-07
1811,0.0,1.8803075363393873e-07
1812,0.0,1.5469807124190993e-07
1813,0.0,3.997280941803183e-07
1814,0.0,1.950939849670874e-07
1815,0.0,1.2676950600365444e-07
1816,0.0,1.5759706784024274e-07
1817,0.0,2.00836666408577e-07
1818,0.0,1.5855165469425003e-07
1819,0.0,1.7493274118152158e-07
1820,0.0,1.1510487052390772e-07
1821,0.0,2.2977267954971126e-07
1822,0.0,2.1154049534288788e-07
1823,0.0,1.7986490341570516e-07
1824,0.0,1.5663269348209496e-07
1825,0.0,1.1182912773577414e-07
1826,0.0,1.3916615670961363e-07
1827,0.0,1.5853708923430077e-07
1828,0.0,1.155709933309268e-07
1829,6.001223074036943e-09,1.9289645597497795e-07
1830,0.0,1.9829988406883103e-07
1831,0.0,1.6994414919757617e-07
1832,0.0,1.352996873427159e-07
1833,0.0,1.2973664498261428e-07
1834,0.0,1.5215285897873798e-07
1835,0.0,1.436986636349502e-07
1836,0.0,1.7809988328565396e-07
1837,0.0,1.1619677753316182e-07
1838,0.0,1.2876810107087522e-07
1839,0.0,1.761851740056386e-07
1840,0.0,1.2357195788847974e-07
1841,0.0,2.1059399202272289e-07
1842,0.0,1.6703579275301195e-07
1843,0.0,1.8075147473206599e-07
1844,0.0,1.6465684171684813e-07
1845,0.0,1.2053292097746748e-07
1846,5.854501328173001e-10,1.4167893702676793e-07
1847,0.0,1.04089214580938e-07
1848,0.0,1.303325984358672e-07
1849,0.0,1.2150151151857358e-07
1850,0.0,1.126973350196181e-07
1851,0.0,1.3414832755742623e-07
1852,0.0,2.0378007725696534e-07
1853,0.0,1.6303373895354412e-07
1854,0.0,1.8964175574343045e-07
1855,5.306937111981824e-10,2.2023788659453203e-07
1856,0.0,1.377132266000558e-07
1857,1.4644527812635033e-09,1.1959697193697494e-07
1858,0.0,1.4583154595015912e-07
1859,0.0,1.746615470032964e-07
1860,4.577183909670879e-10,1.9269944129263195e-07
1861,0.0,1.891101413797891e-07
