year,tout_ADV uni_VERB,tout_ADV muni_VERB
1800,4.7162465932615305e-08,1.8864987794131594e-08
1801,4.0480102825313224e-08,4.7623651688866175e-09
1802,4.2518962573012686e-08,0.0
1803,4.095712213825209e-08,0.0
1804,5.19088700912107e-08,0.0
1805,8.528632911009026e-09,0.0
1806,9.221341201737232e-08,0.0
1807,4.839823830593559e-08,0.0
1808,4.985362878073829e-08,0.0
1809,5.1957702140725814e-08,0.0
1810,5.616304221689461e-08,0.0
1811,1.1031137603367824e-07,0.0
1812,4.267533171287141e-08,0.0
1813,4.3136125782439194e-08,0.0
1814,6.293354459785405e-08,0.0
1815,3.236668177919455e-08,0.0
1816,5.0987285504788815e-08,0.0
1817,5.916118794857539e-08,0.0
1818,8.940882878505363e-08,0.0
1819,3.9333990287104825e-08,0.0
1820,2.3732962262101864e-08,0.0
1821,4.141825016290568e-08,0.0
1822,6.215881853677274e-08,0.0
1823,4.249555374258307e-08,0.0
1824,7.073734309415158e-08,2.5263338088166165e-09
1825,6.60408261410339e-08,0.0
1826,2.1139161532346407e-08,0.0
1827,3.410390903013649e-08,8.295545583791863e-09
1828,3.393751413227619e-08,9.172301251858528e-10
1829,1.3717081692732336e-08,0.0
1830,3.1310506187764986e-08,0.0
1831,4.053713453799901e-08,0.0
1832,3.6530916958099624e-08,0.0
1833,1.853380560135065e-08,1.1583628500844156e-09
1834,1.8669062740173104e-08,0.0
1835,8.168134968400409e-08,0.0
1836,4.5701099793404865e-08,6.720750067579218e-10
1837,2.7135774516295896e-08,0.0
1838,7.006499913586595e-08,0.0
1839,2.307186797168015e-08,0.0
1840,1.46502836528839e-08,1.2739377330817092e-09
1841,1.0914932957462042e-08,3.2102742686390684e-09
1842,1.341653010911159e-08,0.0
1843,5.0208743829216473e-08,0.0
1844,2.25031016043431e-08,0.0
1845,2.9575208060350633e-08,2.2320911785556063e-09
1846,4.976326195560432e-08,0.0
1847,2.1033571329098777e-08,4.853901280910122e-09
1848,8.84974404868899e-09,0.0
1849,3.016589289472904e-08,1.6758829879393033e-09
1850,1.765138968323754e-08,0.0
1851,3.031236062156495e-08,0.0
1852,3.385483537954315e-08,0.0
1853,3.0456853039595444e-08,0.0
1854,3.117398605922972e-08,0.0
1855,2.5473298137512757e-08,0.0
1856,2.4332790005132665e-08,5.177189232874468e-10
1857,2.9777204701986193e-08,0.0
1858,3.963877404089544e-08,1.468102750479261e-09
1859,4.1755821911237945e-08,0.0
1860,1.4646988510946812e-08,3.204028820036342e-09
1861,2.6409397335669382e-08,0.0
1862,1.8071945717679228e-08,4.517986262886353e-10
1863,2.2975255475898848e-08,0.0
1864,1.8699438442126848e-08,9.589455896019672e-10
1865,2.118079933666195e-08,4.706844358715045e-10
1866,2.2868380966656332e-08,0.0
1867,2.4749338578544666e-08,0.0
1868,3.013323279787983e-08,0.0
1869,3.857980246380066e-08,0.0
1870,2.8096838633473453e-08,0.0
1871,5.3105885911008954e-08,0.0
1872,3.507456725060365e-08,0.0
1873,4.19020302899753e-08,0.0
1874,4.122480135038131e-08,0.0
1875,4.062284375550007e-08,7.437985338754061e-09
1876,2.2370254981751714e-08,3.02300739996042e-09
1877,2.968711676487601e-08,2.4739263970730008e-09
1878,1.509772218355465e-08,0.0
1879,1.2829582729523281e-08,2.443730107160036e-09
1880,2.3746030919369332e-08,0.0
1881,3.137628468152798e-08,5.5780060570498335e-09
1882,2.728707926280549e-08,0.0
1883,4.549924170760278e-08,0.0
1884,4.621188054443337e-08,0.0
1885,3.7384687345820566e-08,0.0
1886,1.8069698626277386e-08,0.0
1887,3.003305337756501e-08,0.0
1888,4.6920547447371064e-08,5.706553452000662e-09
1889,2.1301465480405568e-08,6.265136742733546e-10
1890,1.8352281472289178e-08,6.554386478008212e-10
1891,2.995883363610119e-08,6.374220040683554e-10
1892,1.3163876211308434e-08,1.8805537127519756e-09
1893,4.0645549148621285e-08,6.158416554491453e-10
1894,2.6466464575491955e-08,0.0
1895,1.2037228991346183e-08,0.0
1896,3.3613066108273415e-08,0.0
1897,1.806281169081103e-08,0.0
1898,1.9804241802034994e-08,0.0
1899,2.4874102777516782e-08,0.0
1900,2.906989848838748e-08,1.038210628578895e-09
1901,3.353243371861936e-08,0.0
1902,1.8659077838378835e-08,2.455141867585553e-09
1903,1.5120615870500842e-08,3.2401321625741275e-09
1904,1.1286712897629059e-08,1.0749250378694342e-09
1905,3.818961857859904e-08,4.1286072338664326e-09
1906,2.9321851613417493e-08,0.0
1907,1.542852956504248e-08,1.028568674676933e-09
1908,3.388858615949175e-08,0.0
1909,1.320236009405562e-08,0.0
1910,4.11499598840237e-08,2.137660271017694e-09
1911,1.5961122201701983e-08,0.0
1912,1.614920641657136e-08,1.0418842455450772e-09
1913,2.1211958411981868e-08,0.0
1914,1.2054139020278853e-08,0.0
1915,2.0027295377644805e-08,0.0
1916,1.3184954461564757e-08,9.888715624128963e-09
1917,9.869782324756216e-09,0.0
1918,4.020231614276781e-08,0.0
1919,2.301962176431971e-08,0.0
1920,3.9375606775138294e-08,0.0
1921,3.0290991048786964e-08,0.0
1922,2.951174238319254e-08,0.0
1923,2.7601466001669905e-08,0.0
1924,4.769901096324247e-08,0.0
1925,3.409435223034052e-08,1.0998177923937646e-09
1926,1.89484357093761e-08,0.0
1927,1.8953683067479687e-08,0.0
1928,2.8565102283550914e-08,0.0
1929,2.33948540540041e-08,1.1140406375176326e-09
1930,1.575540586884472e-08,0.0
1931,3.42160717536899e-08,0.0
1932,1.4247397928102146e-08,0.0
1933,8.02946331646126e-09,0.0
1934,4.7926320689839486e-09,2.3963160344919743e-09
1935,1.6755597798123745e-08,0.0
1936,2.9099314957647948e-08,0.0
1937,1.6368453259474336e-08,0.0
1938,5.186085783037697e-09,0.0
1939,1.6823456405745674e-08,0.0
1940,7.607348528892999e-09,0.0
1941,1.1806010391524069e-08,0.0
1942,9.102635090130207e-09,0.0
1943,1.7419411690866582e-08,0.0
1944,9.639558484764166e-09,0.0
1945,1.089252066321933e-08,0.0
1946,3.3410650246423756e-08,0.0
1947,1.549713246618012e-08,0.0
1948,2.717971980814582e-08,0.0
1949,1.570721330779179e-08,0.0
1950,1.4889506516624351e-08,0.0
