year,puissent_VERB hériter_VERB,puissent_VERB mériter_VERB
1800,0.0,2.5153315874604232e-08
1801,2.3811825844433088e-09,2.3811825400343878e-08
1802,0.0,1.7902721083373763e-08
1803,5.851017448321727e-09,2.145373123596528e-08
1804,7.4155526164076946e-09,3.213406074564773e-08
1805,0.0,4.264316544322355e-08
1806,2.881669125542885e-09,2.305335300434308e-08
1807,0.0,8.540865792383556e-09
1808,1.5862518409903714e-08,5.211970233176544e-08
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,9.360507036149102e-09,2.574139479349924e-08
1811,4.763445815569867e-08,1.504245972228091e-08
1812,0.0,8.00162425207418e-09
1813,2.8757416448144113e-09,3.738464116054274e-08
1814,3.1466771410748606e-09,1.258670891957081e-07
1815,8.091670444798638e-09,1.6183340889597275e-08
1816,2.3176038865813098e-09,3.244645441213834e-08
1817,1.0898113522728181e-08,4.981994905506326e-08
1818,2.384235475716423e-09,2.384235386898581e-08
1819,2.070209959015301e-08,1.0144029261027754e-07
1820,2.1359666035891678e-08,3.20394981656591e-08
1821,1.0847637454958203e-08,2.1695274909916407e-08
1822,1.303330066093622e-08,2.5064039732569654e-08
1823,7.906149512848515e-09,1.3835761869529506e-08
1824,3.3684450784221553e-09,4.29476756380609e-08
1825,7.924898959288385e-09,5.371320099811783e-08
1826,9.688783109140786e-09,3.2589543508265706e-08
1827,1.1982455028203276e-08,3.6869092667757286e-08
1828,1.0089530988466322e-08,2.7516904310687096e-08
1829,2.5719527840806222e-08,5.058173968564006e-08
1830,7.305785310052215e-09,3.026682549034376e-08
1831,1.091384405071949e-08,1.870944643656003e-08
1832,2.705993873419743e-09,3.3824925083081325e-08
1833,4.6334514003376626e-09,2.3167256557599103e-08
1834,0.0,1.8669062740173104e-08
1835,7.563087933704082e-10,3.1764969321557146e-08
1836,1.0753200108126748e-08,2.083432448785061e-08
1837,8.349468672008697e-09,3.2006298056330706e-08
1838,6.312161904276081e-09,2.2723781967215473e-08
1839,0.0,3.146163862766116e-08
1840,1.0191501864653674e-08,1.7198159341091923e-08
1841,6.420548537278137e-09,2.43980835534785e-08
1842,5.366612043644636e-09,1.542900918138912e-08
1843,2.953455480181333e-09,2.3036953678001737e-08
1844,2.7442805805577564e-09,1.5367971784030487e-08
1845,5.022205318283568e-09,2.6785095030845696e-08
