year,doit_VERB hériter_VERB,doit_VERB mériter_VERB
1800,6.60274537267469e-08,6.917161954334006e-08
1801,4.286128785224719e-08,9.28661236798689e-08
1802,1.0070280609397742e-07,1.4993528907325526e-07
1803,3.510610468993036e-08,1.2092102963379148e-07
1804,5.6852570651244605e-08,7.662737999680758e-08
1805,5.685755422035754e-09,1.9615856672317022e-07
1806,5.76333825108577e-09,3.1698359492793315e-08
1807,3.131650672116848e-08,1.9074599322266295e-07
1808,7.251436784372345e-08,8.837688625362716e-08
1809,3.840352036377226e-08,7.00299480627109e-08
1810,1.1466621430145096e-07,6.31834211617388e-08
1811,2.757784400841956e-08,2.2563691359778204e-08
1812,6.934741492159446e-08,1.2802598803318688e-07
1813,6.039057609541487e-08,5.463909147351842e-08
1814,6.608021863030444e-08,9.754699448194515e-08
1815,4.315557688983063e-08,4.045835311217161e-08
1816,4.1716869958463576e-08,7.184571870766376e-08
1817,6.227493543065066e-08,1.3389110620209976e-07
1818,3.695565098382758e-08,8.940882878505363e-08
1819,6.417651121637391e-08,7.452756278780726e-08
1820,9.967844505354151e-08,1.6019750148643652e-07
1821,4.339054981983281e-08,6.311352507282209e-08
1822,6.316138012607553e-08,6.51665033046811e-08
1823,6.127265805844218e-08,7.807322788266902e-08
1824,7.242157096243318e-08,8.000056794799093e-08
1825,3.78634048558979e-08,7.04435478837695e-08
1826,5.0205510859768765e-08,9.160303449107232e-08
1827,5.1616730445402936e-08,6.820781806027298e-08
1828,3.485474309172787e-08,4.953042775923677e-08
1829,5.915491385621863e-08,5.658296231558779e-08
1830,5.5315229730013016e-08,9.393152566872232e-08
1831,5.456922025359745e-08,6.392394169552063e-08
1832,5.0060886991332154e-08,3.3824925083081325e-08
1833,4.9809603552830595e-08,6.834341093053808e-08
1834,2.6136685704614138e-08,5.3206825612051034e-08
1835,4.235329242874286e-08,4.764745398233572e-08
1836,2.2178475944656384e-08,4.2340726480460944e-08
1837,2.5744196108234974e-08,5.5663129217009555e-08
1838,2.840472923537618e-08,7.511472688292997e-08
1839,2.586845759822154e-08,6.292327725532232e-08
1840,6.17859825524647e-08,7.070354257621148e-08
1841,2.760835826620678e-08,6.805781538332667e-08
1842,3.085801836277824e-08,6.372852112690452e-08
1843,5.0208743829216473e-08,4.252975926988256e-08
1844,3.2382512671347286e-08,4.610391357573462e-08
1845,3.4039391749729475e-08,3.2923345827384765e-08
1846,3.33706573485415e-08,3.219975752699611e-08
1847,3.5055954583640414e-08,5.662884916546318e-08
1848,5.068489628001771e-08,7.160247150750365e-08
1849,3.351765798242923e-08,5.027649052635752e-08
1850,2.851378333446064e-08,4.3449574604892405e-08
1851,2.8377531435808123e-08,2.1283147688677673e-08
1852,3.2552726736412296e-08,5.2735419586724674e-08
1853,1.3138249599364826e-08,3.822036376277538e-08
1854,2.8576154775805662e-08,3.844791862661623e-08
1855,2.4411910715116392e-08,2.7065379271107304e-08
1856,2.4332790005132665e-08,2.2779632402603056e-08
1857,5.27202992373077e-08,3.514686497396724e-08
1858,4.600055447667728e-08,3.572383633354548e-08
1859,3.666364989385329e-08,3.258990943777462e-08
1860,4.439868561689764e-08,4.668727626722102e-08
1861,2.5466203368296192e-08,5.4705179053371467e-08
1862,2.3493528900075944e-08,3.027050965442868e-08
1863,2.4973104473247076e-08,2.8469338886338846e-08
1864,3.404256787575832e-08,3.7398876884253696e-08
1865,2.0710114512212385e-08,3.106517354467542e-08
1866,3.2113046444237625e-08,4.330395597662573e-08
1867,2.7661025470138156e-08,4.901339423213358e-08
1868,4.3964877960434023e-08,6.174842326345242e-08
1869,2.4417595057002472e-08,5.860222884734867e-08
1870,2.1789386295267832e-08,2.2936195165357276e-08
1871,1.1683295220166201e-08,3.3987767267262825e-08
1872,3.3260366905096816e-08,2.9027228620748247e-08
1873,4.0106229448610975e-08,1.855661402316855e-08
1874,2.2106053876314036e-08,4.480956761199195e-08
1875,2.0597497041308088e-08,2.1169650921137873e-08
1876,2.7811667635546655e-08,3.264847947548333e-08
1877,4.2056747417973384e-08,5.257093604882357e-08
1878,3.2611080058586595e-08,3.744235144154118e-08
1879,3.604501941367744e-08,4.3376211067425174e-08
1880,2.3104245627791897e-08,2.0537108014195837e-08
1881,2.022027167924989e-08,2.998178416646624e-08
1882,3.8601232432711186e-08,3.3276926103553706e-08
1883,1.3902545781263598e-08,2.0853818227806187e-08
1884,3.762967182296961e-08,2.970763546272792e-08
1885,1.933690718658454e-08,2.900535989169839e-08
1886,1.4842966855610484e-08,3.033127882190456e-08
1887,3.395040693021656e-08,3.656197833379338e-08
1888,4.375024076352929e-08,3.106901047544852e-08
1889,2.4434033463194282e-08,2.944614330147033e-08
1890,2.4251230357208442e-08,3.736000309118026e-08
1891,2.358461337337303e-08,4.206985337873448e-08
1892,1.7551833764173352e-08,2.2566645441202127e-08
1893,2.6481190573690583e-08,2.2170299374124625e-08
1894,1.764431090123253e-08,1.3233232287745977e-08
1895,2.1065151400989635e-08,3.791727110069587e-08
1896,2.0049897742069334e-08,3.2433661090180976e-08
1897,3.204692333724779e-08,2.505486840220783e-08
1898,1.9804241802034994e-08,2.319925584970406e-08
1899,1.4371703827009696e-08,2.2110313580014918e-08
1900,1.038210584169974e-08,3.114631752509922e-08
1901,1.397184767881754e-08,2.6267072072982955e-08
1902,1.6694965410124496e-08,2.258730624760119e-08
1903,1.2420506401156217e-08,1.6200660368781428e-08
1904,2.0961039126632386e-08,1.7736262236667244e-08
1905,2.6835946798087207e-08,2.9416327151920996e-08
1906,1.9547901075611662e-08,2.623534101076075e-08
1907,1.131425531042396e-08,1.7999951751335175e-08
1908,1.0313916831705683e-08,3.732655784460803e-08
1909,1.870334465081669e-08,3.4656196135074424e-08
1910,2.2445432179551972e-08,3.046165986120286e-08
1911,2.0217422402879492e-08,3.1390207766435196e-08
1912,1.4586379215586476e-08,3.125652625612929e-08
1913,2.5454351515463713e-08,2.0151361468379037e-08
1914,1.6072185360371805e-08,2.8795998474606677e-08
1915,7.068456930880984e-09,2.1205371680821372e-08
1916,8.789969641043172e-09,2.4172416956957932e-08
1917,6.57985488317081e-09,2.4126133979507358e-08
1918,1.2635013924011673e-08,2.8715941624568586e-08
1919,1.1970202606903513e-08,1.5653341733923298e-08
1920,6.057785384427916e-09,1.9687803387569147e-08
1921,1.2116395886607734e-08,2.3475516641724425e-08
1922,7.377935595798135e-09,2.2133805899215986e-08
1923,1.4862327368803108e-08,4.458698299458774e-08
1924,1.933743654092268e-08,4.1253198190815965e-08
1925,9.898360353588487e-09,1.4297631523163545e-08
1926,5.57306911730393e-09,3.343841470382358e-08
1927,6.689535148041159e-09,2.6758140592164636e-08
1928,7.998228745975666e-09,2.2852082892654835e-08
1929,7.798284684668033e-09,3.342121956961819e-08
1930,1.1553964007759987e-08,1.995684684175103e-08
1931,1.1405356659111021e-08,2.167017854048936e-08
1932,4.383814644626227e-09,2.520693342944469e-08
1933,1.8353059516584835e-08,2.982372038218273e-08
1934,1.7972370258689807e-08,1.7972370258689807e-08
1935,1.795242710045386e-08,3.231436807027421e-08
1936,1.4549657478823974e-08,3.6374142808881516e-08
1937,1.510934133364117e-08,1.888667711114067e-08
1938,1.9447821131279852e-08,4.019216603978748e-08
1939,1.3764645423464117e-08,4.282334131744392e-08
1940,1.0143131667916805e-08,3.0429394115571995e-08
1941,8.854508237732261e-09,2.066051862925633e-08
1942,1.8205270180260413e-08,3.944475324146879e-08
1943,1.1612940831184915e-08,2.9032351633873077e-08
1944,1.927911696952833e-08,2.2492303131116387e-08
1945,3.267756198965799e-08,1.5249527862692958e-08
1946,1.3921104269343232e-08,2.645009899993056e-08
1947,1.907339353124371e-08,1.6689218895749036e-08
1948,8.697510267552389e-09,2.2830963786191205e-08
1949,1.8652315247891238e-08,3.337782672474532e-08
1950,1.1698897850465073e-08,3.616023036556726e-08
1951,2.1322803078760444e-08,1.4925962688039363e-08
1952,8.435843135146115e-09,1.7926167217297007e-08
1953,1.8315507332999914e-08,2.5857186614075545e-08
1954,1.172704333640695e-08,3.0294863506696856e-08
1955,1.220129064449793e-08,2.440258128899586e-08
1956,1.4825940475304833e-08,3.401245152190313e-08
1957,1.501956425897788e-08,3.975766915687018e-08
1958,1.6544486669545222e-08,3.6397871383542224e-08
1959,6.975672928177801e-09,1.5501495198577686e-08
1960,1.6610000486139143e-08,2.145458388724819e-08
1961,1.667558180429296e-08,2.501337270643944e-08
1962,1.0781326054143392e-08,3.107558654846798e-08
1963,5.819448034571906e-09,2.198458126656533e-08
1964,1.6426714211092985e-08,2.5552667537454e-08
1965,1.1491291473930687e-08,4.1040326692609597e-08
1966,1.495550172592175e-08,3.323444985880997e-08
1967,1.9228309611207806e-08,3.007504645324843e-08
1968,1.976222918642634e-08,2.4253646202510026e-08
1969,1.7712855182594467e-08,3.179230390060184e-08
1970,1.1956685419534097e-08,3.632992928714884e-08
1971,2.003974941544584e-08,3.0316545718278576e-08
1972,2.205963234302999e-08,2.3598675014113724e-08
1973,1.543697081274331e-08,3.804110448868414e-08
1974,1.3501372464475025e-08,3.09406438248061e-08
1975,1.1994108817248161e-08,2.1132477101559743e-08
1976,1.542652228181396e-08,2.5710871653927825e-08
1977,1.4104276857551667e-08,2.9971587878208084e-08
1978,2.257424647211792e-08,2.673266052966028e-08
1979,2.1067103617156135e-08,3.5111838769807946e-08
1980,1.4781392110307934e-08,2.785723829390463e-08
1981,2.0241758491579276e-08,2.5302197670384885e-08
1982,7.449002747961231e-09,2.9796010991844923e-08
1983,1.3893695083311286e-08,2.652432762317858e-08
1984,1.739702604197646e-08,3.073474630355122e-08
1985,1.5038894574104233e-08,3.0679345286444004e-08
1986,1.7384007122700496e-08,2.0980699844130868e-08
1987,2.627651163322753e-08,3.177624918748734e-08
1988,8.395175221664886e-09,3.418035632307692e-08
1989,1.8659616074501173e-08,3.7319232149002346e-08
1990,1.2531897297662908e-08,2.397406362319998e-08
1991,1.0550637696837839e-08,3.458264430378222e-08
1992,1.7631821336294706e-08,1.7080827419135858e-08
1993,1.717154241021035e-08,1.772546376344053e-08
1994,1.318731612798274e-08,2.8484603120659813e-08
1995,1.843633334885908e-08,2.277429267394382e-08
1996,1.5480466686312866e-08,1.868332333287981e-08
1997,1.3905194329311144e-08,2.5892429533769246e-08
1998,2.527108478034279e-08,2.3363833534517653e-08
1999,2.4679085441903226e-08,2.7421206638678086e-08
2000,1.6346715980830595e-08,4.0204085394179856e-08
2001,1.445799924226776e-08,3.1982846593336944e-08
2002,3.066855214228781e-08,2.9792305511477934e-08
2003,1.7917768602160322e-08,2.5001536840818517e-08
2004,2.422635247967264e-08,1.761916479381398e-08
2005,1.5763124139311913e-08,2.9274373147814003e-08
2006,2.7589862838794943e-08,1.8530505130343045e-08
2007,2.3966876483427768e-08,2.836080348345149e-08
2008,2.5118893631770334e-08,1.4901038625225738e-08
2009,2.9085974517784052e-08,2.7655516987579176e-08
2010,1.7005655550406118e-08,3.070465481869178e-08
2011,2.332622983658439e-08,1.873746313663105e-08
2012,2.519147024315771e-08,2.382976838077866e-08
2013,2.2034088331679413e-08,2.370756213565528e-08
2014,2.6418431886554572e-08,2.6418431886554572e-08
2015,2.881547978006438e-08,2.2609068395240683e-08
2016,3.1898636621008336e-08,2.5063213726639333e-08
2017,2.0628013075452145e-08,1.9370206771895937e-08
2018,2.4265787601507327e-08,2.5298373174109656e-08
2019,1.785691416955615e-08,1.6836519733942623e-08
