year,tout_DET auteur_NOUN,tout_DET moteur_NOUN
1800,3.238489370005482e-07,0.0
1801,2.2621234530006973e-07,0.0
1802,3.647679420737404e-07,3.1329761895904085e-08
1803,2.1648764914061758e-07,0.0
1804,2.1752288681398113e-07,2.4718509461507665e-09
1805,2.5585899932067946e-07,0.0
1806,1.7578181399358073e-07,0.0
1807,1.7366426385834188e-07,0.0
1808,2.787271000670444e-07,0.0
1809,2.1912595915551947e-07,0.0
1810,3.229374936353224e-07,0.0
1811,2.0056614413732632e-07,2.5070767684098882e-09
1812,3.654075158010528e-07,0.0
1813,2.3868655674164074e-07,0.0
1814,2.4229413497778296e-07,0.0
1815,1.9420010222148676e-07,2.697223555614414e-09
1816,1.900435186996674e-07,0.0
1817,2.0395041677723214e-07,0.0
1818,2.849161511164766e-07,1.1921177378582115e-09
1819,2.48425202742375e-07,0.0
1820,2.1478331291291397e-07,0.0
1821,2.2681423750281482e-07,1.0847637454958203e-08
1822,2.606660132187244e-07,1.0025615893027862e-09
1823,1.7986490452592818e-07,7.906149512848515e-09
1824,2.2652793063571153e-07,0.0
1825,2.2013608003135232e-07,1.1447076175841175e-08
1826,2.1667641902922696e-07,0.0
1827,1.7236300919876157e-07,9.217273055917019e-10
1828,9.630916153469116e-08,0.0
1829,2.1090012580771145e-07,0.0
1830,1.9934355677264648e-07,0.0
1831,8.731075240575592e-08,3.1182412207897414e-09
1832,1.664186193295336e-07,1.3529969367098715e-09
1833,1.7143769603933379e-07,2.7800709290204395e-08
1834,1.2974997831705082e-07,1.8669062740173104e-08
1835,9.605121675804185e-08,6.050470346963266e-09
1836,1.1694104884441003e-07,1.1425274948351216e-08
1837,1.8160095294206258e-07,7.653680356156656e-09
1838,2.0135796408027318e-07,9.468243300503332e-09
1839,1.622022232083964e-07,2.0974426639952526e-09
1840,1.1911318154034234e-07,1.8472096741106725e-08
1841,1.052969942350046e-07,6.420548537278137e-09
1842,1.2477372912655937e-07,6.708265054555795e-09
1843,1.4176586660141766e-07,9.451057714215949e-09
1844,1.448980206930628e-07,1.2074834576658589e-08
1845,1.2722919606744654e-07,1.5066615066672284e-08
1846,1.229445274475438e-07,2.4588905800371208e-08
1847,1.3051601399638457e-07,1.4561703842730367e-08
1848,9.573814097052491e-08,5.631655086713039e-09
1849,1.3071887750015776e-07,1.1731181359664333e-08
1850,1.2491752343635198e-07,9.504594444820214e-09
1851,8.964719633297591e-08,1.5478653248024443e-08
1852,1.5950836740330487e-07,1.0416872697760482e-08
1853,1.5945058251531918e-07,7.1663179834757784e-09
1854,1.849656499075536e-07,3.636965106856849e-08
1855,1.3373481877465565e-07,2.1227748447927297e-08
1856,1.3771322926459106e-07,3.158085482013462e-08
1857,1.7768692828212806e-07,3.905207268672939e-09
1858,1.3261862008562275e-07,3.572383633354548e-08
1859,2.3678606453358952e-07,4.582956014687056e-09
1860,1.2953430683637635e-07,6.408057418028079e-09
1861,1.4383689617147866e-07,1.744906619194353e-08
1862,1.3553959021805895e-07,9.713670667821361e-08
1863,1.5083755044997815e-07,1.7481173175681874e-08
1864,1.8124071488045956e-07,1.3904711160250827e-08
1865,1.1249358422560363e-07,1.6003271596787272e-08
1866,1.1872095839748908e-07,5.838735495089509e-09
1867,1.4267265591172418e-07,1.844068364675877e-08
1868,1.8277534508115423e-07,3.754304245262574e-08
1869,1.3429677525600425e-07,9.767038178232212e-09
1870,1.4564484018819712e-07,1.1468097138589428e-08
1871,1.0302542108320267e-07,1.274541228113435e-08
1872,1.6448763062726357e-07,1.6327815544059376e-08
1873,1.1433268376492833e-07,2.035241503106633e-08
1874,1.6788651802102095e-07,2.0313671078575624e-08
1875,1.5905845174302158e-07,2.1741802580521608e-08
1876,1.5598718050569005e-07,2.2370254093573294e-08
1877,1.4781709722910819e-07,3.3398007470708535e-08
1878,1.7513357519760575e-07,1.9928993455486932e-08
1879,2.0649519427706764e-07,2.504823370941267e-08
1880,1.6301329819334853e-07,2.1820677709172287e-08
1881,1.4293640937523833e-07,3.137628468152798e-08
1882,1.8368862697570876e-07,3.1945848633085916e-08
1883,1.1564390156593163e-07,1.7062215640351042e-08
1884,1.4721783969662283e-07,2.44262796655903e-08
1885,1.6307458139408482e-07,6.445635580831777e-09
1886,1.70371447838491e-07,2.3232470169887165e-08
1887,1.5473550973865713e-07,1.7628095927424425e-08
1888,2.0670403699796225e-07,3.3605258797919646e-08
1889,1.7041172029053087e-07,1.9421924069007446e-08
1890,2.1432843766433507e-07,2.949473998370422e-08
1891,1.4724448504921384e-07,3.314594465564369e-08
1892,1.5232485139904384e-07,3.3223114925817754e-08
1893,1.1947327926975504e-07,1.662772503019383e-08
1894,1.6636064259500927e-07,3.465846676320439e-08
1895,1.5166908795549716e-07,6.740848501607388e-08
