year,voulut_VERB hériter_VERB,voulut_VERB mériter_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,2.1430643926123594e-08
1802,0.0,2.2378401354217203e-09
1803,0.0,7.801356893821776e-09
1804,0.0,4.943701892301533e-09
1805,8.528632911009026e-09,2.55858996212055e-08
1806,0.0,1.729001475325731e-08
1807,0.0,5.693910232196231e-09
1808,0.0,2.2660739062985158e-08
1809,0.0,1.8072244145628247e-08
1810,0.0,1.1700633351097167e-08
1811,0.0,1.0028307073639553e-08
1812,0.0,3.200649700829672e-08
1813,0.0,3.163315653864629e-08
1814,0.0,9.754699448194515e-08
1815,0.0,5.3944472000466703e-08
1816,0.0,1.3905623319487859e-08
1817,9.341240669868967e-09,1.2454987263765815e-08
1818,1.1921177378582115e-09,6.437435473571895e-08
1819,1.449147024601416e-08,1.3456364911235141e-08
1820,3.5599443393152796e-09,2.3732962262101864e-09
1821,4.930744257336528e-09,1.7750679148775816e-08
1822,0.0,2.4061478143266868e-08
1823,4.941343334508019e-09,2.4706716672540097e-08
1824,2.5263338088166165e-09,1.8526447931321854e-08
1825,2.641632912414593e-09,3.169959583715354e-08
1826,0.0,1.3211976401805714e-08
1827,5.530363722527909e-09,1.013900075008678e-08
1828,4.586150570418113e-09,4.586150570418113e-09
1829,1.2002446148073886e-08,2.743416338546467e-08
1830,7.305785310052215e-09,1.461157062010443e-08
1831,0.0,1.870944643656003e-08
1832,1.3529969367098715e-09,1.7588959622116818e-08
1833,1.3900354645102198e-08,8.108539617524002e-09
1834,2.8003592777992026e-09,8.401078055442213e-09
1835,6.050470346963266e-09,9.832014313815307e-09
1836,4.032449929525228e-09,1.4785650037651976e-08
1837,2.7831563720326358e-09,1.6698937344017395e-08
1838,8.2058102535143e-09,1.2624323808552163e-08
1839,4.894032734625853e-09,1.1885507689157748e-08
1840,6.369688665408546e-10,6.3696887764308485e-09
1841,0.0,8.988767952189392e-09
1842,1.0062397137744483e-08,1.341653010911159e-09
1843,1.1813822142769936e-09,7.678984559333912e-09
1844,1.097712254427563e-09,2.360081374774836e-08
1845,1.674068439427856e-09,5.022205318283568e-09
1846,4.0981511517657054e-09,1.1123552745573306e-08
1847,0.0,8.089835468183537e-09
1848,0.0,1.528592186161859e-08
1849,6.703531951757213e-09,9.217356655710773e-09
1850,5.431196825611551e-09,5.431196825611551e-09
1851,1.9348316282474798e-09,2.579775504329973e-09
1852,7.812654523320361e-09,8.463708844885787e-09
1853,2.9859659189668264e-09,7.166318205520383e-09
1854,3.63696517347023e-09,2.0782657816909023e-09
1855,5.306937111981824e-10,6.368324534378189e-09
1856,3.6240324075009767e-09,4.659470143053568e-09
1857,2.9289055625270066e-09,1.0739319655783675e-08
1858,0.0,9.787352261980686e-09
1859,2.5460866748261424e-09,5.601390462572908e-09
1860,4.577183909670879e-10,9.154367819341758e-10
1861,0.0,6.6023493339173456e-09
1862,0.0,5.873382225018986e-09
1863,4.994620828036034e-10,4.994620828036034e-10
1864,0.0,3.835782358407869e-09
1865,2.8241067262513297e-09,1.0355057256106193e-08
1866,9.731225825149181e-10,2.432806400776144e-09
1867,4.367530337390235e-09,2.523461972714358e-08
1868,0.0,5.433861360870651e-09
1869,9.767038289254515e-10,1.4162205630441349e-08
1870,5.734048791339319e-10,7.454262984651905e-09
