year,grand_ADJ arbre_NOUN,grand_ADJ marbre_NOUN
1800,2.5184758385421446e-06,3.144164484325529e-09
1801,1.2239278284198463e-06,0.0
1802,1.5262069439359038e-06,0.0
1803,3.974791319194537e-06,3.900678446910888e-09
1804,2.0689392741246593e-06,0.0
1805,2.4192889540586293e-06,0.0
1806,1.0085842205853623e-06,0.0
1807,8.028413631677722e-07,0.0
1808,1.1987531909340987e-06,2.2660739951163578e-09
1809,1.0572262638675056e-06,0.0
1810,1.2777091740190372e-06,9.360507036149102e-09
1811,1.188354360692756e-06,7.521229861140455e-09
1812,1.0055374595197009e-06,8.00162425207418e-09
1813,8.253378673828138e-07,2.8757416004054903e-08
1814,5.223484009775348e-07,0.0
1815,7.039753384674441e-07,0.0
1816,2.660609311533335e-06,0.0
1817,1.871361831717877e-06,9.341240669868967e-09
1818,1.5640584933862556e-06,0.0
1819,1.4160236077032096e-06,4.140420006848444e-09
1820,1.2685268373502367e-06,1.3053129244156025e-08
1821,1.0679992215045786e-06,2.9584463767662328e-09
1822,9.003002929830473e-07,1.0025615893027862e-09
1823,1.0594240151817758e-06,4.941343334508019e-09
1824,8.960063979657207e-07,4.210556348027694e-09
1825,9.043189805879592e-07,5.283265824829186e-09
1826,9.389311017571345e-07,0.0
1827,9.80717842935519e-07,0.0
1828,8.566929210473972e-07,0.0
1829,7.767297596217304e-07,0.0
1830,9.382715653316609e-07,1.0436835840010872e-09
1831,8.138609430830002e-07,0.0
1832,8.632120298557311e-07,0.0
1833,9.498575330724179e-07,0.0
1834,1.0314656861964977e-06,0.0
1835,1.0739584581642703e-06,9.075705520444899e-09
1836,8.36061303743918e-07,5.376600054063374e-09
1837,8.968721409985392e-07,5.5663127440652715e-09
1838,7.221113058619721e-07,6.943378316748294e-09
1839,8.613497577414364e-07,2.0974426639952526e-09
1840,6.019355538455784e-07,1.2739377330817092e-09
1841,7.794545862083169e-07,5.778493683550323e-09
1842,7.915752711085133e-07,8.049918065466954e-09
1843,6.432626253882745e-07,5.906911071384968e-10
1844,6.877167439967025e-07,4.9397050894128824e-09
1845,6.221954214069569e-07,3.348136878855712e-09
1846,8.254847010391586e-07,4.0981511517657054e-09
1847,5.031877741146218e-07,2.6966118227278457e-09
1848,6.235046718927606e-07,1.6090443422100975e-09
1849,6.100214022808359e-07,1.6758829879393033e-09
1850,6.816152264832454e-07,6.788996032014438e-10
1851,7.287865635419166e-07,1.1608989325395669e-08
1852,6.731904118595367e-07,9.114764054629632e-09
1853,8.06210808335095e-07,1.7915795513800958e-09
1854,8.874194614705289e-07,5.195664343204953e-09
1855,8.931575337101094e-07,5.306937111981824e-09
1856,6.952965350137674e-07,8.801221973442352e-09
1857,8.11306813730539e-07,1.1715622250108026e-08
1858,8.275206102581478e-07,2.936205500958522e-09
1859,7.15450337640533e-07,2.036869339860914e-09
1860,9.456462155554846e-07,5.492620580582752e-09
1861,7.08809355209894e-07,0.0
1862,7.188116217804463e-07,9.939570055905733e-09
1863,7.352082089795431e-07,2.9967726078439227e-09
1864,6.765360875959914e-07,4.315255264231155e-09
1865,7.22029911415234e-07,2.3534221238463715e-09
1866,7.746055850077482e-07,2.919367858567057e-09
1867,8.395363835234093e-07,9.7056229719783e-10
