year,veulent_VERB hériter_VERB,veulent_VERB mériter_VERB
1800,0.0,9.432493897065797e-09
1801,0.0,3.333655484993869e-08
1802,0.0,2.2378401354217203e-09
1803,0.0,1.950339223455444e-09
1804,2.4718509461507665e-09,2.9662210465630778e-08
1805,0.0,2.842877711017877e-09
1806,0.0,2.881669125542885e-09
1807,0.0,8.540865792383556e-09
1808,0.0,4.078933102391602e-08
1809,0.0,9.036122072814123e-09
1810,0.0,3.7442028144596406e-08
1811,0.0,1.0028307073639553e-08
1812,0.0,0.0
1813,0.0,3.163315653864629e-08
1814,0.0,6.293354282149721e-09
1815,8.091670444798638e-09,0.0
1816,0.0,3.9399267848239106e-08
1817,0.0,0.0
1818,9.536941902865692e-09,2.741870730460505e-08
1819,6.210630232317271e-09,2.070209959015301e-08
1820,0.0,7.119888678630559e-09
1821,0.0,3.94459531705138e-09
1822,0.0,9.023054303725075e-09
1823,0.0,3.9530747564242574e-09
1824,8.421112696055388e-10,4.210556348027694e-09
1825,6.163809906922779e-09,7.044354433105582e-09
1826,0.0,1.7615968683770689e-09
1827,0.0,4.055600300034712e-08
1828,1.8344602503717056e-09,2.4765213879618386e-08
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,3.1182412207897414e-09
1832,0.0,1.6235963684607668e-08
1833,0.0,3.4750886612755494e-09
1834,0.0,5.600718555598405e-09
1835,0.0,2.2689263801112247e-09
1836,1.3441500135158435e-09,0.0
1837,1.3915781860163179e-09,8.349468672008697e-09
1838,0.0,7.574594285131298e-09
1839,0.0,1.4682098203877558e-08
1840,3.821813088222825e-09,4.458782232319436e-09
1841,0.0,7.0626033910059505e-09
1842,0.0,4.695785538189057e-09
1843,5.906911071384968e-10,9.451057714215949e-09
1844,1.6465684371524958e-09,6.586273748609983e-09
1845,3.348136878855712e-09,1.3392547515422848e-08
1846,5.854501328173001e-10,2.3418005312692003e-09
1847,1.6179670936367074e-09,9.168480197274675e-09
1848,8.84974404868899e-09,8.84974404868899e-09
1849,2.3462362719328667e-08,1.3407063903514427e-08
1850,1.765138968323754e-08,1.2220192857625989e-08
1851,4.514607354622058e-09,1.0319102017319892e-08
1852,3.906327261660181e-09,7.812654523320361e-09
