year,eut_VERB hérité_VERB,eut_VERB mérité_VERB
1800,0.0,1.8864987794131594e-08
1801,2.3811825844433088e-09,3.809892135109294e-08
1802,0.0,4.475680270843441e-09
1803,0.0,1.950339223455444e-09
1804,9.887403784603066e-09,1.2359254952798437e-08
1805,0.0,1.9900143755080535e-08
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,2.039466551195801e-08,1.3596443970698147e-08
1809,0.0,0.0
1810,1.8721014072298203e-08,0.0
1811,2.757784400841956e-08,0.0
1812,2.1337665856435706e-08,1.3336041604361526e-08
1813,2.8757416448144113e-09,0.0
1814,0.0,9.440030979135372e-09
1815,1.3486118000116676e-08,0.0
1816,2.0858434979231788e-08,3.0128852301913867e-08
1817,1.556873407970727e-09,3.269434145636296e-08
1818,0.0,3.5763532135746345e-09
1819,4.140420006848444e-09,1.7596784473994376e-08
1820,8.306536791735653e-09,2.3732962262101864e-08
1821,9.86148829262845e-10,6.903041693817613e-09
1822,2.0051231786055723e-09,5.012807946513931e-09
1823,0.0,1.2847492847356534e-08
1824,2.5263338088166165e-09,1.6842225392110777e-09
1825,7.924898959288385e-09,8.805443485471187e-09
1826,4.403992281964975e-09,3.5231937367541377e-09
1827,1.1982455028203276e-08,9.217273055917019e-10
1828,9.172301140836225e-09,5.503380862137419e-09
1829,5.143905745796928e-09,1.714635211591542e-09
1830,1.0436835840010872e-09,9.39315203396518e-09
1831,2.0268567268999504e-08,3.1182412207897414e-09
1832,8.117981842303834e-09,1.3529969367098715e-09
1833,2.3167257001688313e-09,2.3167257001688313e-09
1834,2.8003592777992026e-09,3.733812370398937e-09
1835,3.781543966852041e-09,2.2689263801112247e-09
1836,1.5457725766054864e-08,6.72075017860152e-09
1837,1.3915782304252389e-08,0.0
1838,1.9567702125300457e-08,1.8936485712828244e-09
1839,3.915226187700682e-08,8.38977065598101e-09
1840,3.821813088222825e-09,8.280594876453051e-09
1841,7.0626033910059505e-09,5.778493683550323e-09
1842,1.0733224087289273e-08,2.0124795163667386e-09
1843,5.906910960362666e-09,1.7720733769266417e-09
1844,1.4819115712327857e-08,3.841992946007622e-09
1845,2.3436957263811564e-08,3.9061593959388574e-09
1846,1.1709002656346001e-08,1.3465353276842507e-08
1847,6.47186837454683e-09,4.314578916364553e-09
1848,1.850401076808339e-08,1.6090443422100975e-09
1849,8.379414939696517e-10,8.379414495607307e-09
1850,4.752297222410107e-09,8.146795238417326e-09
1851,1.0319102017319892e-08,4.514607354622058e-09
1852,1.5625309046640723e-08,1.9531636308300904e-09
1853,8.360704129017904e-09,7.166318205520383e-09
1854,4.676098175337984e-09,2.5978321716024766e-09
1855,1.4859423913549108e-08,1.1675261646360013e-08
1856,7.248064815001953e-09,5.177189232874468e-10
1857,7.322263684272912e-09,4.881508974818871e-09
1858,1.8106600663259087e-08,1.9574704079872163e-09
1859,1.018434669930457e-08,1.5276519604867644e-08
1860,1.1442959468865865e-08,1.8308735638683515e-09
1861,1.3676294763342867e-08,7.073945429425521e-09
1862,1.626475132354699e-08,6.325180823552046e-09
1863,2.4973103585068657e-09,6.493007020935693e-09
1864,8.63051052846231e-09,2.8768367688059016e-09
1865,6.589582213223366e-09,4.706844358715045e-10
