year,était_VERB annuel_ADJ,était_VERB manuel_ADJ
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,6.713520406265161e-09,0.0
1803,3.900678446910888e-09,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,1.2535384286138651e-08,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,0.0,0.0
1818,1.0729059418679299e-08,0.0
1819,0.0,0.0
1820,9.493184904840746e-09,0.0
1821,7.88919063410276e-09,0.0
1822,1.303330066093622e-08,0.0
1823,3.162459805139406e-08,0.0
1824,6.736890156844311e-09,0.0
1825,2.641632912414593e-09,0.0
1826,1.4092774947016551e-08,0.0
1827,2.488663675137559e-08,0.0
1828,7.337841001486822e-09,0.0
1829,2.571952872898464e-09,0.0
1830,6.262101504006523e-09,0.0
1831,0.0,0.0
1832,4.058990921151917e-09,0.0
1833,1.7375443306377747e-08,0.0
1834,4.667265685043276e-09,0.0
1835,3.2521278114927554e-08,0.0
1836,7.392825018825988e-09,0.0
1837,1.1132625488130543e-08,0.0
1838,6.943378316748294e-09,0.0
1839,1.0487212875887053e-08,0.0
1840,2.165694112932215e-08,0.0
1841,1.0914932957462042e-08,0.0
1842,2.3478927246856074e-08,0.0
1843,3.18973185642335e-08,5.906911071384968e-10
1844,2.305195678786731e-08,1.097712254427563e-09
1845,1.562463758375543e-08,0.0
1846,1.0538101946622191e-08,0.0
1847,5.3932236454556914e-09,0.0
1848,5.63165514222419e-09,0.0
1849,1.1731181359664333e-08,0.0
1850,1.6293590476834652e-08,0.0
1851,1.3543821175687754e-08,0.0
1852,1.4974254725075298e-08,0.0
1853,4.777545470346922e-09,0.0
1854,7.79349651480743e-09,0.0
1855,1.963566731433275e-08,0.0
1856,2.0708756931497874e-09,0.0
1857,8.298565390418844e-09,5.369659827891837e-09
1858,2.300027723833864e-08,4.893676019968041e-10
1859,1.782260738991681e-08,0.0
1860,2.1512764902809067e-08,3.204028820036342e-09
1861,8.488735048217677e-09,0.0
1862,9.035972858839614e-09,0.0
1863,1.4983863039219614e-08,0.0
1864,4.794728170054441e-09,0.0
1865,1.3179164426446732e-08,0.0
1866,7.298419202328432e-09,1.9462451650298362e-09
1867,1.0190904120577216e-08,4.85281148598915e-10
1868,2.9639244392143382e-09,0.0
1869,5.860222973552709e-09,0.0
1870,1.204150201772336e-08,0.0
1871,2.1242353653860846e-08,0.0
1872,9.675742873582749e-09,2.4189357183956872e-09
1873,1.7958013742713774e-08,0.0
1874,1.7326366119618797e-08,0.0
1875,4.577221712764867e-09,0.0
1876,4.836811839936672e-09,0.0
1877,1.1132669008873108e-08,6.184815992682502e-10
1878,2.7779808675632012e-08,0.0
1879,1.649517855639715e-08,0.0
1880,3.2089231272180996e-09,0.0
1881,1.1853263259808955e-08,6.972507571312292e-10
1882,9.317538740560849e-09,0.0
1883,1.7062214752172622e-08,1.8958017378167824e-09
1884,1.8484751507230612e-08,0.0
1885,2.127059772760731e-08,1.933690763067375e-09
1886,2.0005737511041843e-08,0.0
1887,1.2404957061562527e-08,0.0
1888,1.5851536971922542e-08,0.0
1889,7.51816386923565e-09,0.0
1890,1.2453334363726754e-08,6.554386478008212e-10
1891,1.4023283867459213e-08,0.0
1892,9.402768341715273e-09,0.0
1893,4.926733243593162e-09,0.0
1894,5.041231432301174e-09,1.8904617871129403e-09
1895,1.0833506536300774e-08,0.0
1896,1.3563166589847242e-08,0.0
1897,8.157399200570126e-09,5.826713556089658e-10
1898,3.960848538042683e-09,1.13167097914868e-09
