year,avaient_VERB hérité_VERB,avaient_VERB mérité_VERB
1800,5.0306631749208464e-08,1.8550569791386806e-07
1801,5.476719877606229e-08,2.881230898310605e-07
1802,2.6854081625060644e-08,8.727576528144709e-08
1803,8.776526527753958e-08,1.0726865440346955e-07
1804,6.673997887673977e-08,2.966221188671625e-07
1805,1.6772978028711805e-07,1.3077237781544682e-07
1806,2.5935023018064385e-08,1.4120178093435243e-07
1807,5.693910054560547e-08,1.679703558465917e-07
1808,4.078933102391602e-08,1.155697759713803e-07
1809,8.358412628695078e-08,1.2424668227595248e-07
1810,5.616304221689461e-08,1.5210824244604737e-07
1811,8.022645658911642e-08,3.2591998433417757e-07
1812,6.13457871168066e-08,2.0804223765935603e-07
1813,4.888760685162197e-08,1.8979895344273245e-07
1814,5.349351184236184e-08,3.0522767247020965e-07
1815,1.294667271167782e-07,1.726223075593225e-07
1816,2.7811246638975717e-08,3.082413115862437e-07
1817,8.874178547557676e-08,3.067040665882814e-07
1818,6.914282835168706e-08,2.5392108682353864e-07
1819,3.8298885840504227e-08,2.639517617808451e-07
1820,6.882559233645225e-08,3.0259528216447507e-07
1821,1.0749022294476163e-07,3.6586121154869033e-07
1822,1.0526896687679255e-07,4.2508611386438133e-07
1823,1.0574474629265751e-07,3.6565941741173447e-07
1824,7.663212642228245e-08,3.09896961425693e-07
1825,1.320816522820678e-07,4.200196315196081e-07
1826,9.776862697208344e-08,3.258954279772297e-07
1827,1.0507691428074395e-07,3.3182183756252925e-07
1828,1.2932945026022935e-07,2.669139576028101e-07
1829,1.3974276669159735e-07,3.1206360517899157e-07
1830,1.1897992635567789e-07,3.4859030506595445e-07
1831,9.354723573551382e-08,2.2451337144957506e-07
1832,1.1365174401589684e-07,3.0577731990888424e-07
1833,7.41352224054026e-08,3.5561740219236526e-07
1834,8.961149688957448e-08,3.145736968690471e-07
1835,9.983276072489389e-08,2.2916157149666105e-07
1836,1.196293482053079e-07,2.863039583189675e-07
1837,1.4333255649034982e-07,2.977977260343323e-07
1838,1.3003052856674913e-07,3.1687054047324636e-07
1839,1.0067724076634477e-07,3.1951040568856115e-07
1840,1.4395496350516623e-07,3.471480454209086e-07
1841,1.2520069958554814e-07,2.5617987375881057e-07
1842,1.8648977118118637e-07,2.743680340699939e-07
1843,1.033709438047481e-07,2.557692369009601e-07
1844,1.7069424984583748e-07,3.852969996387401e-07
1845,1.389476693702818e-07,2.778953387405636e-07
1846,1.1065007754496037e-07,3.214121306882589e-07
1847,1.310553301436812e-07,3.1820019330552896e-07
1848,1.7860392631519062e-07,2.3813856842025416e-07
1849,1.0977033326753372e-07,2.81548352631944e-07
1850,1.1880742789571741e-07,2.4983506818898604e-07
1851,1.1802472954514087e-07,2.2831012813639973e-07
1852,1.0351767087968256e-07,1.9726952871224057e-07
1853,1.23618988823182e-07,2.2932218257665227e-07
1854,1.0443285702876892e-07,2.826441516390332e-07
1855,1.507170139802838e-07,2.5950922122319753e-07
1856,1.4703216777434136e-07,2.3297351958717627e-07
1857,1.0348799150960986e-07,2.2259681031755463e-07
1858,1.0619277190926368e-07,2.735564805789181e-07
1859,1.34942595764187e-07,2.42387443449843e-07
1860,1.1946450229061156e-07,2.668498098046257e-07
1861,1.2733102039419464e-07,2.018432496697642e-07
1862,9.48777127973699e-08,2.69271993147413e-07
1863,1.1687412637684247e-07,2.3624556888535153e-07
1864,1.1219663065276109e-07,2.0089909469334088e-07
1865,7.672156243643258e-08,1.882737734604234e-07
1866,1.0607035960674693e-07,1.8294704773325066e-07
1867,1.1064410188055263e-07,2.2419989420541242e-07
1868,7.360412013213136e-08,1.7388356354786083e-07
1869,7.569454396616493e-08,1.7287658238274162e-07
1870,8.658413719331293e-08,2.505779264083685e-07
1871,9.771483178155904e-08,1.4869648623516696e-07
1872,9.071008832961525e-08,1.8988644967521395e-07
1873,1.1133968058629762e-07,1.448613033971924e-07
1874,8.722929578652838e-08,1.583271398430952e-07
1875,1.321672726817269e-07,1.6191921758945682e-07
1876,1.0217765122888522e-07,1.8198504392330506e-07
1877,9.277223966819292e-08,1.6266065472336777e-07
1878,8.817069385713694e-08,1.4312639962099638e-07
1879,6.659164597522249e-08,1.6311898320964247e-07
1880,8.279021557200394e-08,1.7584898159839213e-07
1881,9.831235558976914e-08,1.4572540862900496e-07
1882,9.250985044673143e-08,1.4508739809571125e-07
1883,7.140852886777793e-08,1.1943551214699255e-07
1884,1.0298647623585566e-07,9.770511155693384e-08
1885,1.334246633177827e-07,1.5533981922999374e-07
1886,1.1229027307990691e-07,1.4713897655838082e-07
1887,8.74875922818319e-08,1.2927270631735155e-07
1888,1.0779044856690234e-07,1.528088091617974e-07
1889,9.084448038265691e-08,1.1026640578393199e-07
1890,1.0028211505641593e-07,1.166680760888994e-07
1891,7.202868346212199e-08,1.0836173913730818e-07
1892,6.70730813112641e-08,8.775917592629412e-08
1893,8.86811974964985e-08,1.1454654469389425e-07
1894,8.192001388351855e-08,1.1279755085524812e-07
1895,1.0472389533333626e-07,9.629783193076946e-08
1896,8.845543675306544e-08,9.789068400323231e-08
1897,7.108590693860606e-08,9.788878685412783e-08
1898,1.1146958911467664e-07,1.0581123888186994e-07
1899,7.351679442990644e-08,1.1663190235822185e-07
1900,9.291984781611973e-08,8.046132649042192e-08
1901,6.091725168744233e-08,1.0842153841394975e-07
1902,8.298379583493443e-08,7.561837378489145e-08
